algorithm,iterations,functions
GAHighPop,1,1431
GAHighPop,1,1433
GAHighPop,1,1434
GAHighPop,1,1434
GAHighPop,1,1438
GAHighPop,1,1442
GAHighPop,1,1443
GAHighPop,1,1444
GAHighPop,1,1445
GAHighPop,1,1446
GAHighPop,50,21949
GAHighPop,50,21953
GAHighPop,50,21955
GAHighPop,50,21955
GAHighPop,50,21959
GAHighPop,50,21961
GAHighPop,50,21966
GAHighPop,50,21974
GAHighPop,50,21988
GAHighPop,50,22004
GAHighPop,100,42878
GAHighPop,100,42883
GAHighPop,100,42889
GAHighPop,100,42909
GAHighPop,100,42926
GAHighPop,100,42935
GAHighPop,100,42943
GAHighPop,100,42952
GAHighPop,100,42964
GAHighPop,100,42995
GAHighPop,150,63834
GAHighPop,150,63835
GAHighPop,150,63844
GAHighPop,150,63849
GAHighPop,150,63855
GAHighPop,150,63897
GAHighPop,150,63899
GAHighPop,150,63909
GAHighPop,150,63928
GAHighPop,150,63940
GAHighPop,200,84746
GAHighPop,200,84765
GAHighPop,200,84792
GAHighPop,200,84805
GAHighPop,200,84816
GAHighPop,200,84829
GAHighPop,200,84869
GAHighPop,200,84881
GAHighPop,200,84900
GAHighPop,200,84930
GAHighPop,300,126630
GAHighPop,300,126646
GAHighPop,300,126652
GAHighPop,300,126675
GAHighPop,300,126685
GAHighPop,300,126688
GAHighPop,300,126711
GAHighPop,300,126721
GAHighPop,300,126779
GAHighPop,300,126805
GAHighPop,400,168549
GAHighPop,400,168579
GAHighPop,400,168607
GAHighPop,400,168609
GAHighPop,400,168625
GAHighPop,400,168647
GAHighPop,400,168651
GAHighPop,400,168671
GAHighPop,400,168725
GAHighPop,400,168734
GAHighPop,500,210418
GAHighPop,500,210420
GAHighPop,500,210508
GAHighPop,500,210508
GAHighPop,500,210516
GAHighPop,500,210522
GAHighPop,500,210559
GAHighPop,500,210617
GAHighPop,500,210619
GAHighPop,500,210636
GAHighPop,600,252263
GAHighPop,600,252295
GAHighPop,600,252360
GAHighPop,600,252361
GAHighPop,600,252372
GAHighPop,600,252385
GAHighPop,600,252386
GAHighPop,600,252505
GAHighPop,600,252565
GAHighPop,600,252600
GAHighPop,700,294293
GAHighPop,700,294307
GAHighPop,700,294321
GAHighPop,700,294343
GAHighPop,700,294353
GAHighPop,700,294356
GAHighPop,700,294362
GAHighPop,700,294475
GAHighPop,700,294486
GAHighPop,700,294578
GAHighPop,800,336160
GAHighPop,800,336162
GAHighPop,800,336249
GAHighPop,800,336275
GAHighPop,800,336303
GAHighPop,800,336315
GAHighPop,800,336361
GAHighPop,800,336377
GAHighPop,800,336420
GAHighPop,800,336449
GAHighPop,900,378042
GAHighPop,900,378056
GAHighPop,900,378059
GAHighPop,900,378127
GAHighPop,900,378166
GAHighPop,900,378194
GAHighPop,900,378195
GAHighPop,900,378232
GAHighPop,900,378256
GAHighPop,900,378284
GAHighPop,1000,419824
GAHighPop,1000,419977
GAHighPop,1000,420032
GAHighPop,1000,420104
GAHighPop,1000,420115
GAHighPop,1000,420189
GAHighPop,1000,420198
GAHighPop,1000,420236
GAHighPop,1000,420255
GAHighPop,1000,420366
GALowPop,1,253
GALowPop,1,253
GALowPop,1,254
GALowPop,1,254
GALowPop,1,254
GALowPop,1,256
GALowPop,1,256
GALowPop,1,256
GALowPop,1,257
GALowPop,1,258
GALowPop,50,4030
GALowPop,50,4040
GALowPop,50,4042
GALowPop,50,4043
GALowPop,50,4044
GALowPop,50,4044
GALowPop,50,4045
GALowPop,50,4047
GALowPop,50,4056
GALowPop,50,4057
GALowPop,100,7897
GALowPop,100,7906
GALowPop,100,7910
GALowPop,100,7915
GALowPop,100,7922
GALowPop,100,7926
GALowPop,100,7928
GALowPop,100,7933
GALowPop,100,7940
GALowPop,100,7942
GALowPop,150,11768
GALowPop,150,11775
GALowPop,150,11775
GALowPop,150,11778
GALowPop,150,11782
GALowPop,150,11790
GALowPop,150,11795
GALowPop,150,11800
GALowPop,150,11801
GALowPop,150,11831
GALowPop,200,15640
GALowPop,200,15641
GALowPop,200,15646
GALowPop,200,15647
GALowPop,200,15649
GALowPop,200,15664
GALowPop,200,15668
GALowPop,200,15673
GALowPop,200,15674
GALowPop,200,15695
GALowPop,300,23363
GALowPop,300,23382
GALowPop,300,23401
GALowPop,300,23408
GALowPop,300,23412
GALowPop,300,23414
GALowPop,300,23415
GALowPop,300,23417
GALowPop,300,23427
GALowPop,300,23431
GALowPop,400,31116
GALowPop,400,31121
GALowPop,400,31126
GALowPop,400,31146
GALowPop,400,31146
GALowPop,400,31155
GALowPop,400,31160
GALowPop,400,31170
GALowPop,400,31170
GALowPop,400,31173
GALowPop,500,38813
GALowPop,500,38817
GALowPop,500,38861
GALowPop,500,38867
GALowPop,500,38877
GALowPop,500,38878
GALowPop,500,38891
GALowPop,500,38899
GALowPop,500,38921
GALowPop,500,38943
GALowPop,600,46560
GALowPop,600,46584
GALowPop,600,46601
GALowPop,600,46608
GALowPop,600,46612
GALowPop,600,46614
GALowPop,600,46617
GALowPop,600,46623
GALowPop,600,46628
GALowPop,600,46656
GALowPop,700,54323
GALowPop,700,54325
GALowPop,700,54330
GALowPop,700,54342
GALowPop,700,54343
GALowPop,700,54368
GALowPop,700,54376
GALowPop,700,54386
GALowPop,700,54391
GALowPop,700,54447
GALowPop,800,62032
GALowPop,800,62057
GALowPop,800,62068
GALowPop,800,62071
GALowPop,800,62100
GALowPop,800,62102
GALowPop,800,62106
GALowPop,800,62115
GALowPop,800,62116
GALowPop,800,62126
GALowPop,900,69752
GALowPop,900,69768
GALowPop,900,69781
GALowPop,900,69794
GALowPop,900,69814
GALowPop,900,69825
GALowPop,900,69834
GALowPop,900,69834
GALowPop,900,69856
GALowPop,900,69910
GALowPop,1000,77510
GALowPop,1000,77544
GALowPop,1000,77564
GALowPop,1000,77579
GALowPop,1000,77581
GALowPop,1000,77594
GALowPop,1000,77594
GALowPop,1000,77606
GALowPop,1000,77618
GALowPop,1000,77630
RHC,1,4
RHC,1,4
RHC,1,4
