algorithm,iterations,optimal
GAHighPop,1,64.0
GAHighPop,1,65.0
GAHighPop,1,65.0
GAHighPop,1,66.0
GAHighPop,1,66.0
GAHighPop,1,67.0
GAHighPop,1,67.0
GAHighPop,1,69.0
GAHighPop,1,69.0
GAHighPop,1,71.0
GAHighPop,50,80.0
GAHighPop,50,81.0
GAHighPop,50,81.0
GAHighPop,50,81.0
GAHighPop,50,82.0
GAHighPop,50,82.0
GAHighPop,50,83.0
GAHighPop,50,84.0
GAHighPop,50,84.0
GAHighPop,50,88.0
GAHighPop,100,87.0
GAHighPop,100,89.0
GAHighPop,100,89.0
GAHighPop,100,89.0
GAHighPop,100,89.0
GAHighPop,100,90.0
GAHighPop,100,90.0
GAHighPop,100,91.0
GAHighPop,100,92.0
GAHighPop,100,93.0
GAHighPop,150,93.0
GAHighPop,150,93.0
GAHighPop,150,94.0
GAHighPop,150,94.0
GAHighPop,150,95.0
GAHighPop,150,95.0
GAHighPop,150,95.0
GAHighPop,150,95.0
GAHighPop,150,95.0
GAHighPop,150,95.0
GAHighPop,200,96.0
GAHighPop,200,96.0
GAHighPop,200,96.0
GAHighPop,200,97.0
GAHighPop,200,97.0
GAHighPop,200,97.0
GAHighPop,200,97.0
GAHighPop,200,97.0
GAHighPop,200,98.0
GAHighPop,200,98.0
GAHighPop,300,100.0
GAHighPop,300,100.0
GAHighPop,300,100.0
GAHighPop,300,98.0
GAHighPop,300,99.0
GAHighPop,300,99.0
GAHighPop,300,99.0
GAHighPop,300,99.0
GAHighPop,300,99.0
GAHighPop,300,99.0
GAHighPop,400,100.0
GAHighPop,400,100.0
GAHighPop,400,100.0
GAHighPop,400,100.0
GAHighPop,400,100.0
GAHighPop,400,100.0
GAHighPop,400,100.0
GAHighPop,400,100.0
GAHighPop,400,99.0
GAHighPop,400,99.0
GAHighPop,500,100.0
GAHighPop,500,100.0
GAHighPop,500,100.0
GAHighPop,500,100.0
GAHighPop,500,100.0
GAHighPop,500,100.0
GAHighPop,500,100.0
GAHighPop,500,99.0
GAHighPop,500,99.0
GAHighPop,500,99.0
GAHighPop,600,100.0
GAHighPop,600,100.0
GAHighPop,600,100.0
GAHighPop,600,100.0
GAHighPop,600,100.0
GAHighPop,600,99.0
GAHighPop,600,99.0
GAHighPop,600,99.0
GAHighPop,600,99.0
GAHighPop,600,99.0
GAHighPop,700,100.0
GAHighPop,700,100.0
GAHighPop,700,100.0
GAHighPop,700,100.0
GAHighPop,700,100.0
GAHighPop,700,100.0
GAHighPop,700,100.0
GAHighPop,700,99.0
GAHighPop,700,99.0
GAHighPop,700,99.0
GAHighPop,800,100.0
GAHighPop,800,100.0
GAHighPop,800,100.0
GAHighPop,800,100.0
GAHighPop,800,100.0
GAHighPop,800,100.0
GAHighPop,800,100.0
GAHighPop,800,100.0
GAHighPop,800,100.0
GAHighPop,800,99.0
GAHighPop,900,100.0
GAHighPop,900,100.0
GAHighPop,900,100.0
GAHighPop,900,100.0
GAHighPop,900,100.0
GAHighPop,900,100.0
GAHighPop,900,100.0
GAHighPop,900,100.0
GAHighPop,900,100.0
GAHighPop,900,100.0
GAHighPop,1000,100.0
GAHighPop,1000,100.0
