algorithm,iterations,time
GA,1,103.0
GA,1,108.0
GA,1,14.0
GA,1,2805.0
GA,1,69.0
GA,1,76.0
GA,1,76.0
GA,1,86.0
GA,1,94.0
GA,1,95.0
GA,50,12391.0
GA,50,3635.0
GA,50,5286.0
GA,50,5854.0
GA,50,6890.0
GA,50,6987.0
GA,50,7000.0
GA,50,7480.0
GA,50,7620.0
GA,50,8903.0
GA,100,11234.0
GA,100,14054.0
GA,100,15475.0
GA,100,15984.0
GA,100,16980.0
GA,100,17303.0
GA,100,17518.0
GA,100,18507.0
GA,100,18818.0
GA,100,22074.0
GA,150,21755.0
GA,150,22095.0
GA,150,22235.0
GA,150,23353.0
GA,150,26640.0
GA,150,26646.0
GA,150,26827.0
GA,150,28328.0
GA,150,28820.0
GA,150,32784.0
GA,200,25636.0
GA,200,26016.0
GA,200,29364.0
GA,200,32987.0
GA,200,36457.0
GA,200,36814.0
GA,200,37889.0
GA,200,38883.0
GA,200,42262.0
GA,200,44075.0
GA,300,43532.0
GA,300,46498.0
GA,300,50971.0
GA,300,51808.0
GA,300,54015.0
GA,300,60590.0
GA,300,62162.0
GA,300,63471.0
GA,300,63752.0
GA,300,65362.0
GA,400,56256.0
GA,400,63199.0
GA,400,64278.0
GA,400,67484.0
GA,400,70333.0
GA,400,72338.0
GA,400,74569.0
GA,400,79695.0
GA,400,83937.0
GA,400,85979.0
GA,500,77372.0
GA,500,77994.0
GA,500,81061.0
GA,500,84457.0
GA,500,88967.0
GA,500,89262.0
GA,500,95800.0
GA,500,96139.0
GA,500,96559.0
GA,500,96808.0
GA,600,104180.0
GA,600,104401.0
GA,600,105452.0
GA,600,110508.0
GA,600,111902.0
GA,600,113484.0
GA,600,85246.0
GA,600,90992.0
GA,600,93890.0
GA,600,99458.0
GA,700,111348.0
GA,700,114979.0
GA,700,115547.0
GA,700,116785.0
GA,700,118466.0
GA,700,123811.0
GA,700,124612.0
GA,700,125539.0
GA,700,128530.0
GA,700,129190.0
GA,800,113676.0
GA,800,118152.0
GA,800,120797.0
GA,800,121068.0
GA,800,125524.0
GA,800,125527.0
GA,800,126804.0
