algorithm,iterations,optimal
GAHighPop,1,64.0
GAHighPop,1,64.0
GAHighPop,1,64.0
GAHighPop,1,65.0
GAHighPop,1,65.0
GAHighPop,1,66.0
GAHighPop,1,66.0
GAHighPop,1,67.0
GAHighPop,1,67.0
GAHighPop,1,68.0
GAHighPop,50,65.0
GAHighPop,50,66.0
GAHighPop,50,66.0
GAHighPop,50,67.0
GAHighPop,50,67.0
GAHighPop,50,68.0
GAHighPop,50,68.0
GAHighPop,50,68.0
GAHighPop,50,68.0
GAHighPop,50,72.0
GAHighPop,100,71.0
GAHighPop,100,71.0
GAHighPop,100,72.0
GAHighPop,100,72.0
GAHighPop,100,73.0
GAHighPop,100,73.0
GAHighPop,100,74.0
GAHighPop,100,74.0
GAHighPop,100,74.0
GAHighPop,100,78.0
GAHighPop,150,76.0
GAHighPop,150,77.0
GAHighPop,150,77.0
GAHighPop,150,78.0
GAHighPop,150,79.0
GAHighPop,150,79.0
GAHighPop,150,79.0
GAHighPop,150,80.0
GAHighPop,150,80.0
GAHighPop,150,83.0
GAHighPop,200,80.0
GAHighPop,200,80.0
GAHighPop,200,81.0
GAHighPop,200,82.0
GAHighPop,200,83.0
GAHighPop,200,83.0
GAHighPop,200,84.0
GAHighPop,200,84.0
GAHighPop,200,85.0
GAHighPop,200,85.0
GAHighPop,300,86.0
GAHighPop,300,86.0
GAHighPop,300,87.0
GAHighPop,300,88.0
GAHighPop,300,89.0
GAHighPop,300,89.0
GAHighPop,300,89.0
GAHighPop,300,90.0
GAHighPop,300,91.0
GAHighPop,300,94.0
GAHighPop,400,86.0
GAHighPop,400,86.0
GAHighPop,400,87.0
GAHighPop,400,88.0
GAHighPop,400,88.0
GAHighPop,400,88.0
GAHighPop,400,88.0
GAHighPop,400,89.0
GAHighPop,400,90.0
GAHighPop,400,90.0
GAHighPop,500,85.0
GAHighPop,500,86.0
GAHighPop,500,88.0
GAHighPop,500,88.0
GAHighPop,500,89.0
GAHighPop,500,89.0
GAHighPop,500,89.0
GAHighPop,500,90.0
GAHighPop,500,90.0
GAHighPop,500,90.0
GAHighPop,600,85.0
GAHighPop,600,86.0
GAHighPop,600,87.0
GAHighPop,600,89.0
GAHighPop,600,90.0
GAHighPop,600,90.0
GAHighPop,600,90.0
GAHighPop,600,91.0
GAHighPop,600,91.0
GAHighPop,600,91.0
GAHighPop,700,85.0
GAHighPop,700,85.0
GAHighPop,700,86.0
GAHighPop,700,88.0
GAHighPop,700,88.0
GAHighPop,700,89.0
GAHighPop,700,89.0
GAHighPop,700,89.0
GAHighPop,700,91.0
GAHighPop,700,92.0
GAHighPop,800,85.0
GAHighPop,800,86.0
GAHighPop,800,86.0
GAHighPop,800,87.0
GAHighPop,800,88.0
GAHighPop,800,88.0
GAHighPop,800,90.0
GAHighPop,800,91.0
GAHighPop,800,93.0
GAHighPop,800,93.0
GAHighPop,900,85.0
GAHighPop,900,87.0
GAHighPop,900,88.0
GAHighPop,900,89.0
GAHighPop,900,89.0
GAHighPop,900,90.0
GAHighPop,900,90.0
GAHighPop,900,90.0
GAHighPop,900,92.0
GAHighPop,900,93.0
GAHighPop,1000,86.0
GAHighPop,1000,87.0
GAHighPop,1000,87.0
GAHighPop,1000,87.0
GAHighPop,1000,88.0
GAHighPop,1000,88.0
GAHighPop,1000,89.0
GAHighPop,1000,89.0
GAHighPop,1000,89.0
GAHighPop,1000,93.0
GALowPop,1,59.0
GALowPop,1,59.0
GALowPop,1,60.0
GALowPop,1,60.0
GALowPop,1,60.0
GALowPop,1,61.0
GALowPop,1,62.0
GALowPop,1,63.0
GALowPop,1,63.0
GALowPop,1,63.0
GALowPop,50,66.0
GALowPop,50,67.0
GALowPop,50,67.0
GALowPop,50,67.0
GALowPop,50,67.0
GALowPop,50,68.0
GALowPop,50,69.0
GALowPop,50,69.0
GALowPop,50,71.0
GALowPop,50,73.0
GALowPop,100,71.0
GALowPop,100,72.0
GALowPop,100,73.0
GALowPop,100,74.0
GALowPop,100,76.0
GALowPop,100,76.0
GALowPop,100,76.0
GALowPop,100,77.0
GALowPop,100,77.0
GALowPop,100,78.0
GALowPop,150,74.0
GALowPop,150,75.0
GALowPop,150,76.0
GALowPop,150,76.0
GALowPop,150,76.0
GALowPop,150,76.0
GALowPop,150,77.0
GALowPop,150,77.0
GALowPop,150,79.0
GALowPop,150,80.0
GALowPop,200,71.0
GALowPop,200,75.0
GALowPop,200,76.0
GALowPop,200,76.0
GALowPop,200,77.0
GALowPop,200,78.0
GALowPop,200,79.0
GALowPop,200,81.0
GALowPop,200,83.0
GALowPop,200,85.0
GALowPop,300,78.0
GALowPop,300,78.0
GALowPop,300,80.0
GALowPop,300,80.0
GALowPop,300,82.0
GALowPop,300,82.0
GALowPop,300,82.0
GALowPop,300,83.0
GALowPop,300,84.0
GALowPop,300,85.0
GALowPop,400,78.0
