algorithm,iterations,functions
GAHighPop,1,1434
GAHighPop,1,1436
GAHighPop,1,1437
GAHighPop,1,1439
GAHighPop,1,1441
GAHighPop,1,1441
GAHighPop,1,1442
GAHighPop,1,1442
GAHighPop,1,1447
GAHighPop,1,1451
GAHighPop,50,21899
GAHighPop,50,21933
GAHighPop,50,21974
GAHighPop,50,21977
GAHighPop,50,21983
GAHighPop,50,21986
GAHighPop,50,21986
GAHighPop,50,21986
GAHighPop,50,21989
GAHighPop,50,22028
GAHighPop,100,42894
GAHighPop,100,42896
GAHighPop,100,42902
GAHighPop,100,42920
GAHighPop,100,42924
GAHighPop,100,42926
GAHighPop,100,42933
GAHighPop,100,42960
GAHighPop,100,42963
GAHighPop,100,42965
GAHighPop,150,63802
GAHighPop,150,63829
GAHighPop,150,63855
GAHighPop,150,63871
GAHighPop,150,63891
GAHighPop,150,63892
GAHighPop,150,63904
GAHighPop,150,63907
GAHighPop,150,63909
GAHighPop,150,63925
GAHighPop,200,84737
GAHighPop,200,84746
GAHighPop,200,84775
GAHighPop,200,84783
GAHighPop,200,84796
GAHighPop,200,84800
GAHighPop,200,84819
GAHighPop,200,84832
GAHighPop,200,84930
GAHighPop,200,84943
GAHighPop,300,126684
GAHighPop,300,126709
GAHighPop,300,126737
GAHighPop,300,126765
GAHighPop,300,126768
GAHighPop,300,126771
GAHighPop,300,126772
GAHighPop,300,126781
GAHighPop,300,126807
GAHighPop,300,126851
GAHighPop,400,168599
GAHighPop,400,168621
GAHighPop,400,168627
GAHighPop,400,168632
GAHighPop,400,168678
GAHighPop,400,168697
GAHighPop,400,168714
GAHighPop,400,168735
GAHighPop,400,168750
GAHighPop,400,168851
GAHighPop,500,210353
GAHighPop,500,210420
GAHighPop,500,210433
GAHighPop,500,210504
GAHighPop,500,210581
GAHighPop,500,210586
GAHighPop,500,210595
GAHighPop,500,210625
GAHighPop,500,210688
GAHighPop,500,210781
GAHighPop,600,252234
GAHighPop,600,252325
GAHighPop,600,252416
GAHighPop,600,252429
GAHighPop,600,252467
GAHighPop,600,252469
GAHighPop,600,252491
GAHighPop,600,252496
GAHighPop,600,252526
GAHighPop,600,252539
GAHighPop,700,294126
GAHighPop,700,294193
GAHighPop,700,294210
GAHighPop,700,294275
GAHighPop,700,294291
GAHighPop,700,294306
GAHighPop,700,294315
GAHighPop,700,294407
GAHighPop,700,294470
GAHighPop,700,294577
GAHighPop,800,336158
GAHighPop,800,336193
GAHighPop,800,336221
GAHighPop,800,336286
GAHighPop,800,336295
GAHighPop,800,336296
GAHighPop,800,336308
GAHighPop,800,336344
GAHighPop,800,336380
GAHighPop,800,336385
GAHighPop,900,377917
GAHighPop,900,378128
GAHighPop,900,378144
GAHighPop,900,378180
GAHighPop,900,378187
GAHighPop,900,378228
GAHighPop,900,378231
GAHighPop,900,378266
GAHighPop,900,378308
GAHighPop,900,378350
GAHighPop,1000,419931
GAHighPop,1000,419940
GAHighPop,1000,420008
GAHighPop,1000,420047
GAHighPop,1000,420074
GAHighPop,1000,420076
GAHighPop,1000,420088
GAHighPop,1000,420118
GAHighPop,1000,420132
GAHighPop,1000,420215
GAHighPop,2000,838813
GAHighPop,2000,838999
GAHighPop,2000,839024
GAHighPop,2000,839029
GAHighPop,2000,839048
GAHighPop,2000,839185
GAHighPop,2000,839276
GAHighPop,2000,839320
GAHighPop,2000,839340
GAHighPop,2000,839367
GAHighPop,2500,1048405
GAHighPop,2500,1048434
GAHighPop,2500,1048488
GAHighPop,2500,1048521
GAHighPop,2500,1048584
GAHighPop,2500,1048625
GAHighPop,2500,1048657
GAHighPop,2500,1048712
GAHighPop,2500,1048721
GAHighPop,2500,1048887
GALowPop,1,253
GALowPop,1,255
GALowPop,1,255
GALowPop,1,256
GALowPop,1,256
GALowPop,1,257
GALowPop,1,257
GALowPop,1,257
GALowPop,1,258
GALowPop,1,258
GALowPop,50,4039
GALowPop,50,4046
GALowPop,50,4052
GALowPop,50,4052
GALowPop,50,4053
GALowPop,50,4056
GALowPop,50,4058
GALowPop,50,4060
GALowPop,50,4067
GALowPop,50,4070
GALowPop,100,7905
GALowPop,100,7908
GALowPop,100,7914
GALowPop,100,7920
GALowPop,100,7920
GALowPop,100,7921
GALowPop,100,7921
GALowPop,100,7922
GALowPop,100,7934
GALowPop,100,7938
GALowPop,150,11777
GALowPop,150,11780
GALowPop,150,11782
GALowPop,150,11789
GALowPop,150,11794
GALowPop,150,11795
GALowPop,150,11796
GALowPop,150,11811
GALowPop,150,11814
GALowPop,150,11816
GALowPop,200,15618
GALowPop,200,15624
GALowPop,200,15628
GALowPop,200,15642
GALowPop,200,15642
GALowPop,200,15650
GALowPop,200,15652
GALowPop,200,15662
GALowPop,200,15664
GALowPop,200,15670
GALowPop,300,23360
GALowPop,300,23368
GALowPop,300,23370
GALowPop,300,23378
GALowPop,300,23380
GALowPop,300,23391
GALowPop,300,23391
GALowPop,300,23403
GALowPop,300,23403
GALowPop,300,23411
GALowPop,400,31105
GALowPop,400,31116
GALowPop,400,31127
GALowPop,400,31145
GALowPop,400,31152
GALowPop,400,31152
GALowPop,400,31155
GALowPop,400,31158
GALowPop,400,31161
GALowPop,400,31170
GALowPop,500,38840
GALowPop,500,38855
GALowPop,500,38866
GALowPop,500,38876
GALowPop,500,38883
GALowPop,500,38885
GALowPop,500,38887
GALowPop,500,38892
GALowPop,500,38898
GALowPop,500,38900
GALowPop,600,46588
GALowPop,600,46608
GALowPop,600,46611
