algorithm,iterations,time
GAHighPop,1,1023.0
GAHighPop,1,1058.0
GAHighPop,1,1156.0
GAHighPop,1,122.0
GAHighPop,1,13.0
GAHighPop,1,16.0
GAHighPop,1,684.0
GAHighPop,1,692.0
GAHighPop,1,85.0
GAHighPop,1,973.0
GAHighPop,50,1861.0
GAHighPop,50,2524.0
GAHighPop,50,2663.0
GAHighPop,50,268.0
GAHighPop,50,3135.0
GAHighPop,50,3583.0
GAHighPop,50,3893.0
GAHighPop,50,4347.0
GAHighPop,50,4447.0
GAHighPop,50,928.0
GAHighPop,100,2617.0
GAHighPop,100,2623.0
GAHighPop,100,3354.0
GAHighPop,100,3499.0
GAHighPop,100,3557.0
GAHighPop,100,4439.0
GAHighPop,100,4855.0
GAHighPop,100,5346.0
GAHighPop,100,6033.0
GAHighPop,100,6813.0
GAHighPop,150,10836.0
GAHighPop,150,3265.0
GAHighPop,150,4770.0
GAHighPop,150,4786.0
GAHighPop,150,5183.0
GAHighPop,150,5782.0
GAHighPop,150,6140.0
GAHighPop,150,7102.0
GAHighPop,150,8032.0
GAHighPop,150,8628.0
GAHighPop,200,1794.0
GAHighPop,200,1928.0
GAHighPop,200,2391.0
GAHighPop,200,3140.0
GAHighPop,200,4365.0
GAHighPop,200,4663.0
GAHighPop,200,6480.0
GAHighPop,200,7041.0
GAHighPop,200,7623.0
GAHighPop,200,7846.0
GAHighPop,300,10513.0
GAHighPop,300,10759.0
GAHighPop,300,11506.0
GAHighPop,300,11930.0
GAHighPop,300,12062.0
GAHighPop,300,12582.0
GAHighPop,300,17523.0
GAHighPop,300,6137.0
GAHighPop,300,7125.0
GAHighPop,300,9144.0
GAHighPop,400,10641.0
GAHighPop,400,10997.0
GAHighPop,400,13897.0
GAHighPop,400,14136.0
GAHighPop,400,16066.0
GAHighPop,400,17274.0
GAHighPop,400,17585.0
GAHighPop,400,19038.0
GAHighPop,400,19078.0
GAHighPop,400,19508.0
GAHighPop,500,14903.0
GAHighPop,500,16452.0
GAHighPop,500,16951.0
GAHighPop,500,16961.0
GAHighPop,500,17818.0
GAHighPop,500,18750.0
GAHighPop,500,19038.0
GAHighPop,500,20249.0
GAHighPop,500,20528.0
GAHighPop,500,20878.0
GAHighPop,600,15093.0
GAHighPop,600,18118.0
GAHighPop,600,20291.0
GAHighPop,600,22497.0
GAHighPop,600,23076.0
GAHighPop,600,26987.0
