value,iterations
31.0,10
34.0,10
36.0,10
32.0,10
32.0,10
28.0,10
33.0,25
35.0,25
28.0,10
34.0,10
33.0,10
34.0,25
36.0,25
37.0,10
32.0,25
34.0,25
34.0,25
28.0,25
35.0,50
37.0,500
10.0,25
73.0,50
67.0,25
36.0,25
69.0,100
32.0,25
36.0,50
37.0,200
37.0,50
31.0,100
35.0,200
32.0,50
37.0,200
36.0,100
36.0,50
28.0,100
34.0,100
37.0,200
30.0,50
36.0,200
37.0,50
36.0,200
73.0,200
34.0,50
37.0,100
35.0,100
72.0,200
80.0,200
35.0,100
75.0,100
72.0,100
56.0,25
72.0,100
51.0,10
50.0,10
56.0,25
51.0,25
50.0,10
55.0,10
50.0,10
53.0,10
73.0,25
53.0,10
77.0,10
50.0,50
49.0,10
70.0,10
70.0,100
70.0,50
48.0,100
71.0,10
48.0,10
68.0,10
71.0,10
50.0,10
68.0,10
69.0,10
69.0,10
69.0,10
74.0,50
51.0,25
57.0,25
71.0,50
50.0,25
69.0,10
74.0,500
93.0,500
51.0,25
70.0,25
71.0,50
49.0,25
47.0,200
64.0,500
37.0,500
56.0,50
68.0,25
57.0,50
73.0,25
54.0,200
77.0,500
50.0,50
59.0,100
54.0,25
51.0,25
71.0,500
59.0,50
50.0,50
72.0,500
56.0,200
48.0,100
70.0,25
48.0,50
31.0,50
64.0,200
60.0,100
73.0,25
55.0,100
55.0,200
69.0,25
51.0,50
68.0,50
37.0,50
69.0,50
71.0,25
72.0,50
70.0,50
72.0,50
48.0,50
62.0,200
57.0,200
55.0,100
37.0,1000
65.0,1000
55.0,500
37.0,500
61.0,500
52.0,200
37.0,1000
56.0,200
37.0,500
50.0,500
62.0,1000
37.0,1000
80.0,1000
37.0,500
71.0,500
71.0,100
37.0,100
76.0,200
37.0,200
68.0,100
37.0,200
34.0,200
74.0,100
33.0,100
75.0,200
59.0,100
70.0,100
72.0,100
75.0,100
47.0,50
72.0,500
37.0,500
63.0,100
69.0,500
37.0,500
35.0,100
34.0,200
69.0,200
14.0,10
37.0,500
14.0,10
58.0,500
9.0,10
91.0,10
54.0,200
37.0,500
74.0,500
68.0,500
37.0,1000
90.0,10
12.0,10
91.0,10
91.0,10
92.0,10
11.0,10
80.0,200
75.0,200
10.0,25
37.0,1000
51.0,500
63.0,1000
94.0,25
14.0,25
56.0,100
94.0,25
69.0,1000
79.0,500
87.0,1000
79.0,200
93.0,25
91.0,25
16.0,25
96.0,25
19.0,50
14.0,25
37.0,1000
92.0,50
96.0,50
72.0,200
97.0,25
25.0,500
60.0,500
37.0,1000
37.0,500
76.0,1000
100.0,50
72.0,1000
77.0,1000
89.0,50
93.0,50
16.0,50
98.0,50
93.0,50
75.0,1000
91.0,1000
55.0,500
94.0,50
12.0,100
26.0,100
72.0,1000
94.0,200
97.0,100
95.0,100
94.0,200
60.0,1000
91.0,200
103.0,200
10.0,100
95.0,500
92.0,100
57.0,1000
92.0,100
95.0,200
96.0,100
90.0,200
91.0,100
73.0,1000
37.0,1000
10.0,10
9.0,10
15.0,10
12.0,10
10.0,10
9.0,10
90.0,100
112.0,10
94.0,200
14.0,10
10.0,10
12.0,10
37.0,1000
106.0,1000
9.0,25
14.0,25
22.0,200
96.0,500
97.0,200
93.0,500
93.0,200
97.0,1000
10.0,25
11.0,25
94.0,500
16.0,25
17.0,25
12.0,25
8.0,25
92.0,500
17.0,50
123.0,50
11.0,50
102.0,500
11.0,50
15.0,50
17.0,50
111.0,50
10.0,50
106.0,500
20.0,500
37.0,1000
25.0,50
93.0,1000
17.0,100
9.0,100
11.0,25
11.0,25
21.0,100
14.0,50
75.0,1000
17.0,100
81.0,1000
115.0,100
9.0,100
11.0,100
13.0,100
115.0,100
98.0,1000
114.0,100
14.0,200
117.0,200
15.0,200
112.0,500
112.0,200
101.0,1000
24.0,200
24.0,200
17.0,500
97.0,500
114.0,500
114.0,200
113.0,200
113.0,200
10.0,200
113.0,500
100.0,1000
104.0,1000
94.0,1000
99.0,1000
22.0,500
115.0,500
17.0,500
94.0,1000
118.0,1000
97.0,1000
127.0,500
118.0,500
94.0,1000
122.0,500
12.0,500
99.0,1000
121.0,1000
27.0,1000
75.0,5000
33.0,1000
40.0,1000
15.0,1000
118.0,1000
30.0,1000
126.0,1000
75.0,5000
37.0,5000
116.0,1000
37.0,5000
75.0,5000
37.0,5000
37.0,5000
37.0,5000
75.0,5000
37.0,5000
75.0,5000
75.0,5000
75.0,5000
37.0,5000
84.0,5000
37.0,5000
37.0,5000
107.0,5000
75.0,5000
105.0,5000
37.0,5000
75.0,5000
99.0,5000
103.0,5000
84.0,5000
75.0,5000
98.0,5000
110.0,5000
116.0,5000
60.0,5000
133.0,5000
108.0,5000
162.0,5000
113.0,5000
113.0,5000
104.0,5000
113.0,5000
110.0,5000
43.0,5000
127.0,5000
96.0,5000
118.0,5000
55.0,5000
109.0,5000
155.0,5000
140.0,5000
134.0,5000
129.0,5000
43.0,5000
132.0,5000
