algorithm,value,iterations
GA-N,20,10
GA-N,20,10
GA-N,20,10
GA-N,20,10
GA-N,20,10
GA-N,20,10
GA-N,20,25
GA-N,20,25
GA-N,20,10
GA-N,20,10
GA-N,20,10
GA-N,20,25
GA-N,20,25
GA-N,20,10
GA-N,20,25
GA-N,20,25
GA-N,20,25
GA-N,20,25
GA-N,20,50
GA-N,20,500
GA-N,60,25
GA-N,60,50
GA-N,60,25
GA-N,20,25
GA-N,60,100
GA-N,20,25
GA-N,20,50
GA-N,20,200
GA-N,20,50
GA-N,20,100
GA-N,20,200
GA-N,20,50
GA-N,20,200
GA-N,20,100
GA-N,20,50
GA-N,20,100
GA-N,20,100
GA-N,20,200
GA-N,20,50
GA-N,20,200
GA-N,20,50
GA-N,20,200
GA-N,60,200
GA-N,20,50
GA-N,20,100
GA-N,20,100
GA-N,60,200
GA-N,60,200
GA-N,20,100
GA-N,60,100
GA-N,60,100
GA-N,40,25
GA-N,60,100
GA-N,40,10
GA-N,40,10
GA-N,40,25
GA-N,40,25
GA-N,40,10
GA-N,40,10
GA-N,40,10
GA-N,40,10
GA-N,60,25
GA-N,40,10
GA-N,60,10
GA-N,40,50
GA-N,40,10
GA-N,60,10
GA-N,60,100
GA-N,60,50
GA-N,40,100
GA-N,60,10
GA-N,40,10
GA-N,60,10
GA-N,60,10
GA-N,40,10
GA-N,60,10
GA-N,60,10
GA-N,60,10
GA-N,60,10
GA-N,60,50
GA-N,40,25
GA-N,40,25
GA-N,60,50
GA-N,40,25
GA-N,60,10
GA-N,60,500
GA-N,60,500
GA-N,40,25
GA-N,60,25
GA-N,60,50
GA-N,40,25
GA-N,40,200
GA-N,40,500
GA-N,20,500
GA-N,40,50
GA-N,60,25
GA-N,40,50
GA-N,60,25
GA-N,40,200
GA-N,60,500
GA-N,40,50
GA-N,40,100
GA-N,40,25
GA-N,40,25
GA-N,60,500
GA-N,40,50
GA-N,40,50
GA-N,60,500
GA-N,40,200
GA-N,40,100
GA-N,60,25
GA-N,40,50
GA-N,20,50
GA-N,40,200
GA-N,40,100
GA-N,60,25
GA-N,40,100
GA-N,40,200
GA-N,60,25
GA-N,40,50
GA-N,60,50
GA-N,20,50
GA-N,60,50
GA-N,60,25
GA-N,60,50
GA-N,60,50
GA-N,60,50
GA-N,40,50
GA-N,40,200
GA-N,40,200
GA-N,40,100
GA-N,20,1000
GA-N,40,1000
GA-N,40,500
GA-N,20,500
GA-N,40,500
GA-N,40,200
GA-N,20,1000
GA-N,40,200
GA-N,20,500
GA-N,40,500
GA-N,40,1000
GA-N,20,1000
GA-N,60,1000
GA-N,20,500
GA-N,60,500
GA-N,60,100
GA-N,20,100
GA-N,60,200
GA-N,20,200
GA-N,60,100
GA-N,20,200
GA-N,20,200
GA-N,60,100
GA-N,20,100
GA-N,60,200
GA-N,40,100
GA-N,60,100
GA-N,60,100
GA-N,40,100
GA-N,40,50
GA-N,60,500
GA-N,20,500
GA-N,40,100
GA-N,40,500
GA-N,20,500
GA-N,20,100
GA-N,20,200
GA-N,60,200
GA-N,80,10
GA-N,20,500
GA-N,80,10
GA-N,40,500
GA-N,80,10
GA-N,80,10
GA-N,40,200
GA-N,20,500
GA-N,60,500
GA-N,40,500
GA-N,20,1000
GA-N,80,10
GA-N,80,10
GA-N,80,10
GA-N,80,10
GA-N,80,10
GA-N,80,10
GA-N,60,200
GA-N,60,200
GA-N,80,25
GA-N,20,1000
GA-N,40,500
GA-N,40,1000
GA-N,80,25
GA-N,80,25
GA-N,40,100
GA-N,80,25
GA-N,40,1000
GA-N,60,500
GA-N,60,1000
GA-N,60,200
GA-N,80,25
GA-N,80,25
GA-N,80,25
GA-N,80,25
GA-N,80,50
GA-N,80,25
GA-N,20,1000
GA-N,80,50
GA-N,80,50
GA-N,60,200
GA-N,80,25
GA-N,60,500
GA-N,40,500
GA-N,20,1000
GA-N,20,500
GA-N,60,1000
GA-N,80,50
GA-N,40,1000
GA-N,60,1000
GA-N,80,50
GA-N,80,50
GA-N,80,50
GA-N,80,50
GA-N,80,50
GA-N,40,1000
GA-N,60,1000
GA-N,40,500
GA-N,80,50
GA-N,80,100
GA-N,80,100
GA-N,40,1000
GA-N,80,200
GA-N,80,100
GA-N,80,100
GA-N,80,200
GA-N,40,1000
GA-N,80,200
GA-N,80,200
GA-N,80,100
GA-N,80,500
GA-N,80,100
GA-N,40,1000
GA-N,80,100
GA-N,80,200
GA-N,80,100
GA-N,80,200
GA-N,80,100
GA-N,60,1000
GA-N,20,1000
GA-N,100,10
GA-N,100,10
GA-N,100,10
GA-N,100,10
GA-N,100,10
GA-N,100,10
GA-N,80,100
GA-N,100,10
GA-N,80,200
GA-N,100,10
GA-N,100,10
GA-N,100,10
GA-N,20,1000
GA-N,60,1000
GA-N,100,25
GA-N,100,25
GA-N,80,200
GA-N,80,500
GA-N,80,200
GA-N,80,500
GA-N,80,200
GA-N,60,1000
GA-N,100,25
GA-N,100,25
GA-N,80,500
GA-N,100,25
GA-N,100,25
GA-N,100,25
GA-N,100,25
GA-N,80,500
GA-N,100,50
GA-N,100,50
GA-N,100,50
GA-N,80,500
GA-N,100,50
GA-N,100,50
GA-N,100,50
GA-N,100,50
GA-N,100,50
GA-N,80,500
GA-N,80,500
GA-N,20,1000
GA-N,100,50
GA-N,60,1000
GA-N,100,100
GA-N,100,100
GA-N,100,25
GA-N,100,25
GA-N,100,100
GA-N,100,50
GA-N,40,1000
GA-N,100,100
GA-N,60,1000
GA-N,100,100
GA-N,100,100
GA-N,100,100
GA-N,100,100
GA-N,100,100
GA-N,80,1000
GA-N,100,100
GA-N,100,200
GA-N,100,200
GA-N,100,200
GA-N,100,500
GA-N,100,200
GA-N,80,1000
GA-N,100,200
GA-N,100,200
GA-N,80,500
GA-N,80,500
GA-N,100,500
GA-N,100,200
GA-N,100,200
GA-N,100,200
GA-N,100,200
GA-N,100,500
GA-N,80,1000
GA-N,80,1000
GA-N,80,1000
GA-N,80,1000
GA-N,100,500
GA-N,100,500
GA-N,100,500
GA-N,80,1000
GA-N,100,1000
GA-N,80,1000
GA-N,100,500
GA-N,100,500
GA-N,80,1000
GA-N,100,500
GA-N,100,500
GA-N,80,1000
GA-N,100,1000
GA-N,100,1000
GA-N,40,5000
GA-N,100,1000
GA-N,100,1000
GA-N,100,1000
GA-N,100,1000
GA-N,100,1000
GA-N,100,1000
GA-N,40,5000
GA-N,20,5000
GA-N,100,1000
GA-N,20,5000
GA-N,40,5000
GA-N,20,5000
GA-N,20,5000
GA-N,20,5000
GA-N,40,5000
GA-N,20,5000
GA-N,40,5000
GA-N,40,5000
GA-N,40,5000
GA-N,20,5000
GA-N,60,5000
GA-N,20,5000
GA-N,20,5000
GA-N,60,5000
GA-N,40,5000
GA-N,80,5000
GA-N,20,5000
GA-N,40,5000
GA-N,60,5000
GA-N,60,5000
GA-N,60,5000
GA-N,40,5000
GA-N,60,5000
GA-N,60,5000
GA-N,80,5000
GA-N,80,5000
GA-N,80,5000
GA-N,80,5000
GA-N,100,5000
GA-N,60,5000
GA-N,80,5000
GA-N,80,5000
GA-N,60,5000
GA-N,80,5000
GA-N,100,5000
GA-N,100,5000
GA-N,60,5000
GA-N,80,5000
GA-N,100,5000
GA-N,80,5000
GA-N,100,5000
GA-N,100,5000
GA-N,100,5000
GA-N,100,5000
GA-N,100,5000
GA-N,100,5000
GA-Optimal,31.0,10
GA-Optimal,34.0,10
GA-Optimal,36.0,10
GA-Optimal,32.0,10
GA-Optimal,32.0,10
GA-Optimal,28.0,10
GA-Optimal,33.0,25
GA-Optimal,35.0,25
GA-Optimal,28.0,10
GA-Optimal,34.0,10
GA-Optimal,33.0,10
GA-Optimal,34.0,25
GA-Optimal,36.0,25
GA-Optimal,37.0,10
GA-Optimal,32.0,25
GA-Optimal,34.0,25
GA-Optimal,34.0,25
GA-Optimal,28.0,25
GA-Optimal,35.0,50
GA-Optimal,37.0,500
GA-Optimal,10.0,25
GA-Optimal,73.0,50
GA-Optimal,67.0,25
GA-Optimal,36.0,25
GA-Optimal,69.0,100
GA-Optimal,32.0,25
GA-Optimal,36.0,50
GA-Optimal,37.0,200
GA-Optimal,37.0,50
GA-Optimal,31.0,100
GA-Optimal,35.0,200
GA-Optimal,32.0,50
GA-Optimal,37.0,200
GA-Optimal,36.0,100
GA-Optimal,36.0,50
GA-Optimal,28.0,100
GA-Optimal,34.0,100
GA-Optimal,37.0,200
GA-Optimal,30.0,50
GA-Optimal,36.0,200
GA-Optimal,37.0,50
GA-Optimal,36.0,200
GA-Optimal,73.0,200
GA-Optimal,34.0,50
GA-Optimal,37.0,100
GA-Optimal,35.0,100
GA-Optimal,72.0,200
GA-Optimal,80.0,200
GA-Optimal,35.0,100
GA-Optimal,75.0,100
GA-Optimal,72.0,100
GA-Optimal,56.0,25
GA-Optimal,72.0,100
GA-Optimal,51.0,10
GA-Optimal,50.0,10
GA-Optimal,56.0,25
GA-Optimal,51.0,25
GA-Optimal,50.0,10
GA-Optimal,55.0,10
GA-Optimal,50.0,10
GA-Optimal,53.0,10
GA-Optimal,73.0,25
GA-Optimal,53.0,10
GA-Optimal,77.0,10
GA-Optimal,50.0,50
GA-Optimal,49.0,10
GA-Optimal,70.0,10
GA-Optimal,70.0,100
GA-Optimal,70.0,50
GA-Optimal,48.0,100
GA-Optimal,71.0,10
GA-Optimal,48.0,10
GA-Optimal,68.0,10
GA-Optimal,71.0,10
GA-Optimal,50.0,10
GA-Optimal,68.0,10
GA-Optimal,69.0,10
GA-Optimal,69.0,10
GA-Optimal,69.0,10
GA-Optimal,74.0,50
GA-Optimal,51.0,25
GA-Optimal,57.0,25
GA-Optimal,71.0,50
GA-Optimal,50.0,25
GA-Optimal,69.0,10
