value,iterations
2.0,25
0.0,10
3.0,10
0.0,25
6.0,50
0.0,25
1.0,10
0.0,25
0.0,10
6.0,100
2.0,50
15.0,200
6.0,25
7.0,100
37.0,200
2.0,50
1.0,50
8.0,100
27.0,100
4.0,100
20.0,500
4.0,10
4.0,50
37.0,500
8.0,10
2.0,25
37.0,500
8.0,200
4.0,10
12.0,200
35.0,200
15.0,200
29.0,100
37.0,500
20.0,200
10.0,200
26.0,10
2.0,100
28.0,50
37.0,500
7.0,100
2.0,10
8.0,200
1.0,25
0.0,10
9.0,100
4.0,100
1.0,25
14.0,200
1.0,50
1.0,25
20.0,500
5.0,25
37.0,500
1.0,50
27.0,50
20.0,500
37.0,500
6.0,50
20.0,1000
20.0,1000
20.0,1000
20.0,1000
20.0,1000
20.0,500
20.0,1000
37.0,1000
1.0,10
37.0,1000
37.0,1000
2.0,10
2.0,10
1.0,25
0.0,10
4.0,10
1.0,10
3.0,10
5.0,10
2.0,10
6.0,10
19.0,1000
0.0,25
8.0,500
6.0,500
3.0,10
2.0,10
10.0,500
5.0,25
1.0,25
0.0,10
2.0,50
1.0,50
2.0,10
1.0,50
3.0,50
5.0,50
2.0,25
4.0,100
4.0,100
2.0,100
3.0,50
1.0,50
1.0,25
2.0,25
4.0,25
1.0,50
5.0,10
4.0,100
3.0,200
3.0,100
3.0,50
3.0,100
48.0,100
2.0,100
6.0,200
11.0,200
8.0,25
2.0,100
5.0,50
1.0,100
1.0,50
5.0,50
0.0,50
1.0,50
2.0,100
3.0,100
6.0,50
3.0,100
0.0,25
1.0,25
4.0,25
0.0,10
6.0,200
0.0,25
1.0,25
7.0,200
8.0,100
3.0,10
6.0,100
5.0,200
3.0,50
3.0,50
2.0,50
1.0,50
1.0,100
1.0,50
3.0,25
0.0,25
2.0,10
1.0,10
5.0,200
47.0,200
4.0,200
6.0,100
2.0,25
2.0,10
1.0,50
1.0,25
2.0,25
4.0,10
0.0,25
2.0,25
1.0,10
0.0,10
10.0,50
2.0,200
1.0,200
7.0,200
11.0,200
6.0,100
0.0,10
3.0,100
3.0,10
5.0,100
0.0,10
5.0,10
3.0,50
1.0,25
1.0,100
1.0,100
5.0,100
3.0,100
18.0,1000
4.0,200
1.0,10
2.0,200
2.0,10
2.0,25
4.0,25
3.0,50
8.0,100
10.0,200
4.0,10
3.0,200
3.0,25
1.0,50
1.0,25
1.0,25
1.0,50
3.0,100
16.0,500
3.0,200
4.0,200
7.0,200
18.0,500
9.0,100
10.0,200
1.0,50
2.0,100
1.0,25
4.0,50
8.0,500
1.0,50
2.0,100
4.0,25
10.0,200
11.0,200
7.0,50
3.0,100
3.0,200
0.0,25
0.0,10
3.0,25
2.0,10
1.0,25
2.0,10
1.0,10
4.0,10
3.0,50
2.0,50
2.0,100
5.0,100
3.0,50
1.0,50
0.0,10
0.0,10
3.0,100
0.0,10
2.0,200
6.0,50
11.0,50
4.0,25
2.0,25
3.0,50
5.0,500
1.0,50
0.0,200
3.0,25
0.0,10
6.0,100
6.0,10
3.0,50
4.0,25
8.0,200
1.0,200
19.0,500
13.0,500
9.0,200
12.0,200
1.0,100
2.0,100
2.0,100
2.0,100
2.0,200
13.0,200
4.0,50
1.0,200
15.0,200
11.0,500
7.0,200
8.0,500
2.0,100
37.0,1000
16.0,1000
18.0,1000
18.0,1000
10.0,500
1.0,500
95.0,1000
2.0,500
20.0,500
19.0,1000
27.0,1000
21.0,500
11.0,500
9.0,500
30.0,1000
8.0,500
16.0,500
9.0,1000
29.0,1000
10.0,1000
7.0,1000
8.0,1000
7.0,1000
10.0,500
5.0,500
3.0,200
20.0,1000
2.0,200
4.0,100
1.0,200
54.0,500
6.0,500
16.0,500
4.0,200
2.0,25
7.0,25
1.0,25
1.0,25
9.0,500
4.0,200
19.0,1000
18.0,500
8.0,500
35.0,1000
6.0,500
11.0,1000
9.0,500
40.0,1000
19.0,500
6.0,500
36.0,1000
9.0,500
22.0,1000
8.0,500
9.0,500
5.0,1000
22.0,1000
4.0,500
14.0,1000
10.0,500
17.0,1000
30.0,1000
37.0,5000
19.0,1000
13.0,500
7.0,1000
9.0,1000
21.0,1000
18.0,1000
14.0,1000
26.0,1000
10.0,500
1.0,500
18.0,1000
13.0,1000
26.0,1000
60.0,5000
8.0,1000
12.0,1000
16.0,1000
37.0,5000
20.0,5000
60.0,5000
60.0,5000
40.0,5000
37.0,5000
67.0,5000
49.0,5000
40.0,5000
37.0,5000
60.0,5000
54.0,5000
40.0,5000
49.0,5000
40.0,5000
89.0,5000
28.0,5000
78.0,5000
60.0,5000
60.0,5000
40.0,5000
60.0,5000
37.0,5000
20.0,5000
44.0,5000
75.0,5000
83.0,5000
40.0,5000
65.0,5000
43.0,5000
60.0,5000
44.0,5000
80.0,5000
20.0,5000
60.0,5000
60.0,5000
40.0,5000
80.0,5000
72.0,5000
47.0,5000
75.0,5000
20.0,5000
40.0,5000
40.0,5000
70.0,5000
60.0,5000
20.0,5000
78.0,5000
