algorithm,value,iterations
RHC-N,20,25
RHC-N,20,10
RHC-N,20,10
RHC-N,20,25
RHC-N,20,50
RHC-N,20,25
RHC-N,20,10
RHC-N,20,25
RHC-N,20,10
RHC-N,20,100
RHC-N,20,50
RHC-N,20,200
RHC-N,20,25
RHC-N,20,100
RHC-N,20,200
RHC-N,20,50
RHC-N,20,50
RHC-N,20,100
RHC-N,20,100
RHC-N,20,100
RHC-N,20,500
RHC-N,20,10
RHC-N,20,50
RHC-N,20,500
RHC-N,20,10
RHC-N,20,25
RHC-N,20,500
RHC-N,20,200
RHC-N,20,10
RHC-N,20,200
RHC-N,20,200
RHC-N,20,200
RHC-N,20,100
RHC-N,20,500
RHC-N,20,200
RHC-N,20,200
RHC-N,20,10
RHC-N,20,100
RHC-N,20,50
RHC-N,20,500
RHC-N,20,100
RHC-N,20,10
RHC-N,20,200
RHC-N,20,25
RHC-N,20,10
RHC-N,20,100
RHC-N,20,100
RHC-N,20,25
RHC-N,20,200
RHC-N,20,50
RHC-N,20,25
RHC-N,20,500
RHC-N,20,25
RHC-N,20,500
RHC-N,20,50
RHC-N,20,50
RHC-N,20,500
RHC-N,20,500
RHC-N,20,50
RHC-N,20,1000
RHC-N,20,1000
RHC-N,20,1000
RHC-N,20,1000
RHC-N,20,1000
RHC-N,20,500
RHC-N,20,1000
RHC-N,20,1000
RHC-N,40,10
RHC-N,20,1000
RHC-N,20,1000
RHC-N,40,10
RHC-N,80,10
RHC-N,80,25
RHC-N,80,10
RHC-N,80,10
RHC-N,80,10
RHC-N,80,10
RHC-N,80,10
RHC-N,80,10
RHC-N,80,10
RHC-N,60,1000
RHC-N,80,25
RHC-N,60,500
RHC-N,60,500
RHC-N,60,10
RHC-N,60,10
RHC-N,60,500
RHC-N,80,25
RHC-N,80,25
RHC-N,80,10
RHC-N,80,50
RHC-N,80,50
RHC-N,80,10
RHC-N,80,50
RHC-N,80,50
RHC-N,80,50
RHC-N,80,25
RHC-N,60,100
RHC-N,60,100
RHC-N,60,100
RHC-N,60,50
RHC-N,60,50
RHC-N,40,25
RHC-N,80,25
RHC-N,40,25
RHC-N,60,50
RHC-N,40,10
RHC-N,60,100
RHC-N,60,200
RHC-N,40,100
RHC-N,60,50
RHC-N,80,100
RHC-N,40,100
RHC-N,40,100
RHC-N,60,200
RHC-N,40,200
RHC-N,40,25
RHC-N,60,100
RHC-N,60,50
RHC-N,60,100
RHC-N,60,50
RHC-N,60,50
RHC-N,60,50
RHC-N,60,50
RHC-N,60,100
RHC-N,60,100
RHC-N,60,50
RHC-N,40,100
RHC-N,60,25
RHC-N,60,25
RHC-N,60,25
RHC-N,60,10
RHC-N,80,200
RHC-N,40,25
RHC-N,60,25
RHC-N,60,200
RHC-N,40,100
RHC-N,40,10
RHC-N,60,100
RHC-N,60,200
RHC-N,40,50
RHC-N,40,50
RHC-N,40,50
RHC-N,40,50
RHC-N,40,100
RHC-N,40,50
RHC-N,40,25
RHC-N,60,25
RHC-N,40,10
RHC-N,60,10
RHC-N,40,200
RHC-N,40,200
RHC-N,40,200
RHC-N,40,100
RHC-N,40,25
RHC-N,40,10
RHC-N,40,50
RHC-N,60,25
RHC-N,40,25
RHC-N,40,10
RHC-N,40,25
RHC-N,40,25
RHC-N,60,10
RHC-N,60,10
RHC-N,80,50
RHC-N,80,200
RHC-N,60,200
RHC-N,80,200
RHC-N,80,200
RHC-N,80,100
RHC-N,60,10
RHC-N,40,100
RHC-N,60,10
RHC-N,80,100
RHC-N,60,10
RHC-N,40,10
RHC-N,80,50
RHC-N,80,25
RHC-N,80,100
RHC-N,80,100
RHC-N,40,100
RHC-N,80,100
RHC-N,60,1000
RHC-N,60,200
RHC-N,40,10
RHC-N,40,200
RHC-N,60,10
RHC-N,60,25
RHC-N,60,25
RHC-N,40,50
RHC-N,40,100
RHC-N,60,200
RHC-N,40,10
RHC-N,40,200
RHC-N,60,25
RHC-N,40,50
RHC-N,40,25
RHC-N,60,25
RHC-N,80,50
RHC-N,80,100
RHC-N,60,500
RHC-N,80,200
RHC-N,40,200
RHC-N,40,200
RHC-N,40,500
RHC-N,80,100
RHC-N,80,200
RHC-N,80,50
RHC-N,60,100
RHC-N,80,25
RHC-N,40,50
RHC-N,60,500
RHC-N,80,50
RHC-N,80,100
RHC-N,80,25
RHC-N,60,200
RHC-N,40,200
RHC-N,40,50
RHC-N,80,100
RHC-N,40,200
RHC-N,80,25
RHC-N,100,10
RHC-N,100,25
RHC-N,100,10
RHC-N,100,25
RHC-N,100,10
RHC-N,100,10
RHC-N,100,10
RHC-N,100,50
RHC-N,100,50
RHC-N,100,100
RHC-N,100,100
RHC-N,100,50
RHC-N,100,50
RHC-N,100,10
RHC-N,100,10
RHC-N,100,100
RHC-N,100,10
RHC-N,60,200
RHC-N,100,50
RHC-N,100,50
RHC-N,100,25
RHC-N,100,25
RHC-N,100,50
RHC-N,80,500
RHC-N,100,50
RHC-N,100,200
RHC-N,100,25
RHC-N,100,10
RHC-N,100,100
RHC-N,100,10
RHC-N,100,50
RHC-N,100,25
RHC-N,60,200
RHC-N,100,200
RHC-N,40,500
RHC-N,40,500
RHC-N,80,200
RHC-N,100,200
RHC-N,100,100
RHC-N,100,100
RHC-N,100,100
RHC-N,100,100
RHC-N,80,200
RHC-N,100,200
RHC-N,100,50
RHC-N,100,200
RHC-N,100,200
RHC-N,100,500
RHC-N,80,200
RHC-N,80,500
RHC-N,100,100
RHC-N,20,1000
RHC-N,60,1000
RHC-N,40,1000
RHC-N,40,1000
RHC-N,40,500
RHC-N,100,500
RHC-N,80,1000
RHC-N,100,500
RHC-N,60,500
RHC-N,100,1000
RHC-N,100,1000
RHC-N,80,500
RHC-N,60,500
RHC-N,80,500
RHC-N,60,1000
RHC-N,100,500
RHC-N,60,500
RHC-N,80,1000
RHC-N,40,1000
RHC-N,100,1000
RHC-N,80,1000
RHC-N,100,1000
RHC-N,100,1000
RHC-N,40,500
RHC-N,80,500
RHC-N,80,200
RHC-N,60,1000
RHC-N,100,200
RHC-N,100,100
RHC-N,100,200
RHC-N,40,500
RHC-N,100,500
RHC-N,60,500
RHC-N,100,200
RHC-N,100,25
RHC-N,100,25
RHC-N,100,25
RHC-N,100,25
RHC-N,80,500
RHC-N,100,200
RHC-N,100,1000
RHC-N,40,500
RHC-N,100,500
RHC-N,40,1000
RHC-N,100,500
RHC-N,60,1000
RHC-N,80,500
RHC-N,40,1000
RHC-N,40,500
RHC-N,100,500
RHC-N,40,1000
RHC-N,40,500
RHC-N,60,1000
RHC-N,80,500
RHC-N,80,500
RHC-N,100,1000
RHC-N,60,1000
RHC-N,100,500
RHC-N,100,1000
RHC-N,40,500
RHC-N,80,1000
RHC-N,40,1000
RHC-N,20,5000
RHC-N,40,1000
RHC-N,100,500
RHC-N,60,1000
RHC-N,80,1000
RHC-N,40,1000
RHC-N,80,1000
RHC-N,80,1000
RHC-N,80,1000
RHC-N,80,500
RHC-N,60,500
RHC-N,100,1000
RHC-N,60,1000
RHC-N,40,1000
RHC-N,60,5000
RHC-N,100,1000
RHC-N,80,1000
RHC-N,80,1000
RHC-N,20,5000
RHC-N,20,5000
RHC-N,60,5000
RHC-N,60,5000
RHC-N,40,5000
RHC-N,20,5000
RHC-N,80,5000
RHC-N,80,5000
RHC-N,40,5000
RHC-N,20,5000
RHC-N,60,5000
RHC-N,100,5000
RHC-N,40,5000
RHC-N,80,5000
RHC-N,40,5000
RHC-N,100,5000
RHC-N,100,5000
RHC-N,80,5000
RHC-N,60,5000
RHC-N,100,5000
RHC-N,40,5000
RHC-N,60,5000
RHC-N,20,5000
RHC-N,20,5000
RHC-N,100,5000
RHC-N,40,5000
RHC-N,100,5000
RHC-N,40,5000
RHC-N,100,5000
RHC-N,100,5000
RHC-N,60,5000
RHC-N,100,5000
RHC-N,80,5000
RHC-N,20,5000
RHC-N,60,5000
RHC-N,60,5000
RHC-N,40,5000
RHC-N,80,5000
RHC-N,80,5000
RHC-N,100,5000
RHC-N,80,5000
RHC-N,20,5000
RHC-N,40,5000
