value,iterations
1.0,25
1.0,10
1.0,10
1.0,10
2.0,10
0.0,10
0.0,10
0.0,10
0.0,10
0.0,25
2.0,25
1.0,25
1.0,25
0.0,25
0.0,25
1.0,25
3.0,10
2.0,25
1.0,10
1.0,25
3.0,50
3.0,50
55.0,1000
2.0,500
0.0,500
0.0,200
1.0,500
2.0,200
5.0,200
3.0,500
3.0,200
3.0,200
4.0,500
0.0,200
1.0,200
2.0,500
2.0,50
2.0,100
2.0,100
3.0,500
5.0,100
1.0,500
0.0,100
5.0,500
8.0,100
0.0,100
0.0,100
1.0,100
3.0,100
3.0,50
0.0,100
1.0,50
0.0,50
2.0,500
3.0,50
0.0,50
0.0,50
0.0,50
0.0,50
2.0,50
3.0,50
5.0,200
1.0,25
4.0,25
0.0,25
1.0,25
0.0,25
1.0,25
2.0,25
2.0,25
0.0,50
1.0,25
0.0,200
1.0,25
1.0,10
2.0,10
2.0,10
2.0,10
4.0,10
2.0,10
5.0,10
3.0,10
0.0,200
4.0,10
0.0,10
4.0,50
1.0,50
2.0,100
2.0,10
2.0,10
1.0,10
1.0,25
0.0,100
2.0,25
0.0,25
1.0,25
4.0,25
3.0,25
0.0,25
3.0,50
0.0,50
1.0,50
3.0,50
25.0,50
0.0,50
7.0,50
5.0,50
0.0,50
1.0,100
2.0,50
0.0,25
1.0,10
1.0,10
0.0,10
1.0,10
1.0,10
1.0,10
2.0,10
2.0,200
1.0,200
1.0,200
1.0,25
3.0,25
4.0,200
2.0,100
1.0,100
1.0,50
3.0,50
0.0,200
0.0,100
0.0,200
4.0,100
4.0,50
1.0,100
1.0,200
3.0,200
0.0,50
0.0,100
2.0,200
27.0,500
5.0,500
37.0,1000
15.0,1000
4.0,500
37.0,1000
20.0,1000
14.0,1000
37.0,1000
0.0,500
0.0,50
3.0,50
4.0,500
1.0,500
75.0,5000
3.0,200
2.0,25
0.0,25
0.0,10
2.0,10
0.0,10
0.0,10
1.0,10
2.0,10
4.0,100
8.0,200
6.0,25
3.0,100
1.0,200
3.0,200
4.0,10
0.0,50
1.0,10
1.0,100
4.0,50
1.0,100
4.0,50
0.0,100
1.0,10
2.0,25
3.0,25
4.0,25
3.0,25
3.0,10
1.0,100
3.0,200
2.0,100
1.0,100
0.0,200
3.0,100
3.0,50
1.0,100
1.0,200
1.0,50
0.0,200
0.0,50
0.0,100
2.0,100
3.0,200
0.0,50
1.0,200
2.0,200
0.0,200
0.0,100
0.0,25
0.0,100
6.0,100
1.0,25
0.0,25
0.0,100
4.0,100
0.0,100
2.0,100
0.0,50
2.0,200
1.0,50
0.0,50
1.0,50
2.0,50
1.0,25
1.0,25
1.0,10
0.0,10
0.0,100
1.0,50
1.0,25
3.0,10
1.0,10
1.0,25
0.0,10
1.0,500
2.0,10
0.0,500
0.0,10
1.0,25
0.0,25
2.0,500
2.0,500
8.0,1000
7.0,1000
11.0,1000
1.0,500
20.0,1000
4.0,500
3.0,500
50.0,1000
8.0,1000
37.0,1000
4.0,200
55.0,1000
37.0,1000
19.0,1000
1.0,500
15.0,1000
4.0,500
2.0,10
37.0,1000
1.0,10
2.0,200
0.0,10
2.0,100
13.0,1000
0.0,50
2.0,100
0.0,50
4.0,25
3.0,100
2.0,500
2.0,100
1.0,25
4.0,500
1.0,100
1.0,200
3.0,500
0.0,50
3.0,100
0.0,50
15.0,1000
3.0,200
1.0,500
1.0,200
1.0,50
2.0,200
4.0,200
2.0,200
0.0,200
4.0,200
4.0,200
1.0,200
2.0,500
2.0,500
0.0,100
1.0,200
1.0,200
16.0,1000
12.0,1000
4.0,500
3.0,100
1.0,200
6.0,100
2.0,100
1.0,200
0.0,200
6.0,500
1.0,100
7.0,500
0.0,25
8.0,1000
2.0,500
0.0,200
1.0,25
16.0,1000
7.0,1000
3.0,1000
37.0,1000
8.0,1000
9.0,1000
9.0,500
2.0,500
6.0,1000
5.0,1000
1.0,500
0.0,500
0.0,500
1.0,500
1.0,500
8.0,1000
0.0,500
25.0,500
6.0,1000
9.0,1000
37.0,1000
5.0,1000
13.0,1000
8.0,1000
65.0,1000
20.0,1000
37.0,1000
2.0,500
2.0,500
2.0,500
5.0,500
20.0,1000
6.0,1000
15.0,1000
9.0,1000
6.0,1000
4.0,500
75.0,5000
3.0,500
8.0,1000
37.0,5000
6.0,1000
75.0,5000
37.0,5000
7.0,1000
40.0,5000
37.0,5000
132.0,5000
110.0,5000
37.0,5000
113.0,5000
54.0,5000
75.0,5000
60.0,5000
144.0,5000
113.0,5000
40.0,5000
113.0,5000
52.0,5000
37.0,5000
37.0,5000
37.0,5000
75.0,5000
70.0,5000
41.0,5000
58.0,5000
37.0,5000
75.0,5000
75.0,5000
58.0,5000
50.0,5000
59.0,5000
37.0,5000
113.0,5000
113.0,5000
46.0,5000
46.0,5000
133.0,5000
41.0,5000
60.0,5000
113.0,5000
50.0,5000
113.0,5000
59.0,5000
55.0,5000
62.0,5000
37.0,5000
113.0,5000
37.0,5000
75.0,5000
