algorithm,value,iterations
SA-N,60,25
SA-N,60,10
SA-N,60,10
SA-N,60,10
SA-N,60,10
SA-N,60,10
SA-N,60,10
SA-N,60,10
SA-N,60,10
SA-N,60,25
SA-N,60,25
SA-N,60,25
SA-N,60,25
SA-N,60,25
SA-N,60,25
SA-N,60,25
SA-N,60,10
SA-N,60,25
SA-N,60,10
SA-N,60,25
SA-N,60,50
SA-N,60,50
SA-N,40,1000
SA-N,40,500
SA-N,40,500
SA-N,40,200
SA-N,40,500
SA-N,40,200
SA-N,40,200
SA-N,40,500
SA-N,40,200
SA-N,40,200
SA-N,40,500
SA-N,40,200
SA-N,40,200
SA-N,40,500
SA-N,60,50
SA-N,40,100
SA-N,40,100
SA-N,40,500
SA-N,40,100
SA-N,40,500
SA-N,40,100
SA-N,40,500
SA-N,40,100
SA-N,40,100
SA-N,40,100
SA-N,40,100
SA-N,40,100
SA-N,40,50
SA-N,40,100
SA-N,40,50
SA-N,40,50
SA-N,40,500
SA-N,40,50
SA-N,40,50
SA-N,40,50
SA-N,40,50
SA-N,40,50
SA-N,40,50
SA-N,40,50
SA-N,40,200
SA-N,40,25
SA-N,40,25
SA-N,40,25
SA-N,40,25
SA-N,40,25
SA-N,40,25
SA-N,40,25
SA-N,40,25
SA-N,60,50
SA-N,40,25
SA-N,40,200
SA-N,40,25
SA-N,40,10
SA-N,40,10
SA-N,40,10
SA-N,40,10
SA-N,40,10
SA-N,40,10
SA-N,40,10
SA-N,40,10
SA-N,40,200
SA-N,40,10
SA-N,40,10
SA-N,60,50
SA-N,60,50
SA-N,20,100
SA-N,20,10
SA-N,20,10
SA-N,20,10
SA-N,20,25
SA-N,20,100
SA-N,20,25
SA-N,20,25
SA-N,20,25
SA-N,20,25
SA-N,20,25
SA-N,20,25
SA-N,20,50
SA-N,20,50
SA-N,20,50
SA-N,20,50
SA-N,20,50
SA-N,20,50
SA-N,20,50
SA-N,20,50
SA-N,20,50
SA-N,20,100
SA-N,20,50
SA-N,20,25
SA-N,20,10
SA-N,20,10
SA-N,20,10
SA-N,20,10
SA-N,20,10
SA-N,20,10
SA-N,20,10
SA-N,20,200
SA-N,20,200
SA-N,20,200
SA-N,20,25
SA-N,20,25
SA-N,20,200
SA-N,20,100
SA-N,60,100
SA-N,60,50
SA-N,60,50
SA-N,20,200
SA-N,60,100
SA-N,60,200
SA-N,60,100
SA-N,60,50
SA-N,60,100
SA-N,20,200
SA-N,20,200
SA-N,60,50
SA-N,60,100
SA-N,20,200
SA-N,20,500
SA-N,20,500
SA-N,20,1000
SA-N,40,1000
SA-N,20,500
SA-N,20,1000
SA-N,60,1000
SA-N,60,1000
SA-N,20,1000
SA-N,20,500
SA-N,80,50
SA-N,80,50
SA-N,20,500
SA-N,60,500
SA-N,40,5000
SA-N,60,200
SA-N,80,25
SA-N,80,25
SA-N,80,10
SA-N,80,10
SA-N,80,10
SA-N,80,10
