algorithm iterations optimal
GAHighPop 1 -1.0
GAHighPop 500 -1.0
GAHighPop 1000 -1.0
GAHighPop 1500 -1.0
GAHighPop 2000 -1.0
GAHighPop 2500 -1.0
GAHighPop 3000 -1.0
GAHighPop 3500 -1.0
GAHighPop 4000 -1.0
GAHighPop 4500 -1.0
GAHighPop 5000 -1.0
GALowPop 1 -1.0
GALowPop 500 -1.0
GALowPop 1000 -1.0
GALowPop 1500 -1.0
GALowPop 2000 -1.0
GALowPop 2500 -1.0
GALowPop 3000 -1.0
GALowPop 3500 -1.0
GALowPop 4000 -1.0
GALowPop 4500 -1.0
GALowPop 5000 -1.0
MIMIC200 1 20.0
MIMIC200 500 130.0
MIMIC200 1000 71.0
MIMIC200 1500 76.0
MIMIC200 2000 95.0
MIMIC200 2500 100.0
MIMIC200 3000 189.0
MIMIC200 3500 100.0
MIMIC200 4000 189.0
MIMIC200 4500 100.0
MIMIC200 5000 100.0
MIMIC50 1 12.0
MIMIC50 500 149.0
MIMIC50 1000 85.0
MIMIC50 1500 186.0
MIMIC50 2000 189.0
MIMIC50 2500 189.0
MIMIC50 3000 100.0
MIMIC50 3500 100.0
MIMIC50 4000 189.0
MIMIC50 4500 189.0
MIMIC50 5000 189.0
RHC 1 2.0
RHC 500 2.0
RHC 1000 11.0
RHC 1500 30.0
RHC 2000 25.0
RHC 2500 23.0
RHC 3000 29.0
RHC 3500 43.0
RHC 4000 31.0
RHC 4500 45.0
RHC 5000 55.0
SA55 1 1.0
SA55 500 2.0
SA55 1000 9.0
SA55 1500 26.0
SA55 2000 22.0
SA55 2500 31.0
SA55 3000 37.0
SA55 3500 35.0
SA55 4000 46.0
SA55 4500 54.0
SA55 5000 39.0
SA75 1 1.0
SA75 500 9.0
SA75 1000 19.0
SA75 1500 8.0
SA75 2000 19.0
SA75 2500 23.0
SA75 3000 39.0
SA75 3500 56.0
SA75 4000 40.0
SA75 4500 46.0
SA75 5000 48.0
SA95 1 1.0
SA95 500 2.0
SA95 1000 14.0
SA95 1500 10.0
SA95 2000 18.0
SA95 2500 22.0
SA95 3000 39.0
SA95 3500 127.0
SA95 4000 49.0
SA95 4500 26.0
SA95 5000 40.0
