algorithm,iterations,optimal
GAHighPop,1,7.0
GALowPop,1,9.0
MIMIC200,1,13.0
MIMIC50,1,7.0
RHC,1,1.0
SA55,1,0.0
SA75,1,2.0
SA95,1,0.0
GAHighPop,500,114.0
GALowPop,500,126.0
MIMIC200,500,37.0
MIMIC50,500,63.0
RHC,500,4.0
SA55,500,9.0
SA75,500,10.0
SA95,500,3.0
GAHighPop,1000,117.0
GALowPop,1000,115.0
MIMIC200,1000,56.0
MIMIC50,1000,84.0
RHC,1000,3.0
SA55,1000,17.0
SA75,1000,7.0
SA95,1000,5.0
GAHighPop,1500,31.0
GALowPop,1500,123.0
MIMIC200,1500,68.0
MIMIC50,1500,176.0
RHC,1500,6.0
SA55,1500,20.0
SA75,1500,24.0
SA95,1500,22.0
GAHighPop,2000,123.0
GALowPop,2000,123.0
MIMIC200,2000,97.0
MIMIC50,2000,100.0
RHC,2000,18.0
SA55,2000,37.0
SA75,2000,14.0
SA95,2000,22.0
GAHighPop,2500,49.0
GALowPop,2500,125.0
MIMIC200,2500,94.0
MIMIC50,2500,100.0
RHC,2500,25.0
SA55,2500,40.0
SA75,2500,15.0
SA95,2500,30.0
GAHighPop,3000,51.0
GALowPop,3000,54.0
MIMIC200,3000,99.0
MIMIC50,3000,100.0
RHC,3000,34.0
SA55,3000,62.0
SA75,3000,34.0
SA95,3000,29.0
GAHighPop,3500,48.0
GALowPop,3500,113.0
MIMIC200,3500,189.0
MIMIC50,3500,189.0
RHC,3500,33.0
SA55,3500,39.0
SA75,3500,43.0
SA95,3500,42.0
GAHighPop,4000,54.0
GALowPop,4000,127.0
MIMIC200,4000,100.0
MIMIC50,4000,100.0
RHC,4000,35.0
SA55,4000,26.0
SA75,4000,51.0
SA95,4000,45.0
GAHighPop,4500,127.0
GALowPop,4500,136.0
MIMIC200,4500,189.0
MIMIC50,4500,100.0
RHC,4500,57.0
SA55,4500,69.0
SA75,4500,47.0
SA95,4500,45.0
GAHighPop,5000,63.0
GALowPop,5000,65.0
MIMIC200,5000,100.0
MIMIC50,5000,100.0
RHC,5000,63.0
SA55,5000,48.0
SA75,5000,156.0
SA95,5000,47.0
