algorithm,iterations,time
GAHighPop,1,32.0
GALowPop,1,74.0
MIMIC200,1,2098.0
MIMIC50,1,1476.0
RHC,1,18.0
SA55,1,4.0
SA75,1,16.0
SA95,1,0.0
GAHighPop,500,1214.0
GALowPop,500,1443.0
MIMIC200,500,28721.0
MIMIC50,500,12585.0
RHC,500,96.0
SA55,500,65.0
SA75,500,124.0
SA95,500,21.0
GAHighPop,1000,1885.0
GALowPop,1000,2087.0
MIMIC200,1000,50538.0
MIMIC50,1000,22188.0
RHC,1000,290.0
SA55,1000,257.0
SA75,1000,51.0
SA95,1000,50.0
GAHighPop,1500,2301.0
GALowPop,1500,1585.0
MIMIC200,1500,68600.0
MIMIC50,1500,30928.0
RHC,1500,351.0
SA55,1500,335.0
SA75,1500,305.0
SA95,1500,148.0
GAHighPop,2000,2672.0
GALowPop,2000,2727.0
MIMIC200,2000,81077.0
MIMIC50,2000,38295.0
RHC,2000,828.0
SA55,2000,356.0
SA75,2000,872.0
SA95,2000,353.0
GAHighPop,2500,3235.0
GALowPop,2500,3480.0
MIMIC200,2500,89887.0
MIMIC50,2500,45178.0
RHC,2500,595.0
SA55,2500,829.0
SA75,2500,369.0
SA95,2500,307.0
GAHighPop,3000,4182.0
GALowPop,3000,4365.0
MIMIC200,3000,97386.0
MIMIC50,3000,51924.0
RHC,3000,1002.0
SA55,3000,1248.0
SA75,3000,882.0
SA95,3000,1296.0
GAHighPop,3500,5231.0
GALowPop,3500,3996.0
MIMIC200,3500,100614.0
MIMIC50,3500,58723.0
RHC,3500,919.0
SA55,3500,974.0
SA75,3500,1227.0
SA95,3500,1058.0
GAHighPop,4000,5273.0
GALowPop,4000,5766.0
MIMIC200,4000,103268.0
MIMIC50,4000,64585.0
RHC,4000,1251.0
SA55,4000,1109.0
SA75,4000,943.0
SA95,4000,1330.0
GAHighPop,4500,6550.0
GALowPop,4500,6756.0
MIMIC200,4500,105917.0
MIMIC50,4500,70910.0
RHC,4500,767.0
SA55,4500,1402.0
SA75,4500,1322.0
SA95,4500,1269.0
GAHighPop,5000,7175.0
GALowPop,5000,7144.0
MIMIC200,5000,107492.0
MIMIC50,5000,75121.0
RHC,5000,1405.0
SA55,5000,1533.0
SA75,5000,1563.0
SA95,5000,1383.0
