algorithm,iterations,optimal
GAHighPop,1,11.0
GAHighPop,1,113.0
GAHighPop,1,12.0
GAHighPop,1,14.0
GAHighPop,1,7.0
GAHighPop,1,7.0
GAHighPop,1,8.0
GAHighPop,1,8.0
GAHighPop,1,9.0
GAHighPop,1,9.0
GAHighPop,500,113.0
GAHighPop,500,114.0
GAHighPop,500,115.0
GAHighPop,500,118.0
GAHighPop,500,120.0
GAHighPop,500,20.0
GAHighPop,500,22.0
GAHighPop,500,22.0
GAHighPop,500,23.0
GAHighPop,500,27.0
GAHighPop,1000,112.0
GAHighPop,1000,113.0
GAHighPop,1000,118.0
GAHighPop,1000,121.0
GAHighPop,1000,123.0
GAHighPop,1000,19.0
GAHighPop,1000,20.0
GAHighPop,1000,23.0
GAHighPop,1000,26.0
GAHighPop,1000,34.0
GAHighPop,1500,112.0
GAHighPop,1500,117.0
GAHighPop,1500,121.0
GAHighPop,1500,124.0
GAHighPop,1500,125.0
GAHighPop,1500,129.0
GAHighPop,1500,31.0
GAHighPop,1500,32.0
GAHighPop,1500,33.0
GAHighPop,1500,34.0
GAHighPop,2000,117.0
GAHighPop,2000,120.0
GAHighPop,2000,121.0
GAHighPop,2000,24.0
GAHighPop,2000,29.0
GAHighPop,2000,30.0
GAHighPop,2000,33.0
GAHighPop,2000,34.0
GAHighPop,2000,38.0
GAHighPop,2000,40.0
GAHighPop,2500,114.0
GAHighPop,2500,115.0
GAHighPop,2500,115.0
GAHighPop,2500,118.0
GAHighPop,2500,125.0
GAHighPop,2500,130.0
GAHighPop,2500,138.0
GAHighPop,2500,33.0
GAHighPop,2500,37.0
GAHighPop,2500,49.0
GAHighPop,3000,116.0
GAHighPop,3000,119.0
GAHighPop,3000,121.0
GAHighPop,3000,124.0
GAHighPop,3000,127.0
GAHighPop,3000,132.0
GAHighPop,3000,134.0
GAHighPop,3000,32.0
GAHighPop,3000,33.0
GAHighPop,3000,45.0
GAHighPop,3500,119.0
GAHighPop,3500,123.0
GAHighPop,3500,124.0
GAHighPop,3500,128.0
GAHighPop,3500,133.0
GAHighPop,3500,33.0
GAHighPop,3500,40.0
GAHighPop,3500,45.0
GAHighPop,3500,48.0
GAHighPop,3500,55.0
GAHighPop,4000,126.0
GAHighPop,4000,129.0
GAHighPop,4000,131.0
GAHighPop,4000,132.0
GAHighPop,4000,134.0
GAHighPop,4000,135.0
GAHighPop,4000,136.0
GAHighPop,4000,43.0
GAHighPop,4000,53.0
GAHighPop,4000,54.0
GAHighPop,4500,119.0
GAHighPop,4500,121.0
GAHighPop,4500,124.0
GAHighPop,4500,128.0
GAHighPop,4500,140.0
GAHighPop,4500,145.0
GAHighPop,4500,147.0
GAHighPop,4500,44.0
GAHighPop,4500,56.0
GAHighPop,4500,57.0
GAHighPop,5000,123.0
GAHighPop,5000,128.0
GAHighPop,5000,132.0
GAHighPop,5000,133.0
GAHighPop,5000,139.0
GAHighPop,5000,140.0
GAHighPop,5000,50.0
GAHighPop,5000,51.0
GAHighPop,5000,57.0
GAHighPop,5000,61.0
GALowPop,1,10.0
GALowPop,1,10.0
GALowPop,1,11.0
GALowPop,1,14.0
GALowPop,1,7.0
GALowPop,1,7.0
GALowPop,1,7.0
GALowPop,1,8.0
GALowPop,1,8.0
GALowPop,1,9.0
GALowPop,500,112.0
GALowPop,500,114.0
GALowPop,500,114.0
GALowPop,500,117.0
GALowPop,500,118.0
GALowPop,500,119.0
GALowPop,500,123.0
GALowPop,500,13.0
GALowPop,500,16.0
GALowPop,500,25.0
GALowPop,1000,114.0
GALowPop,1000,115.0
GALowPop,1000,116.0
GALowPop,1000,118.0
GALowPop,1000,120.0
GALowPop,1000,18.0
GALowPop,1000,24.0
GALowPop,1000,26.0
GALowPop,1000,31.0
GALowPop,1000,34.0
GALowPop,1500,115.0
GALowPop,1500,117.0
GALowPop,1500,117.0
GALowPop,1500,121.0
GALowPop,1500,122.0
GALowPop,1500,18.0
GALowPop,1500,25.0
GALowPop,1500,33.0
GALowPop,1500,36.0
GALowPop,1500,40.0
GALowPop,2000,115.0
GALowPop,2000,119.0
GALowPop,2000,119.0
GALowPop,2000,119.0
GALowPop,2000,123.0
GALowPop,2000,123.0
GALowPop,2000,126.0
GALowPop,2000,28.0
GALowPop,2000,37.0
GALowPop,2000,38.0
GALowPop,2500,115.0
GALowPop,2500,119.0
GALowPop,2500,119.0
GALowPop,2500,125.0
GALowPop,2500,128.0
GALowPop,2500,37.0
GALowPop,2500,39.0
GALowPop,2500,42.0
GALowPop,2500,43.0
GALowPop,2500,56.0
GALowPop,3000,115.0
GALowPop,3000,120.0
GALowPop,3000,123.0
GALowPop,3000,127.0
GALowPop,3000,129.0
GALowPop,3000,133.0
GALowPop,3000,138.0
GALowPop,3000,140.0
GALowPop,3000,150.0
GALowPop,3000,41.0
GALowPop,3500,116.0
GALowPop,3500,121.0
GALowPop,3500,124.0
GALowPop,3500,124.0
GALowPop,3500,127.0
GALowPop,3500,135.0
GALowPop,3500,143.0
GALowPop,3500,35.0
GALowPop,3500,39.0
GALowPop,3500,41.0
GALowPop,4000,119.0
GALowPop,4000,122.0
GALowPop,4000,124.0
GALowPop,4000,125.0
GALowPop,4000,129.0
GALowPop,4000,132.0
GALowPop,4000,142.0
GALowPop,4000,39.0
GALowPop,4000,50.0
GALowPop,4000,65.0
GALowPop,4500,116.0
GALowPop,4500,122.0
GALowPop,4500,124.0
GALowPop,4500,126.0
GALowPop,4500,129.0
GALowPop,4500,133.0
GALowPop,4500,137.0
GALowPop,4500,137.0
GALowPop,4500,47.0
GALowPop,4500,64.0
GALowPop,5000,126.0
GALowPop,5000,126.0
GALowPop,5000,127.0
GALowPop,5000,129.0
GALowPop,5000,134.0
GALowPop,5000,144.0
GALowPop,5000,161.0
GALowPop,5000,48.0
GALowPop,5000,50.0
GALowPop,5000,55.0
RHC,1,0.0
RHC,1,0.0
RHC,1,0.0
RHC,1,1.0
RHC,1,1.0
RHC,1,1.0
RHC,1,1.0
RHC,1,2.0
RHC,1,6.0
RHC,1,7.0
RHC,500,10.0
RHC,500,11.0
RHC,500,13.0
RHC,500,17.0
RHC,500,3.0
RHC,500,4.0
RHC,500,4.0
RHC,500,6.0
RHC,500,6.0
RHC,500,7.0
RHC,1000,11.0
RHC,1000,11.0
RHC,1000,11.0
RHC,1000,14.0
RHC,1000,15.0
RHC,1000,17.0
RHC,1000,34.0
RHC,1000,7.0
RHC,1000,8.0
RHC,1000,8.0
RHC,1500,15.0
RHC,1500,17.0
RHC,1500,23.0
RHC,1500,23.0
RHC,1500,26.0
RHC,1500,28.0
RHC,1500,33.0
