algorithm,iterations,time
GAHighPop,1,114.0
GAHighPop,1,126.0
GAHighPop,1,212.0
GAHighPop,1,245.0
GAHighPop,1,246.0
GAHighPop,1,356.0
GAHighPop,1,364.0
GAHighPop,1,47.0
GAHighPop,1,479.0
GAHighPop,1,492.0
GAHighPop,500,11303.0
GAHighPop,500,18694.0
GAHighPop,500,21003.0
GAHighPop,500,22252.0
GAHighPop,500,22646.0
GAHighPop,500,23265.0
GAHighPop,500,23291.0
GAHighPop,500,26403.0
GAHighPop,500,36147.0
GAHighPop,500,9967.0
GAHighPop,1000,25318.0
GAHighPop,1000,43456.0
GAHighPop,1000,47240.0
GAHighPop,1000,50613.0
GAHighPop,1000,51438.0
GAHighPop,1000,52624.0
GAHighPop,1000,57492.0
GAHighPop,1000,59591.0
GAHighPop,1000,61421.0
GAHighPop,1000,72324.0
GAHighPop,1500,58225.0
GAHighPop,1500,64730.0
GAHighPop,1500,67263.0
GAHighPop,1500,69473.0
GAHighPop,1500,75886.0
GAHighPop,1500,80118.0
GAHighPop,1500,80563.0
GAHighPop,1500,85712.0
GAHighPop,1500,91036.0
GAHighPop,1500,98140.0
GAHighPop,2000,105774.0
GAHighPop,2000,106978.0
GAHighPop,2000,114741.0
GAHighPop,2000,116821.0
GAHighPop,2000,87285.0
GAHighPop,2000,87648.0
GAHighPop,2000,88919.0
GAHighPop,2000,92219.0
GAHighPop,2000,93047.0
GAHighPop,2000,98872.0
GAHighPop,2500,118483.0
GAHighPop,2500,121040.0
GAHighPop,2500,121159.0
GAHighPop,2500,125169.0
GAHighPop,2500,125943.0
GAHighPop,2500,130614.0
GAHighPop,2500,130632.0
GAHighPop,2500,133000.0
GAHighPop,2500,138437.0
GAHighPop,2500,153984.0
GAHighPop,3000,135327.0
GAHighPop,3000,141051.0
GAHighPop,3000,142477.0
GAHighPop,3000,147884.0
GAHighPop,3000,149400.0
GAHighPop,3000,155030.0
GAHighPop,3000,155793.0
GAHighPop,3000,161539.0
GAHighPop,3000,163966.0
GAHighPop,3000,167082.0
GAHighPop,3500,151956.0
GAHighPop,3500,154310.0
GAHighPop,3500,159967.0
GAHighPop,3500,165377.0
GAHighPop,3500,176699.0
GAHighPop,3500,178508.0
GAHighPop,3500,179797.0
GAHighPop,3500,185441.0
GAHighPop,3500,186622.0
GAHighPop,3500,199705.0
GAHighPop,4000,176465.0
GAHighPop,4000,176633.0
GAHighPop,4000,183740.0
GAHighPop,4000,183976.0
GAHighPop,4000,186643.0
GAHighPop,4000,188246.0
GAHighPop,4000,188633.0
GAHighPop,4000,191010.0
GAHighPop,4000,194072.0
GAHighPop,4000,208710.0
GAHighPop,4500,194731.0
GAHighPop,4500,202795.0
GAHighPop,4500,204691.0
GAHighPop,4500,206930.0
GAHighPop,4500,212235.0
GAHighPop,4500,217774.0
GAHighPop,4500,220177.0
GAHighPop,4500,221829.0
GAHighPop,4500,224064.0
GAHighPop,4500,227233.0
GAHighPop,5000,202283.0
GAHighPop,5000,211339.0
GAHighPop,5000,211835.0
GAHighPop,5000,215772.0
GAHighPop,5000,216202.0
GAHighPop,5000,217845.0
GAHighPop,5000,222525.0
GAHighPop,5000,223070.0
GAHighPop,5000,233441.0
GAHighPop,5000,234824.0
GALowPop,1,0.0
GALowPop,1,1.0
GALowPop,1,2.0
GALowPop,1,2.0
GALowPop,1,2.0
GALowPop,1,2.0
GALowPop,1,30.0
GALowPop,1,4.0
GALowPop,1,6.0
GALowPop,1,6.0
GALowPop,500,1820.0
GALowPop,500,1864.0
GALowPop,500,2053.0
GALowPop,500,2513.0
GALowPop,500,2562.0
GALowPop,500,2604.0
GALowPop,500,2633.0
GALowPop,500,2758.0
GALowPop,500,2767.0
GALowPop,500,4454.0
GALowPop,1000,1738.0
GALowPop,1000,4984.0
GALowPop,1000,5806.0
GALowPop,1000,5881.0
GALowPop,1000,5911.0
GALowPop,1000,7317.0
GALowPop,1000,7327.0
GALowPop,1000,7838.0
GALowPop,1000,7982.0
GALowPop,1000,7989.0
GALowPop,1500,10489.0
GALowPop,1500,10593.0
GALowPop,1500,10705.0
GALowPop,1500,4612.0
GALowPop,1500,5524.0
GALowPop,1500,6022.0
GALowPop,1500,7411.0
GALowPop,1500,7697.0
GALowPop,1500,7897.0
GALowPop,1500,9706.0
GALowPop,2000,10313.0
GALowPop,2000,10474.0
GALowPop,2000,12068.0
GALowPop,2000,13995.0
GALowPop,2000,14429.0
GALowPop,2000,15587.0
GALowPop,2000,17123.0
GALowPop,2000,17297.0
GALowPop,2000,24029.0
GALowPop,2000,8785.0
GALowPop,2500,10161.0
GALowPop,2500,14167.0
GALowPop,2500,17110.0
GALowPop,2500,18974.0
GALowPop,2500,19571.0
GALowPop,2500,23567.0
GALowPop,2500,24866.0
GALowPop,2500,32129.0
GALowPop,2500,32212.0
GALowPop,2500,9223.0
GALowPop,3000,13323.0
GALowPop,3000,13631.0
GALowPop,3000,14124.0
GALowPop,3000,21066.0
GALowPop,3000,22634.0
GALowPop,3000,24403.0
GALowPop,3000,25200.0
GALowPop,3000,32719.0
GALowPop,3000,7454.0
GALowPop,3000,9428.0
GALowPop,3500,14016.0
GALowPop,3500,22330.0
GALowPop,3500,23175.0
GALowPop,3500,24331.0
GALowPop,3500,25486.0
GALowPop,3500,29826.0
GALowPop,3500,30060.0
GALowPop,3500,30734.0
GALowPop,3500,41372.0
GALowPop,3500,8979.0
GALowPop,4000,15842.0
GALowPop,4000,23700.0
GALowPop,4000,26595.0
GALowPop,4000,28869.0
GALowPop,4000,30781.0
GALowPop,4000,33256.0
GALowPop,4000,37533.0
GALowPop,4000,41362.0
GALowPop,4000,42271.0
GALowPop,4000,43746.0
GALowPop,4500,21119.0
GALowPop,4500,24070.0
GALowPop,4500,26460.0
GALowPop,4500,27181.0
GALowPop,4500,43259.0
GALowPop,4500,43683.0
GALowPop,4500,43781.0
GALowPop,4500,44297.0
GALowPop,4500,46347.0
GALowPop,4500,48095.0
GALowPop,5000,30813.0
GALowPop,5000,35063.0
GALowPop,5000,36722.0
GALowPop,5000,38899.0
