algorithm,iterations,functions
GAHighPop,1,1431
GAHighPop,1,1431
GAHighPop,1,1433
GAHighPop,1,1437
GAHighPop,1,1438
GAHighPop,1,1439
GAHighPop,1,1439
GAHighPop,1,1441
GAHighPop,1,1444
GAHighPop,1,1445
GAHighPop,50,21928
GAHighPop,50,21954
GAHighPop,50,21958
GAHighPop,50,21968
GAHighPop,50,21974
GAHighPop,50,21977
GAHighPop,50,21978
GAHighPop,50,21980
GAHighPop,50,21981
GAHighPop,50,22026
GAHighPop,100,42843
GAHighPop,100,42865
GAHighPop,100,42880
GAHighPop,100,42899
GAHighPop,100,42926
GAHighPop,100,42931
GAHighPop,100,42941
GAHighPop,100,42946
GAHighPop,100,42953
GAHighPop,100,42953
GAHighPop,150,63833
GAHighPop,150,63840
GAHighPop,150,63844
GAHighPop,150,63855
GAHighPop,150,63856
GAHighPop,150,63861
GAHighPop,150,63867
GAHighPop,150,63867
GAHighPop,150,63879
GAHighPop,150,63881
GAHighPop,200,84725
GAHighPop,200,84754
GAHighPop,200,84769
GAHighPop,200,84774
GAHighPop,200,84788
GAHighPop,200,84791
GAHighPop,200,84796
GAHighPop,200,84802
GAHighPop,200,84831
GAHighPop,200,84883
GAHighPop,300,126657
GAHighPop,300,126660
GAHighPop,300,126668
GAHighPop,300,126669
GAHighPop,300,126720
GAHighPop,300,126720
GAHighPop,300,126753
GAHighPop,300,126770
GAHighPop,300,126782
GAHighPop,300,126818
GAHighPop,400,168546
GAHighPop,400,168578
GAHighPop,400,168583
GAHighPop,400,168590
GAHighPop,400,168599
GAHighPop,400,168599
GAHighPop,400,168618
GAHighPop,400,168636
GAHighPop,400,168671
GAHighPop,400,168796
GAHighPop,500,210496
GAHighPop,500,210518
GAHighPop,500,210573
GAHighPop,500,210576
GAHighPop,500,210593
GAHighPop,500,210598
GAHighPop,500,210602
GAHighPop,500,210616
GAHighPop,500,210623
GAHighPop,500,210632
GAHighPop,600,252346
GAHighPop,600,252359
GAHighPop,600,252389
GAHighPop,600,252439
GAHighPop,600,252446
GAHighPop,600,252472
GAHighPop,600,252476
GAHighPop,600,252507
GAHighPop,600,252594
GAHighPop,600,252604
GAHighPop,700,294246
GAHighPop,700,294262
GAHighPop,700,294277
GAHighPop,700,294314
GAHighPop,700,294344
GAHighPop,700,294374
GAHighPop,700,294398
GAHighPop,700,294407
GAHighPop,700,294427
GAHighPop,700,294497
GAHighPop,800,336051
GAHighPop,800,336133
GAHighPop,800,336191
GAHighPop,800,336202
GAHighPop,800,336245
GAHighPop,800,336250
GAHighPop,800,336256
GAHighPop,800,336273
GAHighPop,800,336311
GAHighPop,800,336371
GAHighPop,900,378059
GAHighPop,900,378066
GAHighPop,900,378069
GAHighPop,900,378090
GAHighPop,900,378109
GAHighPop,900,378113
GAHighPop,900,378125
GAHighPop,900,378125
GAHighPop,900,378138
GAHighPop,900,378196
GAHighPop,1000,419849
GAHighPop,1000,419857
GAHighPop,1000,419939
GAHighPop,1000,419970
GAHighPop,1000,419975
GAHighPop,1000,419990
GAHighPop,1000,420033
GAHighPop,1000,420128
GAHighPop,1000,420143
GAHighPop,1000,420147
GALowPop,1,253
GALowPop,1,254
GALowPop,1,255
GALowPop,1,255
GALowPop,1,256
GALowPop,1,257
GALowPop,1,257
GALowPop,1,258
GALowPop,1,258
GALowPop,1,258
GALowPop,50,4032
GALowPop,50,4048
GALowPop,50,4049
GALowPop,50,4050
GALowPop,50,4050
GALowPop,50,4052
GALowPop,50,4052
GALowPop,50,4055
GALowPop,50,4057
GALowPop,50,4065
GALowPop,100,7901
GALowPop,100,7905
GALowPop,100,7906
GALowPop,100,7908
GALowPop,100,7910
GALowPop,100,7915
GALowPop,100,7917
GALowPop,100,7921
GALowPop,100,7922
GALowPop,100,7924
GALowPop,150,11782
GALowPop,150,11784
GALowPop,150,11788
GALowPop,150,11793
GALowPop,150,11794
GALowPop,150,11803
GALowPop,150,11808
GALowPop,150,11808
GALowPop,150,11809
GALowPop,150,11816
GALowPop,200,15626
GALowPop,200,15641
GALowPop,200,15645
GALowPop,200,15648
GALowPop,200,15652
GALowPop,200,15655
GALowPop,200,15662
GALowPop,200,15662
GALowPop,200,15665
GALowPop,200,15670
GALowPop,300,23371
GALowPop,300,23381
GALowPop,300,23384
GALowPop,300,23385
GALowPop,300,23387
GALowPop,300,23398
GALowPop,300,23410
GALowPop,300,23411
GALowPop,300,23422
GALowPop,300,23436
GALowPop,400,31107
GALowPop,400,31111
GALowPop,400,31113
GALowPop,400,31120
GALowPop,400,31124
GALowPop,400,31126
GALowPop,400,31133
GALowPop,400,31141
GALowPop,400,31151
GALowPop,400,31201
GALowPop,500,38831
GALowPop,500,38846
GALowPop,500,38861
GALowPop,500,38862
GALowPop,500,38869
GALowPop,500,38869
GALowPop,500,38872
GALowPop,500,38881
GALowPop,500,38889
GALowPop,500,38940
GALowPop,600,46537
GALowPop,600,46577
GALowPop,600,46579
GALowPop,600,46585
GALowPop,600,46586
GALowPop,600,46596
GALowPop,600,46617
GALowPop,600,46619
GALowPop,600,46638
GALowPop,600,46642
GALowPop,700,54272
GALowPop,700,54322
GALowPop,700,54343
GALowPop,700,54347
GALowPop,700,54351
GALowPop,700,54354
GALowPop,700,54357
GALowPop,700,54373
GALowPop,700,54397
GALowPop,700,54409
GALowPop,800,62020
GALowPop,800,62021
GALowPop,800,62053
GALowPop,800,62067
GALowPop,800,62069
GALowPop,800,62115
GALowPop,800,62121
GALowPop,800,62125
GALowPop,800,62132
GALowPop,800,62164
GALowPop,900,69772
GALowPop,900,69778
GALowPop,900,69780
GALowPop,900,69786
GALowPop,900,69787
GALowPop,900,69808
GALowPop,900,69824
GALowPop,900,69836
GALowPop,900,69843
GALowPop,900,69897
GALowPop,1000,77508
GALowPop,1000,77549
GALowPop,1000,77552
GALowPop,1000,77557
GALowPop,1000,77566
GALowPop,1000,77567
GALowPop,1000,77592
GALowPop,1000,77602
GALowPop,1000,77637
GALowPop,1000,77655
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,50,53
RHC,50,53
RHC,50,53
RHC,50,53
RHC,50,53
RHC,50,53
RHC,50,53
RHC,50,53
RHC,50,53
RHC,50,53
RHC,100,103
RHC,100,103
RHC,100,103
RHC,100,103
RHC,100,103
RHC,100,103
RHC,100,103
RHC,100,103
RHC,100,103
RHC,100,103
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,150,153
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,200,203
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,300,303
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,400,403
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,600,603
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,700,703
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,800,803
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,900,903
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,50,53
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
SA55,100,103
