algorithm,iterations,optimal
GAHighPop,1,1663.5444280729394
GAHighPop,1,1681.7158769045734
GAHighPop,1,1695.1668212466836
GAHighPop,1,1702.5902210013762
GAHighPop,1,1732.7714419121962
GAHighPop,1,1746.9825971996104
GAHighPop,1,1763.4745244438052
GAHighPop,1,1793.5557720685479
GAHighPop,1,1847.7018751705266
GAHighPop,1,1849.0510635256032
GAHighPop,50,2126.0253948224254
GAHighPop,50,2135.7517848933994
GAHighPop,50,2141.597460603345
GAHighPop,50,2151.3852977095175
GAHighPop,50,2163.9577542838056
GAHighPop,50,2175.221868934679
GAHighPop,50,2186.266562233271
GAHighPop,50,2216.4602183945444
GAHighPop,50,2234.874036906297
GAHighPop,50,2235.73000315989
GAHighPop,100,2286.919998732264
GAHighPop,100,2314.692197979128
GAHighPop,100,2316.859792151739
GAHighPop,100,2330.5507484643426
GAHighPop,100,2362.7131579002044
GAHighPop,100,2391.7560416851784
GAHighPop,100,2399.948063494543
GAHighPop,100,2405.8206997398743
GAHighPop,100,2419.0342354277545
GAHighPop,100,2441.2828846091948
GAHighPop,150,2399.7205078789034
GAHighPop,150,2405.50187380921
GAHighPop,150,2425.2600340641743
GAHighPop,150,2431.84217687222
GAHighPop,150,2444.145379825082
GAHighPop,150,2445.553430724628
GAHighPop,150,2453.487548419389
GAHighPop,150,2460.975822849759
GAHighPop,150,2464.570542445583
GAHighPop,150,2471.9062764440705
GAHighPop,200,2427.9423598475946
GAHighPop,200,2439.88317095023
GAHighPop,200,2447.89796873188
GAHighPop,200,2459.7539922516394
GAHighPop,200,2464.6714285061835
GAHighPop,200,2473.7589649509946
GAHighPop,200,2478.154304866892
GAHighPop,200,2484.778720836769
GAHighPop,200,2495.8292288110542
GAHighPop,200,2500.5267033532728
GAHighPop,300,2490.316287249887
GAHighPop,300,2495.4750052035656
GAHighPop,300,2503.6655455540526
GAHighPop,300,2517.99034081186
GAHighPop,300,2520.1179673624033
GAHighPop,300,2522.7922129966037
GAHighPop,300,2528.7822454928055
GAHighPop,300,2532.3700161601687
GAHighPop,300,2535.163395196874
GAHighPop,300,2538.800323502351
GAHighPop,400,2478.0404196456725
GAHighPop,400,2494.8766365945307
GAHighPop,400,2495.56360445109
GAHighPop,400,2514.6494611841144
GAHighPop,400,2515.8720387803805
GAHighPop,400,2520.1533397780595
GAHighPop,400,2522.9826334287245
GAHighPop,400,2523.482250446032
GAHighPop,400,2531.3099356619305
GAHighPop,400,2534.4819155176174
GAHighPop,500,2507.3156819709748
GAHighPop,500,2510.8520137888436
GAHighPop,500,2517.339878924764
GAHighPop,500,2519.153316068854
GAHighPop,500,2522.400340051567
GAHighPop,500,2522.9116135386757
GAHighPop,500,2524.8685103257494
GAHighPop,500,2527.0858363649786
GAHighPop,500,2536.337666487866
GAHighPop,500,2545.222692704983
GAHighPop,600,2502.9320538132793
GAHighPop,600,2512.932757689507
GAHighPop,600,2517.7705058946904
GAHighPop,600,2519.9979173838747
GAHighPop,600,2525.25083633869
GAHighPop,600,2525.4245838652437
GAHighPop,600,2528.7050592019923
GAHighPop,600,2529.354876782633
GAHighPop,600,2540.1071925920337
GAHighPop,600,2542.2347907395497
GAHighPop,700,2518.1470013101775
GAHighPop,700,2519.0001370173068
GAHighPop,700,2524.5378159251927
GAHighPop,700,2524.8563097689957
GAHighPop,700,2529.2739637393206
GAHighPop,700,2529.879364234779
GAHighPop,700,2533.17244013691
GAHighPop,700,2535.741241043153
GAHighPop,700,2537.99647629965
GAHighPop,700,2543.7728026473446
GAHighPop,800,2513.7282465613443
GAHighPop,800,2515.719024308738
GAHighPop,800,2521.346717504366
GAHighPop,800,2524.0800267683353
GAHighPop,800,2528.51786346502
GAHighPop,800,2529.388838435254
GAHighPop,800,2533.880471921662
GAHighPop,800,2540.602233832955
GAHighPop,800,2541.6760731697086
GAHighPop,800,2549.3166471116265
GAHighPop,900,2509.873901014504
GAHighPop,900,2527.2931349275664
GAHighPop,900,2528.4767178221196
GAHighPop,900,2529.77678447633
GAHighPop,900,2530.878272083239
GAHighPop,900,2531.422903472526
GAHighPop,900,2533.061924713363
GAHighPop,900,2536.765684956712
GAHighPop,900,2541.1446109329518
GAHighPop,900,2547.284200909046
GAHighPop,1000,2523.5163978135092
GAHighPop,1000,2534.0118749018893
GAHighPop,1000,2535.0337464906816
GAHighPop,1000,2536.2310617212665
GAHighPop,1000,2538.203102594723
GAHighPop,1000,2539.593877493519
GAHighPop,1000,2540.494376786359
GAHighPop,1000,2543.4420177160227
GAHighPop,1000,2543.589528852253
GAHighPop,1000,2547.7495732023494
GALowPop,1,1453.4280813882992
GALowPop,1,1497.6034182736494
GALowPop,1,1511.377780928084
GALowPop,1,1528.8392105662915
GALowPop,1,1537.9667536033705
GALowPop,1,1546.394867633224
GALowPop,1,1561.391495603929
GALowPop,1,1562.5562384215648
GALowPop,1,1574.1694217021955
GALowPop,1,1661.2884828182405
GALowPop,50,1800.0402999612136
GALowPop,50,1841.3237178638396
GALowPop,50,1844.2356863151365
GALowPop,50,1862.5240094907135
GALowPop,50,1880.0873942975575
GALowPop,50,1885.9485795380938
GALowPop,50,1895.9626348102943
GALowPop,50,1902.158467170634
GALowPop,50,1910.4366262563349
GALowPop,50,1914.22439744764
GALowPop,100,1850.621752941082
GALowPop,100,1903.7696209267588
GALowPop,100,1928.2283432821725
GALowPop,100,1956.16791591928
GALowPop,100,1980.2944513337707
GALowPop,100,2006.556016505176
GALowPop,100,2013.0835308115277
GALowPop,100,2052.514168181693
GALowPop,100,2072.7201907631943
GALowPop,100,2075.619423954838
GALowPop,150,1946.279507356993
GALowPop,150,2018.710315651763
GALowPop,150,2024.024011651559
GALowPop,150,2035.6147041166173
GALowPop,150,2057.884698154731
GALowPop,150,2069.395125337436
GALowPop,150,2082.228541968493
GALowPop,150,2087.226080944993
GALowPop,150,2097.4150115094344
GALowPop,150,2097.970870639761
GALowPop,200,1956.6626450279384
GALowPop,200,1982.4484183135687
GALowPop,200,2017.1596568622017
GALowPop,200,2026.2685755254315
GALowPop,200,2075.1074895334573
GALowPop,200,2088.158018316526
GALowPop,200,2112.8673675960777
GALowPop,200,2140.5089564045093
GALowPop,200,2168.004011624394
GALowPop,200,2183.6509526870836
GALowPop,300,2061.2785584222224
GALowPop,300,2074.018952452152
GALowPop,300,2106.3032679513603
GALowPop,300,2122.8721228323993
GALowPop,300,2124.9940301730967
GALowPop,300,2127.5395780612766
GALowPop,300,2140.3658791843873
GALowPop,300,2141.674223342371
GALowPop,300,2146.1976656453967
GALowPop,300,2163.1373750352973
GALowPop,400,1952.7407895396104
GALowPop,400,1975.2626551171072
GALowPop,400,2070.628265797324
GALowPop,400,2082.3110178521583
GALowPop,400,2094.0340718002485
GALowPop,400,2107.568295176993
GALowPop,400,2139.9924719947003
GALowPop,400,2163.8189685190378
GALowPop,400,2173.6410408896486
GALowPop,400,2213.98507101516
GALowPop,500,2022.6332083500442
GALowPop,500,2043.6981480401541
GALowPop,500,2068.2657181057766
GALowPop,500,2074.3624471749135
GALowPop,500,2075.0613608827157
GALowPop,500,2108.294096683904
GALowPop,500,2150.1334794359495
GALowPop,500,2164.6356691936844
GALowPop,500,2165.512268846767
GALowPop,500,2220.014328298817
GALowPop,600,2081.6442050957176
GALowPop,600,2083.9764700494707
GALowPop,600,2090.2629576948807
GALowPop,600,2103.654402280219
GALowPop,600,2103.8549242210306
GALowPop,600,2109.753541930712
GALowPop,600,2142.686232555826
GALowPop,600,2158.8574174122914
GALowPop,600,2180.7159416392315
GALowPop,600,2209.9562854334667
GALowPop,700,2007.385597806862
GALowPop,700,2100.1669288953244
GALowPop,700,2103.9319975782873
GALowPop,700,2114.250054875747
GALowPop,700,2115.7924684356763
GALowPop,700,2160.0934950664428
GALowPop,700,2186.83204733343
GALowPop,700,2192.798329593149
GALowPop,700,2196.1801232462153
GALowPop,700,2206.1462548836816
GALowPop,800,2110.3284922660932
GALowPop,800,2129.548462624628
GALowPop,800,2155.369004776839
GALowPop,800,2155.3758788679265
GALowPop,800,2162.0970772518517
GALowPop,800,2178.429646346117
GALowPop,800,2198.482175997403
GALowPop,800,2217.4120351572374
GALowPop,800,2235.8067979770176
GALowPop,800,2244.5928981004367
GALowPop,900,2094.5915405279243
GALowPop,900,2105.374192919541
GALowPop,900,2114.8688397571873
GALowPop,900,2116.624806870019
GALowPop,900,2147.354734232574
GALowPop,900,2164.473397450653
GALowPop,900,2176.6029136563216
GALowPop,900,2190.1719795654385
GALowPop,900,2207.203186375879
GALowPop,900,2212.61309936954
GALowPop,1000,2065.2233906864126
GALowPop,1000,2115.342338429438
GALowPop,1000,2124.182865662518
GALowPop,1000,2147.822502908293
GALowPop,1000,2154.353760654899
GALowPop,1000,2169.7753631291384
GALowPop,1000,2171.128376115292
GALowPop,1000,2181.3856220586963
GALowPop,1000,2189.9304878598637
GALowPop,1000,2191.5229563468515
RHC,1,1110.2109032075114
RHC,1,1131.2757053326188
RHC,1,1202.7470993334823
RHC,1,1267.779805421888
RHC,1,1268.621877557899
RHC,1,1347.2473630830912
RHC,1,1386.4654893111701
RHC,1,1416.0181201834368
RHC,1,1478.6511821413005
RHC,1,1498.386389778792
RHC,50,1378.0262697939706
RHC,50,1433.9783068739703
RHC,50,1515.6187471491091
RHC,50,1519.2029503663682
RHC,50,1519.515562195363
RHC,50,1535.5288804228758
RHC,50,1623.570029606001
RHC,50,1665.0478424658206
RHC,50,1683.1899125892191
RHC,50,1757.5246589770907
RHC,100,1508.082572023179
RHC,100,1591.5958737723292
RHC,100,1627.334642440093
RHC,100,1639.2047787627873
RHC,100,1645.3157321482931
RHC,100,1650.2317587125806
RHC,100,1657.9783904196802
RHC,100,1841.361653065828
RHC,100,1848.0731779923217
RHC,100,1992.2667175227486
RHC,150,1849.137991165583
RHC,150,1892.2332327504437
RHC,150,1925.4779237185285
RHC,150,1936.2920386503927
RHC,150,1943.1653118592662
RHC,150,2016.6130530459805
RHC,150,2032.6557291951626
RHC,150,2053.7851422571302
RHC,150,2106.37462444755
RHC,150,2227.200691875606
RHC,200,1902.4243393168938
RHC,200,1954.7763444525697
RHC,200,2023.512159209635
RHC,200,2041.0173513649668
RHC,200,2042.7408130652677
RHC,200,2070.8517878512253
RHC,200,2081.869359915891
RHC,200,2102.9773106955195
RHC,200,2117.58279710663
RHC,200,2118.2616950794786
RHC,300,2107.1143186123963
RHC,300,2147.1390227254433
RHC,300,2172.856882551524
RHC,300,2201.090514175984
RHC,300,2234.1359148812617
RHC,300,2238.583788919174
RHC,300,2314.6297974189433
RHC,300,2325.237180576679
RHC,300,2365.055704379557
RHC,300,2380.3679567619424
RHC,400,2227.1608965992405
RHC,400,2270.3541537387673
RHC,400,2292.140115179267
RHC,400,2301.246134204077
RHC,400,2311.504567023343
RHC,400,2367.9794955953626
RHC,400,2372.1377159322665
RHC,400,2375.972544196289
RHC,400,2416.885487212199
RHC,400,2445.663789283153
RHC,500,2161.2280117859605
RHC,500,2313.188631181492
RHC,500,2334.3632645844023
RHC,500,2403.2984165031307
RHC,500,2429.8217144302957
RHC,500,2448.91949021115
RHC,500,2463.850274563545
RHC,500,2469.757637087124
RHC,500,2483.760954290913
RHC,500,2484.448437857338
RHC,600,2355.327070607087
RHC,600,2411.3910071512746
RHC,600,2450.366212314461
RHC,600,2465.652240085718
RHC,600,2470.437833345805
RHC,600,2483.7825170382694
RHC,600,2521.952169223792
RHC,600,2525.7763894983163
RHC,600,2536.0739204784722
RHC,600,2536.0739204784722
RHC,700,2437.0372624119545
RHC,700,2455.7394982377
RHC,700,2464.6344433269674
RHC,700,2482.810377864664
RHC,700,2487.764045774413
RHC,700,2491.977785959538
RHC,700,2492.571276592987
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,700,2536.0739204784722
RHC,800,2442.0992564455655
RHC,800,2473.5816692999633
RHC,800,2507.2354293626404
RHC,800,2519.2084885898003
RHC,800,2522.571906646892
RHC,800,2523.871543555431
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,800,2536.0739204784722
RHC,900,2477.775748966786
RHC,900,2495.2916373564217
RHC,900,2495.7847399877123
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,900,2536.0739204784722
RHC,1000,2489.3057448816717
RHC,1000,2492.319822260843
RHC,1000,2518.6890939878162
RHC,1000,2534.033048330579
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
RHC,1000,2536.0739204784722
SA55,1,1206.9556598854304
SA55,1,1252.4428646816382
SA55,1,1253.8005974576095
SA55,1,1271.4415437614246
SA55,1,1282.887710577853
SA55,1,1307.1797452836747
SA55,1,1389.1371523174646
SA55,1,1391.877443906497
SA55,1,1424.8505624654053
SA55,1,916.0992290950993
SA55,50,1198.4598677285223
SA55,50,1205.626596840931
SA55,50,1256.9592673826874
SA55,50,1290.6783393702265
SA55,50,1292.8768655022725
SA55,50,1304.7629355935237
SA55,50,1326.8147649611817
SA55,50,1356.7692826310322
SA55,50,1427.0070095164458
SA55,50,1447.6193025299247
SA55,100,1361.5899071036536
SA55,100,1371.562745512854
SA55,100,1451.1121834797575
SA55,100,1454.432942997923
SA55,100,1473.4547873483914
SA55,100,1496.697630982348
SA55,100,1553.8412322664492
SA55,100,1599.7484318236475
SA55,100,1825.3477605593728
SA55,100,1951.251803663028
SA55,150,1590.2317067887313
SA55,150,1640.3703190030194
SA55,150,1838.695097179972
SA55,150,1872.3869323193271
SA55,150,1879.6423718017459
SA55,150,1889.6258552672848
SA55,150,1890.266585344511
SA55,150,1915.6728526643267
SA55,150,1942.874192504057
SA55,150,1997.9634257552577
SA55,200,1743.5468204395336
SA55,200,1799.5267843208792
SA55,200,1807.3008914061868
SA55,200,1823.7150991619887
SA55,200,1846.311436468757
SA55,200,1931.7315628359847
SA55,200,1933.3005137665461
SA55,200,2037.7410832863927
SA55,200,2116.2932006883066
SA55,200,2169.8572724317237
SA55,300,2163.144082764921
SA55,300,2166.1553197106045
SA55,300,2200.295070766534
SA55,300,2231.4160043326337
SA55,300,2253.391433812397
SA55,300,2255.0812952080873
SA55,300,2270.5383101714588
SA55,300,2332.015373861094
SA55,300,2334.5910799339385
SA55,300,2424.6698815926197
SA55,400,2297.7814995861613
SA55,400,2298.77802996034
SA55,400,2305.614172386502
SA55,400,2306.531759631298
SA55,400,2312.1104320064965
SA55,400,2314.4753782538305
SA55,400,2346.7812325100113
SA55,400,2349.029083337382
SA55,400,2379.2514509082885
SA55,400,2428.424244113978
SA55,500,2372.7437715712244
SA55,500,2372.7938659556467
SA55,500,2429.56768969753
SA55,500,2442.302117194971
SA55,500,2444.356914196509
SA55,500,2451.2642787178443
SA55,500,2463.616655280984
SA55,500,2476.0096595741943
SA55,500,2481.790234389249
