algorithm,iterations,time
GAHighPop,1,1931.0
GAHighPop,1,3189.0
GAHighPop,1,3335.0
GAHighPop,1,3391.0
GAHighPop,1,666.0
GAHighPop,1,865.0
GAHighPop,1,867.0
GAHighPop,1,958.0
GAHighPop,1,964.0
GAHighPop,1,981.0
GAHighPop,50,13659.0
GAHighPop,50,36047.0
GAHighPop,50,42317.0
GAHighPop,50,53198.0
GAHighPop,50,55916.0
GAHighPop,50,58058.0
GAHighPop,50,61914.0
GAHighPop,50,67052.0
GAHighPop,50,79291.0
GAHighPop,50,79811.0
GAHighPop,100,102957.0
GAHighPop,100,107843.0
GAHighPop,100,108274.0
GAHighPop,100,118405.0
GAHighPop,100,13405.0
GAHighPop,100,137663.0
GAHighPop,100,77626.0
GAHighPop,100,82327.0
GAHighPop,100,91627.0
GAHighPop,100,99560.0
GAHighPop,150,13032.0
GAHighPop,150,149996.0
GAHighPop,150,151716.0
GAHighPop,150,154368.0
GAHighPop,150,155062.0
GAHighPop,150,157998.0
GAHighPop,150,159157.0
GAHighPop,150,165013.0
GAHighPop,150,170382.0
GAHighPop,150,175415.0
GAHighPop,200,194683.0
GAHighPop,200,197038.0
GAHighPop,200,198242.0
GAHighPop,200,199520.0
GAHighPop,200,201323.0
GAHighPop,200,202310.0
GAHighPop,200,202424.0
GAHighPop,200,202903.0
GAHighPop,200,203829.0
GAHighPop,200,204235.0
GAHighPop,300,239524.0
GAHighPop,300,241534.0
GAHighPop,300,242051.0
GAHighPop,300,245931.0
GAHighPop,300,246604.0
GAHighPop,300,248965.0
GAHighPop,300,251559.0
GAHighPop,300,256734.0
GAHighPop,300,258623.0
GAHighPop,300,262304.0
GAHighPop,400,14361.0
GAHighPop,400,277979.0
GAHighPop,400,282887.0
GAHighPop,400,293325.0
GAHighPop,400,293566.0
GAHighPop,400,294420.0
GAHighPop,400,295315.0
GAHighPop,400,296234.0
GAHighPop,400,299227.0
GAHighPop,400,307856.0
GAHighPop,500,312004.0
GAHighPop,500,317637.0
GAHighPop,500,323101.0
GAHighPop,500,327057.0
