algorithm,iterations,functions
GAHighPop,1,1436
GAHighPop,1,1437
GAHighPop,1,1438
GAHighPop,1,1439
GAHighPop,1,1441
GAHighPop,1,1441
GAHighPop,1,1441
GAHighPop,1,1441
GAHighPop,1,1444
GAHighPop,1,1445
GAHighPop,500,210414
GAHighPop,500,210507
GAHighPop,500,210516
GAHighPop,500,210517
GAHighPop,500,210531
GAHighPop,500,210532
GAHighPop,500,210549
GAHighPop,500,210584
GAHighPop,500,210612
GAHighPop,500,210617
GAHighPop,1000,419968
GAHighPop,1000,419998
GAHighPop,1000,420018
GAHighPop,1000,420024
GAHighPop,1000,420109
GAHighPop,1000,420115
GAHighPop,1000,420151
GAHighPop,1000,420169
GAHighPop,1000,420194
GAHighPop,1000,420221
GAHighPop,1500,629384
GAHighPop,1500,629480
GAHighPop,1500,629527
GAHighPop,1500,629545
GAHighPop,1500,629549
GAHighPop,1500,629660
GAHighPop,1500,629673
GAHighPop,1500,629673
GAHighPop,1500,629724
GAHighPop,1500,629808
GAHighPop,2000,838700
GAHighPop,2000,838884
GAHighPop,2000,839018
GAHighPop,2000,839020
GAHighPop,2000,839060
GAHighPop,2000,839066
GAHighPop,2000,839069
GAHighPop,2000,839114
GAHighPop,2000,839157
GAHighPop,2000,839308
GAHighPop,2500,1048380
GAHighPop,2500,1048477
GAHighPop,2500,1048543
GAHighPop,2500,1048547
GAHighPop,2500,1048557
GAHighPop,2500,1048619
GAHighPop,2500,1048625
GAHighPop,2500,1048691
GAHighPop,2500,1048703
GAHighPop,2500,1048754
GAHighPop,3000,1257749
GAHighPop,3000,1257754
GAHighPop,3000,1257756
GAHighPop,3000,1257833
GAHighPop,3000,1258131
GAHighPop,3000,1258176
GAHighPop,3000,1258222
GAHighPop,3000,1258256
GAHighPop,3000,1258270
GAHighPop,3000,1258356
GAHighPop,3500,1467424
GAHighPop,3500,1467480
GAHighPop,3500,1467599
GAHighPop,3500,1467621
GAHighPop,3500,1467699
GAHighPop,3500,1467752
GAHighPop,3500,1467768
GAHighPop,3500,1467926
GAHighPop,3500,1467944
GAHighPop,3500,1467948
GAHighPop,4000,1676886
GAHighPop,4000,1676982
GAHighPop,4000,1677011
GAHighPop,4000,1677058
GAHighPop,4000,1677071
GAHighPop,4000,1677164
GAHighPop,4000,1677177
GAHighPop,4000,1677275
GAHighPop,4000,1677334
GAHighPop,4000,1677393
GAHighPop,4500,1886442
GAHighPop,4500,1886451
GAHighPop,4500,1886628
GAHighPop,4500,1886723
GAHighPop,4500,1886732
GAHighPop,4500,1886759
GAHighPop,4500,1886847
GAHighPop,4500,1886870
GAHighPop,4500,1886968
GAHighPop,4500,1887133
GAHighPop,5000,2095827
GAHighPop,5000,2095964
GAHighPop,5000,2095989
GAHighPop,5000,2096113
GAHighPop,5000,2096249
GAHighPop,5000,2096308
GAHighPop,5000,2096364
GAHighPop,5000,2096457
GAHighPop,5000,2096473
GAHighPop,5000,2096607
GALowPop,1,253
GALowPop,1,254
GALowPop,1,255
GALowPop,1,255
GALowPop,1,256
GALowPop,1,257
GALowPop,1,257
GALowPop,1,257
GALowPop,1,257
GALowPop,1,259
GALowPop,500,38840
GALowPop,500,38841
GALowPop,500,38847
GALowPop,500,38868
GALowPop,500,38886
GALowPop,500,38888
GALowPop,500,38909
GALowPop,500,38915
GALowPop,500,38917
GALowPop,500,38918
GALowPop,1000,77488
GALowPop,1000,77510
GALowPop,1000,77518
GALowPop,1000,77523
GALowPop,1000,77536
GALowPop,1000,77566
GALowPop,1000,77594
GALowPop,1000,77595
GALowPop,1000,77604
GALowPop,1000,77610
GALowPop,1500,116085
GALowPop,1500,116190
GALowPop,1500,116203
GALowPop,1500,116214
GALowPop,1500,116241
GALowPop,1500,116251
GALowPop,1500,116269
GALowPop,1500,116301
GALowPop,1500,116324
GALowPop,1500,116334
GALowPop,2000,154849
GALowPop,2000,154879
GALowPop,2000,154917
GALowPop,2000,154922
GALowPop,2000,154927
GALowPop,2000,154943
GALowPop,2000,154946
GALowPop,2000,154994
GALowPop,2000,155026
GALowPop,2000,155043
GALowPop,2500,193467
GALowPop,2500,193542
GALowPop,2500,193588
GALowPop,2500,193591
GALowPop,2500,193620
GALowPop,2500,193635
GALowPop,2500,193644
GALowPop,2500,193645
GALowPop,2500,193676
GALowPop,2500,193720
GALowPop,3000,232221
GALowPop,3000,232244
GALowPop,3000,232288
GALowPop,3000,232296
GALowPop,3000,232306
GALowPop,3000,232341
GALowPop,3000,232401
GALowPop,3000,232406
GALowPop,3000,232421
GALowPop,3000,232543
GALowPop,3500,270861
GALowPop,3500,270861
GALowPop,3500,270974
GALowPop,3500,270987
GALowPop,3500,271027
GALowPop,3500,271045
GALowPop,3500,271065
GALowPop,3500,271093
GALowPop,3500,271102
GALowPop,3500,271121
GALowPop,4000,309618
GALowPop,4000,309704
GALowPop,4000,309720
GALowPop,4000,309733
GALowPop,4000,309736
GALowPop,4000,309758
GALowPop,4000,309766
GALowPop,4000,309772
GALowPop,4000,309788
GALowPop,4000,309797
GALowPop,4500,348359
GALowPop,4500,348375
GALowPop,4500,348401
GALowPop,4500,348403
GALowPop,4500,348412
GALowPop,4500,348461
GALowPop,4500,348469
GALowPop,4500,348486
GALowPop,4500,348517
GALowPop,4500,348706
GALowPop,5000,387043
GALowPop,5000,387054
GALowPop,5000,387064
GALowPop,5000,387099
GALowPop,5000,387099
GALowPop,5000,387111
GALowPop,5000,387124
GALowPop,5000,387170
GALowPop,5000,387236
GALowPop,5000,387297
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1000,1003
RHC,1500,1503
RHC,1500,1503
RHC,1500,1503
RHC,1500,1503
RHC,1500,1503
RHC,1500,1503
RHC,1500,1503
RHC,1500,1503
RHC,1500,1503
RHC,1500,1503
RHC,2000,2003
RHC,2000,2003
RHC,2000,2003
RHC,2000,2003
RHC,2000,2003
RHC,2000,2003
RHC,2000,2003
RHC,2000,2003
RHC,2000,2003
RHC,2000,2003
RHC,2500,2503
RHC,2500,2503
RHC,2500,2503
RHC,2500,2503
RHC,2500,2503
RHC,2500,2503
RHC,2500,2503
RHC,2500,2503
RHC,2500,2503
RHC,2500,2503
RHC,3000,3003
RHC,3000,3003
RHC,3000,3003
RHC,3000,3003
RHC,3000,3003
RHC,3000,3003
RHC,3000,3003
RHC,3000,3003
RHC,3000,3003
RHC,3000,3003
RHC,3500,3503
RHC,3500,3503
RHC,3500,3503
RHC,3500,3503
RHC,3500,3503
RHC,3500,3503
RHC,3500,3503
RHC,3500,3503
RHC,3500,3503
RHC,3500,3503
RHC,4000,4003
RHC,4000,4003
RHC,4000,4003
RHC,4000,4003
RHC,4000,4003
RHC,4000,4003
RHC,4000,4003
RHC,4000,4003
RHC,4000,4003
RHC,4000,4003
RHC,4500,4503
RHC,4500,4503
RHC,4500,4503
RHC,4500,4503
RHC,4500,4503
RHC,4500,4503
RHC,4500,4503
RHC,4500,4503
RHC,4500,4503
RHC,4500,4503
RHC,5000,5003
RHC,5000,5003
RHC,5000,5003
RHC,5000,5003
RHC,5000,5003
RHC,5000,5003
RHC,5000,5003
RHC,5000,5003
RHC,5000,5003
RHC,5000,5003
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,1,4
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,500,503
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1000,1003
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,1500,1503
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2000,2003
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,2500,2503
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3000,3003
SA55,3500,3503
SA55,3500,3503
SA55,3500,3503
SA55,3500,3503
SA55,3500,3503
SA55,3500,3503
SA55,3500,3503
SA55,3500,3503
SA55,3500,3503
SA55,3500,3503
SA55,4000,4003
SA55,4000,4003
SA55,4000,4003
SA55,4000,4003
SA55,4000,4003
SA55,4000,4003
SA55,4000,4003
SA55,4000,4003
SA55,4000,4003
SA55,4000,4003
SA55,4500,4503
SA55,4500,4503
SA55,4500,4503
SA55,4500,4503
SA55,4500,4503
SA55,4500,4503
SA55,4500,4503
SA55,4500,4503
SA55,4500,4503
SA55,4500,4503
SA55,5000,5003
SA55,5000,5003
SA55,5000,5003
SA55,5000,5003
SA55,5000,5003
SA55,5000,5003
SA55,5000,5003
SA55,5000,5003
SA55,5000,5003
SA55,5000,5003
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,1,4
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,500,503
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1000,1003
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,1500,1503
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2000,2003
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,2500,2503
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3000,3003
SA75,3500,3503
SA75,3500,3503
SA75,3500,3503
SA75,3500,3503
SA75,3500,3503
SA75,3500,3503
SA75,3500,3503
SA75,3500,3503
SA75,3500,3503
SA75,3500,3503
SA75,4000,4003
SA75,4000,4003
SA75,4000,4003
SA75,4000,4003
