algorithm,iterations,optimal
GAHighPop,1,657.0
GAHighPop,1,660.0
GAHighPop,1,662.0
GAHighPop,1,670.0
GAHighPop,1,671.0
GAHighPop,1,671.0
GAHighPop,1,671.0
GAHighPop,1,673.0
GAHighPop,1,673.0
GAHighPop,1,677.0
GAHighPop,500,700.0
GAHighPop,500,700.0
GAHighPop,500,700.0
GAHighPop,500,700.0
GAHighPop,500,700.0
GAHighPop,500,700.0
GAHighPop,500,700.0
GAHighPop,500,700.0
GAHighPop,500,700.0
GAHighPop,500,700.0
GAHighPop,1000,700.0
GAHighPop,1000,700.0
GAHighPop,1000,700.0
GAHighPop,1000,700.0
GAHighPop,1000,700.0
GAHighPop,1000,700.0
GAHighPop,1000,700.0
GAHighPop,1000,700.0
GAHighPop,1000,700.0
GAHighPop,1000,700.0
GAHighPop,1500,700.0
GAHighPop,1500,700.0
GAHighPop,1500,700.0
GAHighPop,1500,700.0
GAHighPop,1500,700.0
GAHighPop,1500,700.0
GAHighPop,1500,700.0
GAHighPop,1500,700.0
GAHighPop,1500,700.0
GAHighPop,1500,700.0
GAHighPop,2000,700.0
GAHighPop,2000,700.0
GAHighPop,2000,700.0
GAHighPop,2000,700.0
GAHighPop,2000,700.0
GAHighPop,2000,700.0
GAHighPop,2000,700.0
GAHighPop,2000,700.0
GAHighPop,2000,700.0
GAHighPop,2000,700.0
GAHighPop,2500,700.0
GAHighPop,2500,700.0
GAHighPop,2500,700.0
GAHighPop,2500,700.0
GAHighPop,2500,700.0
GAHighPop,2500,700.0
GAHighPop,2500,700.0
GAHighPop,2500,700.0
GAHighPop,2500,700.0
GAHighPop,2500,700.0
GAHighPop,3000,700.0
GAHighPop,3000,700.0
GAHighPop,3000,700.0
GAHighPop,3000,700.0
GAHighPop,3000,700.0
GAHighPop,3000,700.0
GAHighPop,3000,700.0
GAHighPop,3000,700.0
GAHighPop,3000,700.0
GAHighPop,3000,700.0
GAHighPop,3500,700.0
GAHighPop,3500,700.0
GAHighPop,3500,700.0
GAHighPop,3500,700.0
GAHighPop,3500,700.0
GAHighPop,3500,700.0
GAHighPop,3500,700.0
GAHighPop,3500,700.0
GAHighPop,3500,700.0
GAHighPop,3500,700.0
GAHighPop,4000,700.0
GAHighPop,4000,700.0
GAHighPop,4000,700.0
GAHighPop,4000,700.0
GAHighPop,4000,700.0
GAHighPop,4000,700.0
GAHighPop,4000,700.0
GAHighPop,4000,700.0
GAHighPop,4000,700.0
GAHighPop,4000,700.0
GAHighPop,4500,700.0
GAHighPop,4500,700.0
GAHighPop,4500,700.0
GAHighPop,4500,700.0
GAHighPop,4500,700.0
GAHighPop,4500,700.0
GAHighPop,4500,700.0
GAHighPop,4500,700.0
GAHighPop,4500,700.0
GAHighPop,4500,700.0
GAHighPop,5000,700.0
GAHighPop,5000,700.0
GAHighPop,5000,700.0
GAHighPop,5000,700.0
GAHighPop,5000,700.0
GAHighPop,5000,700.0
GAHighPop,5000,700.0
GAHighPop,5000,700.0
GAHighPop,5000,700.0
GAHighPop,5000,700.0
GALowPop,1,637.0
GALowPop,1,645.0
GALowPop,1,645.0
GALowPop,1,650.0
GALowPop,1,654.0
GALowPop,1,657.0
GALowPop,1,659.0
GALowPop,1,660.0
GALowPop,1,660.0
GALowPop,1,671.0
GALowPop,500,700.0
GALowPop,500,700.0
GALowPop,500,700.0
GALowPop,500,700.0
GALowPop,500,700.0
GALowPop,500,700.0
GALowPop,500,700.0
GALowPop,500,700.0
GALowPop,500,700.0
GALowPop,500,700.0
GALowPop,1000,700.0
