algorithm,iterations,time
GAHighPop,1,110.0
GAHighPop,1,114.0
GAHighPop,1,125.0
GAHighPop,1,132.0
GAHighPop,1,133.0
GAHighPop,1,137.0
GAHighPop,1,141.0
GAHighPop,1,141.0
GAHighPop,1,155.0
GAHighPop,1,74.0
GAHighPop,500,78042.0
GAHighPop,500,81198.0
GAHighPop,500,82418.0
GAHighPop,500,85314.0
GAHighPop,500,88389.0
GAHighPop,500,88868.0
GAHighPop,500,92594.0
GAHighPop,500,93398.0
GAHighPop,500,93434.0
GAHighPop,500,94109.0
GAHighPop,1000,144742.0
GAHighPop,1000,146481.0
GAHighPop,1000,147321.0
GAHighPop,1000,148673.0
GAHighPop,1000,150802.0
GAHighPop,1000,151682.0
GAHighPop,1000,155747.0
GAHighPop,1000,156083.0
GAHighPop,1000,156269.0
GAHighPop,1000,157182.0
GAHighPop,1500,183366.0
GAHighPop,1500,186287.0
GAHighPop,1500,190725.0
GAHighPop,1500,191147.0
GAHighPop,1500,192369.0
GAHighPop,1500,193521.0
GAHighPop,1500,193832.0
GAHighPop,1500,193911.0
GAHighPop,1500,198880.0
GAHighPop,1500,199234.0
GAHighPop,2000,217745.0
GAHighPop,2000,223748.0
GAHighPop,2000,225341.0
GAHighPop,2000,225652.0
GAHighPop,2000,226970.0
GAHighPop,2000,227801.0
GAHighPop,2000,228533.0
GAHighPop,2000,228692.0
GAHighPop,2000,229653.0
GAHighPop,2000,232934.0
GAHighPop,2500,247370.0
GAHighPop,2500,247371.0
GAHighPop,2500,249704.0
GAHighPop,2500,250317.0
GAHighPop,2500,251888.0
GAHighPop,2500,252235.0
GAHighPop,2500,252570.0
GAHighPop,2500,252951.0
GAHighPop,2500,254173.0
GAHighPop,2500,254259.0
GAHighPop,3000,264691.0
GAHighPop,3000,265889.0
GAHighPop,3000,267279.0
GAHighPop,3000,267610.0
GAHighPop,3000,268031.0
GAHighPop,3000,268379.0
GAHighPop,3000,268677.0
GAHighPop,3000,269239.0
GAHighPop,3000,270254.0
GAHighPop,3000,271014.0
GAHighPop,3500,277251.0
GAHighPop,3500,277522.0
GAHighPop,3500,277582.0
GAHighPop,3500,278763.0
GAHighPop,3500,279519.0
GAHighPop,3500,279839.0
GAHighPop,3500,279973.0
GAHighPop,3500,280590.0
GAHighPop,3500,280632.0
GAHighPop,3500,282902.0
GAHighPop,4000,287901.0
GAHighPop,4000,288235.0
GAHighPop,4000,288290.0
GAHighPop,4000,288818.0
GAHighPop,4000,288927.0
GAHighPop,4000,289142.0
GAHighPop,4000,289272.0
GAHighPop,4000,289329.0
GAHighPop,4000,289459.0
GAHighPop,4000,290647.0
GAHighPop,4500,291382.0
GAHighPop,4500,292227.0
GAHighPop,4500,293225.0
GAHighPop,4500,293389.0
GAHighPop,4500,293582.0
GAHighPop,4500,293815.0
GAHighPop,4500,294268.0
