algorithm,iterations,functions
GAHighPop,1,1432
GAHighPop,1,1434
GAHighPop,1,1436
GAHighPop,1,1437
GAHighPop,1,1438
GAHighPop,1,1439
GAHighPop,1,1439
GAHighPop,1,1440
GAHighPop,1,1442
GAHighPop,1,1442
GAHighPop,500,210353
GAHighPop,500,210407
GAHighPop,500,210498
GAHighPop,500,210516
GAHighPop,500,210543
GAHighPop,500,210555
GAHighPop,500,210561
GAHighPop,500,210594
GAHighPop,500,210634
GAHighPop,500,210650
GAHighPop,1000,419899
GAHighPop,1000,419960
GAHighPop,1000,420032
GAHighPop,1000,420032
GAHighPop,1000,420038
GAHighPop,1000,420096
GAHighPop,1000,420122
GAHighPop,1000,420175
GAHighPop,1000,420212
GAHighPop,1000,420229
GAHighPop,1500,629417
GAHighPop,1500,629435
GAHighPop,1500,629499
GAHighPop,1500,629504
GAHighPop,1500,629565
GAHighPop,1500,629603
GAHighPop,1500,629656
GAHighPop,1500,629675
GAHighPop,1500,629679
GAHighPop,1500,629882
GAHighPop,2000,838958
GAHighPop,2000,838996
GAHighPop,2000,839024
GAHighPop,2000,839061
GAHighPop,2000,839113
GAHighPop,2000,839114
GAHighPop,2000,839148
GAHighPop,2000,839174
GAHighPop,2000,839237
GAHighPop,2000,839270
GAHighPop,2500,1048525
GAHighPop,2500,1048557
GAHighPop,2500,1048629
GAHighPop,2500,1048660
GAHighPop,2500,1048685
GAHighPop,2500,1048763
GAHighPop,2500,1048779
GAHighPop,2500,1048876
GAHighPop,2500,1048896
GAHighPop,2500,1049043
GAHighPop,3000,1257915
GAHighPop,3000,1257948
GAHighPop,3000,1258017
GAHighPop,3000,1258019
GAHighPop,3000,1258077
GAHighPop,3000,1258248
GAHighPop,3000,1258283
GAHighPop,3000,1258288
GAHighPop,3000,1258291
GAHighPop,3000,1258307
GAHighPop,3500,1467547
GAHighPop,3500,1467557
GAHighPop,3500,1467654
GAHighPop,3500,1467767
GAHighPop,3500,1467769
GAHighPop,3500,1467787
GAHighPop,3500,1467843
GAHighPop,3500,1467848
GAHighPop,3500,1467872
GAHighPop,3500,1467932
GAHighPop,4000,1676757
GAHighPop,4000,1677086
GAHighPop,4000,1677093
GAHighPop,4000,1677100
GAHighPop,4000,1677102
GAHighPop,4000,1677222
GAHighPop,4000,1677376
GAHighPop,4000,1677422
GAHighPop,4000,1677429
GAHighPop,4000,1677506
GAHighPop,4500,1886623
GAHighPop,4500,1886712
GAHighPop,4500,1886856
GAHighPop,4500,1886881
GAHighPop,4500,1886893
GAHighPop,4500,1886898
GAHighPop,4500,1886914
GAHighPop,4500,1886963
GAHighPop,4500,1887138
GAHighPop,4500,1887301
GAHighPop,5000,2095972
GAHighPop,5000,2096025
GAHighPop,5000,2096049
GAHighPop,5000,2096118
GAHighPop,5000,2096154
GAHighPop,5000,2096175
GAHighPop,5000,2096239
GAHighPop,5000,2096311
GAHighPop,5000,2096472
GAHighPop,5000,2096664
GALowPop,1,255
GALowPop,1,255
GALowPop,1,256
GALowPop,1,257
GALowPop,1,257
GALowPop,1,258
GALowPop,1,258
GALowPop,1,258
GALowPop,1,259
GALowPop,1,260
GALowPop,500,38801
GALowPop,500,38826
GALowPop,500,38836
GALowPop,500,38864
GALowPop,500,38865
GALowPop,500,38867
GALowPop,500,38882
GALowPop,500,38882
GALowPop,500,38886
GALowPop,500,38936
GALowPop,1000,77478
GALowPop,1000,77520
GALowPop,1000,77534
GALowPop,1000,77545
GALowPop,1000,77552
GALowPop,1000,77583
GALowPop,1000,77585
GALowPop,1000,77590
GALowPop,1000,77596
GALowPop,1000,77598
GALowPop,1500,116207
GALowPop,1500,116231
GALowPop,1500,116253
GALowPop,1500,116258
GALowPop,1500,116272
GALowPop,1500,116276
GALowPop,1500,116287
GALowPop,1500,116296
GALowPop,1500,116331
GALowPop,1500,116358
GALowPop,2000,154864
GALowPop,2000,154892
GALowPop,2000,154909
