algorithm,iterations,optimal
GAHighPop,1,0.027825866644648152
GAHighPop,1,0.03335205725060513
GAHighPop,1,0.0341270566518932
GAHighPop,1,0.03554796696885912
GAHighPop,1,0.038770536997229564
GAHighPop,1,0.039387095325496335
GAHighPop,1,0.05631238262095536
GAHighPop,1,0.08443569227573353
GAHighPop,1,0.17106719301665604
GAHighPop,1,0.501891196869979
GAHighPop,500,0.09208052367387623
GAHighPop,500,0.09859200809172965
GAHighPop,500,0.10025297486500574
GAHighPop,500,0.1023624570361065
GAHighPop,500,0.10289691382123174
GAHighPop,500,0.10641735697305892
GAHighPop,500,0.11258267663106615
GAHighPop,500,0.11617934689537192
GAHighPop,500,0.5719007582873362
GAHighPop,500,0.689571148543342
GAHighPop,1000,0.08939913560185717
GAHighPop,1000,0.09101971259069264
GAHighPop,1000,0.09511218538688593
GAHighPop,1000,0.09878644005778203
GAHighPop,1000,0.10163260807503563
GAHighPop,1000,0.10479332484620561
GAHighPop,1000,0.10544124598971266
GAHighPop,1000,0.10841429540338926
GAHighPop,1000,0.1109082322792003
GAHighPop,1000,0.11539225655852035
GAHighPop,1500,0.09220302549234415
GAHighPop,1500,0.09232271723626069
GAHighPop,1500,0.09555495001659234
GAHighPop,1500,0.09597384102584214
GAHighPop,1500,0.09611168517559328
GAHighPop,1500,0.10098601647167554
GAHighPop,1500,0.10294653164965349
GAHighPop,1500,0.1085798781237329
GAHighPop,1500,0.11096704950264775
GAHighPop,1500,0.11320285723015097
GAHighPop,2000,0.09348558465260717
GAHighPop,2000,0.10070419083833007
GAHighPop,2000,0.10115604104186206
GAHighPop,2000,0.10241542340417154
GAHighPop,2000,0.10401908455763414
GAHighPop,2000,0.10433618848132174
GAHighPop,2000,0.10826210814823921
GAHighPop,2000,0.10986944934605514
GAHighPop,2000,0.11289786571206985
GAHighPop,2000,7.7682284886272335
GAHighPop,2500,0.09433418265867327
GAHighPop,2500,0.10022785541351426
GAHighPop,2500,0.10058015923978597
GAHighPop,2500,0.10078332426049168
GAHighPop,2500,0.10347994232976068
GAHighPop,2500,0.1054946393430058
GAHighPop,2500,0.10572732558936489
GAHighPop,2500,0.1122088867972348
GAHighPop,2500,0.12368922115850889
GAHighPop,2500,1.433014366096569
GAHighPop,3000,0.09237640033626346
GAHighPop,3000,0.0981961464445738
GAHighPop,3000,0.09927938819980682
GAHighPop,3000,0.09954548053255974
GAHighPop,3000,0.09983950411496394
GAHighPop,3000,0.10344133124378882
GAHighPop,3000,0.1073054429870476
GAHighPop,3000,0.10790772150037843
GAHighPop,3000,0.11113253543986423
GAHighPop,3000,0.11972888494399854
GAHighPop,3500,0.09594316221054641
GAHighPop,3500,0.09774998602628075
GAHighPop,3500,0.10051616095748456
GAHighPop,3500,0.10399004835308126
GAHighPop,3500,0.10483004728500848
GAHighPop,3500,0.10529249227737149
GAHighPop,3500,0.10545360258637673
GAHighPop,3500,0.1086043245403837
GAHighPop,3500,0.10967729275224611
GAHighPop,3500,0.11047543483579672
GAHighPop,4000,0.09057124220444647
GAHighPop,4000,0.09284973183033503
GAHighPop,4000,0.09514367807352092
GAHighPop,4000,0.0977992226412192
GAHighPop,4000,0.09785816175614674
GAHighPop,4000,0.09828501571960886
GAHighPop,4000,0.10158870842125105
GAHighPop,4000,0.10571175807456319
GAHighPop,4000,0.11530401898454269
GAHighPop,4000,0.11929068494078439
GAHighPop,4500,0.09599761471452714
GAHighPop,4500,0.1033315830292305
GAHighPop,4500,0.10431905322414861
GAHighPop,4500,0.1052981985076787
GAHighPop,4500,0.10881104092758587
GAHighPop,4500,0.11073519667303014
GAHighPop,4500,0.11597293169832996
GAHighPop,4500,0.42323654542335143
GAHighPop,4500,0.5984504170908174
GAHighPop,4500,0.8058609220382111
GAHighPop,5000,0.09705546351818978
GAHighPop,5000,0.09817662973059481
GAHighPop,5000,0.10197160905649753
GAHighPop,5000,0.10223960818660585
GAHighPop,5000,0.10291308153002868
GAHighPop,5000,0.10364094336478849
