algorithm,iterations,time
GAHighPop,1,1004.0
GAHighPop,1,1133.0
GAHighPop,1,1194.0
GAHighPop,1,14777.0
GAHighPop,1,1688.0
GAHighPop,1,17860.0
GAHighPop,1,2502.0
GAHighPop,1,2901.0
GAHighPop,1,3597.0
GAHighPop,1,645.0
GAHighPop,500,1012585.0
GAHighPop,500,1917939.0
GAHighPop,500,2002837.0
GAHighPop,500,844283.0
GAHighPop,500,876751.0
GAHighPop,500,904427.0
GAHighPop,500,907166.0
GAHighPop,500,909435.0
GAHighPop,500,912259.0
GAHighPop,500,980796.0
GAHighPop,1000,1367880.0
GAHighPop,1000,1403268.0
GAHighPop,1000,1419533.0
GAHighPop,1000,1484069.0
GAHighPop,1000,1547260.0
GAHighPop,1000,1554216.0
GAHighPop,1000,1568923.0
GAHighPop,1000,1622892.0
GAHighPop,1000,1623772.0
GAHighPop,1000,1700239.0
GAHighPop,1500,1721356.0
GAHighPop,1500,1746067.0
GAHighPop,1500,1793223.0
GAHighPop,1500,1821638.0
GAHighPop,1500,1845083.0
GAHighPop,1500,1846048.0
GAHighPop,1500,1970432.0
GAHighPop,1500,2069070.0
GAHighPop,1500,2124855.0
GAHighPop,1500,2150192.0
GAHighPop,2000,1070733.0
GAHighPop,2000,1959315.0
GAHighPop,2000,2035269.0
GAHighPop,2000,2044645.0
GAHighPop,2000,2077734.0
GAHighPop,2000,2193162.0
GAHighPop,2000,2288702.0
GAHighPop,2000,2386613.0
GAHighPop,2000,2396201.0
GAHighPop,2000,3210730.0
GAHighPop,2500,2212166.0
GAHighPop,2500,2248476.0
GAHighPop,2500,2316309.0
GAHighPop,2500,2450008.0
GAHighPop,2500,2451489.0
GAHighPop,2500,2485142.0
GAHighPop,2500,2497087.0
GAHighPop,2500,2693157.0
GAHighPop,2500,2700155.0
GAHighPop,2500,3246893.0
GAHighPop,3000,2453956.0
GAHighPop,3000,2612917.0
GAHighPop,3000,2677260.0
GAHighPop,3000,2691744.0
GAHighPop,3000,2709640.0
GAHighPop,3000,2774378.0
GAHighPop,3000,2775651.0
GAHighPop,3000,2786731.0
GAHighPop,3000,2805769.0
GAHighPop,3000,2932715.0
GAHighPop,3500,2733030.0
GAHighPop,3500,2830258.0
GAHighPop,3500,2841826.0
GAHighPop,3500,2888819.0
GAHighPop,3500,2915834.0
GAHighPop,3500,2951168.0
GAHighPop,3500,2956073.0
GAHighPop,3500,2961872.0
GAHighPop,3500,3012348.0
GAHighPop,3500,3031950.0
GAHighPop,4000,2769779.0
GAHighPop,4000,2853091.0
GAHighPop,4000,2999800.0
GAHighPop,4000,3017780.0
GAHighPop,4000,3017869.0
GAHighPop,4000,3037114.0
GAHighPop,4000,3044028.0
GAHighPop,4000,3061451.0
GAHighPop,4000,3073860.0
GAHighPop,4000,3104223.0
GAHighPop,4500,3001859.0
GAHighPop,4500,3028759.0
GAHighPop,4500,3032694.0
GAHighPop,4500,3080267.0
GAHighPop,4500,3081731.0
GAHighPop,4500,3094600.0
GAHighPop,4500,3101505.0
GAHighPop,4500,3331292.0
GAHighPop,4500,3370432.0
GAHighPop,4500,3379487.0
GAHighPop,5000,2980704.0
GAHighPop,5000,2991096.0
GAHighPop,5000,3048384.0
GAHighPop,5000,3068126.0
GAHighPop,5000,3087531.0
GAHighPop,5000,3088205.0
GAHighPop,5000,3098842.0
GAHighPop,5000,3130911.0
GAHighPop,5000,3383359.0
GAHighPop,5000,3383788.0
GALowPop,1,11.0
GALowPop,1,131.0
GALowPop,1,151.0
GALowPop,1,17.0
GALowPop,1,32.0
GALowPop,1,33.0
GALowPop,1,44.0
GALowPop,1,7.0
GALowPop,1,84.0
GALowPop,1,9.0
GALowPop,500,103243.0
GALowPop,500,115215.0
GALowPop,500,124511.0
GALowPop,500,129322.0
GALowPop,500,135967.0
GALowPop,500,28197.0
GALowPop,500,35116.0
GALowPop,500,45967.0
GALowPop,500,65469.0
GALowPop,500,99980.0
GALowPop,1000,233428.0
GALowPop,1000,260476.0
GALowPop,1000,267948.0
GALowPop,1000,272407.0
GALowPop,1000,276424.0
GALowPop,1000,280411.0
GALowPop,1000,290080.0
GALowPop,1000,296621.0
GALowPop,1000,297621.0
GALowPop,1000,799803.0
GALowPop,1500,1201781.0
GALowPop,1500,321673.0
GALowPop,1500,324913.0
GALowPop,1500,422471.0
GALowPop,1500,422577.0
GALowPop,1500,440661.0
GALowPop,1500,457851.0
GALowPop,1500,462626.0
GALowPop,1500,466334.0
GALowPop,1500,520970.0
GALowPop,2000,492609.0
GALowPop,2000,503024.0
GALowPop,2000,534003.0
GALowPop,2000,540942.0
GALowPop,2000,554173.0
GALowPop,2000,570006.0
GALowPop,2000,594350.0
GALowPop,2000,609688.0
GALowPop,2000,664554.0
GALowPop,2000,695646.0
GALowPop,2500,541354.0
GALowPop,2500,676063.0
GALowPop,2500,683958.0
GALowPop,2500,714039.0
GALowPop,2500,721134.0
GALowPop,2500,738224.0
GALowPop,2500,751573.0
GALowPop,2500,764501.0
GALowPop,2500,795510.0
GALowPop,2500,883722.0
GALowPop,3000,823873.0
GALowPop,3000,864731.0
GALowPop,3000,866724.0
GALowPop,3000,878877.0
GALowPop,3000,881466.0
GALowPop,3000,892224.0
GALowPop,3000,941656.0
GALowPop,3000,970835.0
GALowPop,3000,983645.0
GALowPop,3000,986114.0
GALowPop,3500,1002206.0
GALowPop,3500,1040831.0
GALowPop,3500,1052852.0
GALowPop,3500,1079616.0
GALowPop,3500,1086518.0
GALowPop,3500,1095763.0
GALowPop,3500,1160887.0
GALowPop,3500,873805.0
GALowPop,3500,957697.0
GALowPop,3500,984149.0
GALowPop,4000,1016369.0
GALowPop,4000,1066119.0
GALowPop,4000,1139167.0
GALowPop,4000,1162994.0
GALowPop,4000,1184595.0
GALowPop,4000,1193688.0
GALowPop,4000,1199345.0
GALowPop,4000,1265806.0
GALowPop,4000,2307432.0
GALowPop,4000,2325494.0
GALowPop,4500,1030505.0
GALowPop,4500,1061172.0
GALowPop,4500,1192018.0
GALowPop,4500,1224543.0
GALowPop,4500,1238851.0
GALowPop,4500,1284564.0
GALowPop,4500,1318107.0
GALowPop,4500,1325956.0
GALowPop,4500,1349726.0
GALowPop,4500,1413510.0
GALowPop,5000,1208214.0
GALowPop,5000,1266737.0
GALowPop,5000,1290446.0
GALowPop,5000,1314534.0
GALowPop,5000,1340629.0
GALowPop,5000,1389960.0
GALowPop,5000,1431324.0
GALowPop,5000,1486339.0
GALowPop,5000,2887688.0
GALowPop,5000,456064.0
RHC,1,14.0
RHC,1,18.0
RHC,1,19.0
RHC,1,26.0
RHC,1,32.0
RHC,1,32.0
RHC,1,32.0
RHC,1,33.0
RHC,1,33.0
RHC,1,35.0
RHC,500,100.0
RHC,500,127.0
RHC,500,131.0
RHC,500,303.0
RHC,500,309.0
RHC,500,326.0
RHC,500,335.0
RHC,500,507.0
RHC,500,566.0
RHC,500,73.0
RHC,1000,189.0
RHC,1000,406.0
RHC,1000,409.0
RHC,1000,566.0
RHC,1000,583.0
RHC,1000,598.0
RHC,1000,708.0
RHC,1000,779.0
RHC,1000,784.0
RHC,1000,923.0
RHC,1500,1337.0
RHC,1500,1448.0
RHC,1500,2097.0
RHC,1500,2216.0
RHC,1500,2784.0
RHC,1500,6645.0
RHC,1500,685.0
RHC,1500,728.0
RHC,1500,921.0
RHC,1500,945.0
RHC,2000,1906.0
RHC,2000,2263.0
RHC,2000,3321.0
RHC,2000,3846.0
RHC,2000,3995.0
RHC,2000,4933.0
RHC,2000,5129.0
RHC,2000,5770.0
RHC,2000,6405.0
RHC,2000,6754.0
RHC,2500,10186.0
RHC,2500,11727.0
RHC,2500,2387.0
RHC,2500,3305.0
RHC,2500,4482.0
RHC,2500,4502.0
RHC,2500,4878.0
RHC,2500,4952.0
RHC,2500,8087.0
RHC,2500,9395.0
RHC,3000,10159.0
RHC,3000,11319.0
RHC,3000,14467.0
RHC,3000,4917.0
RHC,3000,5046.0
RHC,3000,6310.0
RHC,3000,7083.0
RHC,3000,7182.0
RHC,3000,8146.0
RHC,3000,8696.0
RHC,3500,10457.0
RHC,3500,10860.0
RHC,3500,11228.0
RHC,3500,11798.0
RHC,3500,13053.0
RHC,3500,13334.0
RHC,3500,13894.0
RHC,3500,15393.0
RHC,3500,16391.0
RHC,3500,17950.0
RHC,4000,15127.0
RHC,4000,16708.0
RHC,4000,19816.0
RHC,4000,20917.0
RHC,4000,21992.0
RHC,4000,22375.0
RHC,4000,24616.0
RHC,4000,27610.0
RHC,4000,28153.0
RHC,4000,28250.0
RHC,4500,17608.0
RHC,4500,18299.0
RHC,4500,21100.0
RHC,4500,21445.0
RHC,4500,24913.0
RHC,4500,26170.0
RHC,4500,26542.0
RHC,4500,27987.0
RHC,4500,28792.0
RHC,4500,29386.0
RHC,5000,22219.0
RHC,5000,24533.0
RHC,5000,26900.0
RHC,5000,26926.0
RHC,5000,30548.0
RHC,5000,30555.0
RHC,5000,31132.0
RHC,5000,31436.0
RHC,5000,32025.0
RHC,5000,32361.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,0.0
SA55,1,1.0
SA55,1,20.0
SA55,1,35.0
SA55,1,9.0
SA55,500,428.0
SA55,500,442.0
SA55,500,52.0
SA55,500,55.0
SA55,500,71.0
SA55,500,72.0
SA55,500,77.0
SA55,500,777.0
SA55,500,82.0
SA55,500,89.0
SA55,1000,1074.0
SA55,1000,153.0
SA55,1000,2065.0
SA55,1000,2347.0
SA55,1000,433.0
SA55,1000,498.0
SA55,1000,617.0
SA55,1000,700.0
SA55,1000,892.0
SA55,1000,910.0
SA55,1500,1869.0
SA55,1500,1975.0
SA55,1500,2038.0
SA55,1500,2406.0
SA55,1500,2501.0
SA55,1500,2638.0
SA55,1500,3423.0
SA55,1500,3492.0
SA55,1500,5154.0
SA55,1500,876.0
SA55,2000,1065.0
SA55,2000,2372.0
SA55,2000,2407.0
SA55,2000,4031.0
SA55,2000,4164.0
SA55,2000,4942.0
SA55,2000,5275.0
SA55,2000,5667.0
SA55,2000,6678.0
SA55,2000,7713.0
SA55,2500,10082.0
SA55,2500,12062.0
SA55,2500,3284.0
SA55,2500,3793.0
SA55,2500,4158.0
SA55,2500,5451.0
SA55,2500,7678.0
SA55,2500,8621.0
SA55,2500,9705.0
SA55,2500,9814.0
SA55,3000,10990.0
SA55,3000,13130.0
SA55,3000,14716.0
SA55,3000,16086.0
SA55,3000,17774.0
SA55,3000,18286.0
SA55,3000,18528.0
SA55,3000,6297.0
SA55,3000,7530.0
SA55,3000,8264.0
SA55,3500,10441.0
SA55,3500,15567.0
SA55,3500,15749.0
SA55,3500,17378.0
SA55,3500,18529.0
SA55,3500,19381.0
SA55,3500,20435.0
SA55,3500,21841.0
SA55,3500,21882.0
SA55,3500,23846.0
SA55,4000,12288.0
SA55,4000,12820.0
SA55,4000,15782.0
SA55,4000,16569.0
SA55,4000,16746.0
SA55,4000,21214.0
SA55,4000,21254.0
SA55,4000,22655.0
SA55,4000,24499.0
SA55,4000,26253.0
SA55,4500,16778.0
SA55,4500,17502.0
SA55,4500,18222.0
SA55,4500,20538.0
SA55,4500,23950.0
SA55,4500,25489.0
