algorithm,iterations,functions
GAHighPop,1,1433
GAHighPop,1,1436
GAHighPop,1,1437
GAHighPop,1,1438
GAHighPop,1,1438
GAHighPop,1,1439
GAHighPop,1,1440
GAHighPop,1,1441
GAHighPop,1,1444
GAHighPop,1,1446
GAHighPop,500,210445
GAHighPop,500,210455
GAHighPop,500,210493
GAHighPop,500,210509
GAHighPop,500,210523
GAHighPop,500,210542
GAHighPop,500,210553
GAHighPop,500,210572
GAHighPop,500,210578
GAHighPop,500,210660
GAHighPop,1000,419934
GAHighPop,1000,419962
GAHighPop,1000,419996
GAHighPop,1000,420041
GAHighPop,1000,420060
GAHighPop,1000,420061
GAHighPop,1000,420063
GAHighPop,1000,420164
GAHighPop,1000,420198
GAHighPop,1000,420215
GAHighPop,1500,629182
GAHighPop,1500,629374
GAHighPop,1500,629386
GAHighPop,1500,629495
GAHighPop,1500,629630
GAHighPop,1500,629667
GAHighPop,1500,629694
GAHighPop,1500,629782
GAHighPop,1500,629922
GAHighPop,1500,629930
GAHighPop,2000,838887
GAHighPop,2000,838960
GAHighPop,2000,839050
GAHighPop,2000,839086
GAHighPop,2000,839090
GAHighPop,2000,839123
GAHighPop,2000,839170
GAHighPop,2000,839245
GAHighPop,2000,839249
GAHighPop,2000,839297
GAHighPop,2500,1048409
GAHighPop,2500,1048475
GAHighPop,2500,1048507
GAHighPop,2500,1048536
GAHighPop,2500,1048642
GAHighPop,2500,1048703
GAHighPop,2500,1048707
GAHighPop,2500,1048735
GAHighPop,2500,1048770
GAHighPop,2500,1048855
GAHighPop,3000,1257906
GAHighPop,3000,1257910
GAHighPop,3000,1258106
GAHighPop,3000,1258143
GAHighPop,3000,1258186
GAHighPop,3000,1258190
GAHighPop,3000,1258331
GAHighPop,3000,1258354
GAHighPop,3000,1258439
GAHighPop,3000,1258515
GAHighPop,3500,1467395
GAHighPop,3500,1467425
GAHighPop,3500,1467455
GAHighPop,3500,1467461
GAHighPop,3500,1467571
GAHighPop,3500,1467633
GAHighPop,3500,1467691
GAHighPop,3500,1467696
GAHighPop,3500,1467789
GAHighPop,3500,1468010
GAHighPop,4000,1676807
GAHighPop,4000,1677008
GAHighPop,4000,1677031
GAHighPop,4000,1677128
GAHighPop,4000,1677227
GAHighPop,4000,1677333
GAHighPop,4000,1677339
GAHighPop,4000,1677389
GAHighPop,4000,1677703
GAHighPop,4000,1677724
GAHighPop,4500,1886432
GAHighPop,4500,1886550
GAHighPop,4500,1886616
GAHighPop,4500,1886708
GAHighPop,4500,1886713
GAHighPop,4500,1886739
GAHighPop,4500,1886757
GAHighPop,4500,1886805
GAHighPop,4500,1886857
GAHighPop,4500,1886901
GAHighPop,5000,2095881
GAHighPop,5000,2096059
GAHighPop,5000,2096086
GAHighPop,5000,2096093
GAHighPop,5000,2096135
GAHighPop,5000,2096304
GAHighPop,5000,2096406
GAHighPop,5000,2096513
GAHighPop,5000,2096612
GAHighPop,5000,2096720
GALowPop,1,253
GALowPop,1,254
GALowPop,1,254
GALowPop,1,256
GALowPop,1,256
GALowPop,1,256
GALowPop,1,257
GALowPop,1,257
GALowPop,1,259
GALowPop,1,259
GALowPop,500,38837
GALowPop,500,38843
GALowPop,500,38868
GALowPop,500,38872
GALowPop,500,38887
GALowPop,500,38887
GALowPop,500,38892
GALowPop,500,38893
GALowPop,500,38896
GALowPop,500,38913
GALowPop,1000,77503
GALowPop,1000,77509
GALowPop,1000,77536
GALowPop,1000,77549
GALowPop,1000,77577
GALowPop,1000,77591
GALowPop,1000,77595
GALowPop,1000,77598
GALowPop,1000,77616
GALowPop,1000,77627
GALowPop,1500,116166
GALowPop,1500,116247
GALowPop,1500,116248
GALowPop,1500,116272
GALowPop,1500,116286
GALowPop,1500,116316
GALowPop,1500,116323
GALowPop,1500,116324
GALowPop,1500,116328
GALowPop,1500,116343
GALowPop,2000,154908
GALowPop,2000,154929
GALowPop,2000,154931
GALowPop,2000,154935
GALowPop,2000,154945
GALowPop,2000,154977
GALowPop,2000,154985
GALowPop,2000,155016
GALowPop,2000,155054
GALowPop,2000,155057
GALowPop,2500,193610
GALowPop,2500,193620
GALowPop,2500,193621
GALowPop,2500,193632
GALowPop,2500,193640
GALowPop,2500,193692
GALowPop,2500,193700
GALowPop,2500,193713
GALowPop,2500,193713
GALowPop,2500,193785
GALowPop,3000,232260
GALowPop,3000,232321
GALowPop,3000,232337
GALowPop,3000,232347
GALowPop,3000,232353
GALowPop,3000,232358
GALowPop,3000,232368
GALowPop,3000,232399
GALowPop,3000,232439
GALowPop,3000,232446
GALowPop,3500,270891
GALowPop,3500,270893
GALowPop,3500,270909
GALowPop,3500,270919
GALowPop,3500,270981
GALowPop,3500,271025
GALowPop,3500,271034
GALowPop,3500,271039
GALowPop,3500,271052
GALowPop,3500,271057
GALowPop,4000,309678
GALowPop,4000,309714
GALowPop,4000,309732
GALowPop,4000,309758
GALowPop,4000,309787
GALowPop,4000,309789
GALowPop,4000,309810
GALowPop,4000,309833
GALowPop,4000,309851
GALowPop,4000,309877
GALowPop,4500,348353
GALowPop,4500,348402
GALowPop,4500,348430
GALowPop,4500,348440
GALowPop,4500,348451
GALowPop,4500,348469
GALowPop,4500,348509
GALowPop,4500,348509
GALowPop,4500,348527
GALowPop,4500,348546
GALowPop,5000,386936
GALowPop,5000,387006
GALowPop,5000,387060
GALowPop,5000,387061
GALowPop,5000,387087
GALowPop,5000,387090
GALowPop,5000,387106
GALowPop,5000,387130
GALowPop,5000,387203
GALowPop,5000,387238
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,1,4
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
RHC,500,503
