algorithm,iterations,time
GAHighPop,1,1276.0
GAHighPop,1,1477.0
GAHighPop,1,199.0
GAHighPop,1,2053.0
GAHighPop,1,2416.0
GAHighPop,1,329.0
GAHighPop,1,61.0
GAHighPop,1,778.0
GAHighPop,1,904.0
GAHighPop,1,975.0
GAHighPop,500,507226.0
GAHighPop,500,531451.0
GAHighPop,500,540007.0
GAHighPop,500,541589.0
GAHighPop,500,542097.0
GAHighPop,500,544001.0
GAHighPop,500,544763.0
GAHighPop,500,554880.0
GAHighPop,500,559965.0
GAHighPop,500,569926.0
GAHighPop,1000,749324.0
GAHighPop,1000,800165.0
GAHighPop,1000,800987.0
GAHighPop,1000,812091.0
GAHighPop,1000,818951.0
GAHighPop,1000,820225.0
GAHighPop,1000,826022.0
GAHighPop,1000,828611.0
GAHighPop,1000,836108.0
GAHighPop,1000,848886.0
GAHighPop,1500,1009088.0
GAHighPop,1500,1014146.0
GAHighPop,1500,1022158.0
GAHighPop,1500,1025411.0
GAHighPop,1500,1025617.0
GAHighPop,1500,1030830.0
GAHighPop,1500,1038944.0
GAHighPop,1500,1049252.0
GAHighPop,1500,1049371.0
GAHighPop,1500,1104918.0
GAHighPop,2000,1148509.0
GAHighPop,2000,1159438.0
GAHighPop,2000,1170046.0
GAHighPop,2000,1185911.0
GAHighPop,2000,1192253.0
GAHighPop,2000,1204166.0
GAHighPop,2000,1210447.0
GAHighPop,2000,1215045.0
GAHighPop,2000,1249450.0
GAHighPop,2000,1276395.0
GAHighPop,2500,1319090.0
GAHighPop,2500,1345000.0
GAHighPop,2500,1350850.0
GAHighPop,2500,1359982.0
GAHighPop,2500,1371720.0
GAHighPop,2500,1377112.0
GAHighPop,2500,1377210.0
GAHighPop,2500,1384832.0
GAHighPop,2500,1387442.0
GAHighPop,2500,1393552.0
GAHighPop,3000,1410480.0
GAHighPop,3000,1424862.0
GAHighPop,3000,1428194.0
GAHighPop,3000,1435216.0
GAHighPop,3000,1467432.0
GAHighPop,3000,1477603.0
