algorithm,iterations,functions
GAHighPop,1,1426
GAHighPop,1,1429
GAHighPop,1,1431
GAHighPop,1,1432
GAHighPop,1,1434
GAHighPop,1,1436
GAHighPop,1,1438
GAHighPop,1,1440
GAHighPop,1,1440
GAHighPop,1,1444
GAHighPop,500,210465
GAHighPop,500,210516
GAHighPop,500,210522
GAHighPop,500,210537
GAHighPop,500,210575
GAHighPop,500,210600
GAHighPop,500,210610
GAHighPop,500,210621
GAHighPop,500,210672
GAHighPop,500,210679
GAHighPop,1000,420031
GAHighPop,1000,420035
GAHighPop,1000,420044
GAHighPop,1000,420085
GAHighPop,1000,420090
GAHighPop,1000,420093
GAHighPop,1000,420096
GAHighPop,1000,420098
GAHighPop,1000,420112
GAHighPop,1000,420136
GAHighPop,1500,629421
GAHighPop,1500,629456
GAHighPop,1500,629484
GAHighPop,1500,629533
GAHighPop,1500,629590
GAHighPop,1500,629606
GAHighPop,1500,629647
GAHighPop,1500,629684
GAHighPop,1500,629712
GAHighPop,1500,629762
GAHighPop,2000,839027
GAHighPop,2000,839091
GAHighPop,2000,839155
GAHighPop,2000,839158
GAHighPop,2000,839166
GAHighPop,2000,839188
GAHighPop,2000,839192
GAHighPop,2000,839229
GAHighPop,2000,839256
GAHighPop,2000,839316
GAHighPop,2500,1048554
GAHighPop,2500,1048566
GAHighPop,2500,1048577
GAHighPop,2500,1048606
GAHighPop,2500,1048611
GAHighPop,2500,1048614
GAHighPop,2500,1048615
GAHighPop,2500,1048645
GAHighPop,2500,1048719
GAHighPop,2500,1048743
GAHighPop,3000,1257885
GAHighPop,3000,1257920
GAHighPop,3000,1258124
GAHighPop,3000,1258143
GAHighPop,3000,1258217
GAHighPop,3000,1258224
GAHighPop,3000,1258265
GAHighPop,3000,1258302
GAHighPop,3000,1258330
GAHighPop,3000,1258344
GAHighPop,3500,1467536
GAHighPop,3500,1467540
GAHighPop,3500,1467579
GAHighPop,3500,1467605
GAHighPop,3500,1467725
GAHighPop,3500,1467731
GAHighPop,3500,1467740
GAHighPop,3500,1467872
GAHighPop,3500,1467899
GAHighPop,3500,1467937
GAHighPop,4000,1676647
GAHighPop,4000,1676901
GAHighPop,4000,1677098
GAHighPop,4000,1677103
GAHighPop,4000,1677195
GAHighPop,4000,1677279
GAHighPop,4000,1677282
GAHighPop,4000,1677288
GAHighPop,4000,1677377
GAHighPop,4000,1677488
GAHighPop,4500,1886370
GAHighPop,4500,1886483
GAHighPop,4500,1886530
GAHighPop,4500,1886573
GAHighPop,4500,1886693
GAHighPop,4500,1886740
GAHighPop,4500,1886754
GAHighPop,4500,1886924
GAHighPop,4500,1886978
GAHighPop,4500,1887068
GAHighPop,5000,2096011
GAHighPop,5000,2096097
GAHighPop,5000,2096175
GAHighPop,5000,2096344
GAHighPop,5000,2096403
GAHighPop,5000,2096417
GAHighPop,5000,2096466
GAHighPop,5000,2096481
GAHighPop,5000,2096619
GAHighPop,5000,2096655
GALowPop,1,254
GALowPop,1,254
GALowPop,1,255
GALowPop,1,256
GALowPop,1,256
GALowPop,1,256
GALowPop,1,256
GALowPop,1,257
GALowPop,1,257
GALowPop,1,258
GALowPop,500,38824
GALowPop,500,38839
GALowPop,500,38851
GALowPop,500,38853
GALowPop,500,38856
GALowPop,500,38868
GALowPop,500,38873
GALowPop,500,38874
GALowPop,500,38895
GALowPop,500,38930
GALowPop,1000,77506
GALowPop,1000,77534
GALowPop,1000,77538
GALowPop,1000,77540
GALowPop,1000,77555
GALowPop,1000,77557
GALowPop,1000,77584
GALowPop,1000,77590
GALowPop,1000,77631
GALowPop,1000,77639
GALowPop,1500,116180
GALowPop,1500,116234
GALowPop,1500,116247
GALowPop,1500,116250
GALowPop,1500,116292
GALowPop,1500,116308
GALowPop,1500,116328
GALowPop,1500,116332
GALowPop,1500,116347
GALowPop,1500,116356
GALowPop,2000,154874
GALowPop,2000,154902
GALowPop,2000,154940
GALowPop,2000,155004
GALowPop,2000,155010
GALowPop,2000,155023
GALowPop,2000,155037
GALowPop,2000,155065
GALowPop,2000,155065
GALowPop,2000,155158
GALowPop,2500,193560
GALowPop,2500,193586
GALowPop,2500,193610
GALowPop,2500,193612
GALowPop,2500,193614
GALowPop,2500,193638
GALowPop,2500,193708
