algorithm,iterations,optimal
GAHighPop,1,40.0
GAHighPop,1,41.0
GAHighPop,1,42.0
GAHighPop,1,44.0
GAHighPop,1,45.0
GAHighPop,1,45.0
GAHighPop,1,45.0
GAHighPop,1,45.0
GAHighPop,1,45.0
GAHighPop,1,53.0
GAHighPop,500,84.0
GAHighPop,500,84.0
GAHighPop,500,88.0
GAHighPop,500,88.0
GAHighPop,500,88.0
GAHighPop,500,90.0
GAHighPop,500,90.0
GAHighPop,500,90.0
GAHighPop,500,92.0
GAHighPop,500,92.0
GAHighPop,1000,86.0
GAHighPop,1000,90.0
GAHighPop,1000,90.0
GAHighPop,1000,90.0
GAHighPop,1000,90.0
GAHighPop,1000,92.0
GAHighPop,1000,92.0
GAHighPop,1000,94.0
GAHighPop,1000,94.0
GAHighPop,1000,96.0
GAHighPop,1500,86.0
GAHighPop,1500,88.0
GAHighPop,1500,88.0
GAHighPop,1500,88.0
GAHighPop,1500,88.0
GAHighPop,1500,90.0
GAHighPop,1500,90.0
GAHighPop,1500,90.0
GAHighPop,1500,94.0
GAHighPop,1500,94.0
GAHighPop,2000,86.0
GAHighPop,2000,88.0
GAHighPop,2000,88.0
GAHighPop,2000,90.0
GAHighPop,2000,90.0
GAHighPop,2000,90.0
GAHighPop,2000,90.0
GAHighPop,2000,90.0
GAHighPop,2000,94.0
GAHighPop,2000,94.0
GAHighPop,2500,88.0
GAHighPop,2500,88.0
GAHighPop,2500,90.0
GAHighPop,2500,90.0
GAHighPop,2500,90.0
GAHighPop,2500,92.0
GAHighPop,2500,92.0
GAHighPop,2500,92.0
GAHighPop,2500,92.0
GAHighPop,2500,94.0
GAHighPop,3000,86.0
GAHighPop,3000,88.0
GAHighPop,3000,88.0
GAHighPop,3000,88.0
GAHighPop,3000,90.0
GAHighPop,3000,90.0
GAHighPop,3000,90.0
GAHighPop,3000,92.0
GAHighPop,3000,92.0
GAHighPop,3000,94.0
GAHighPop,3500,82.0
GAHighPop,3500,88.0
GAHighPop,3500,88.0
GAHighPop,3500,88.0
GAHighPop,3500,90.0
GAHighPop,3500,90.0
GAHighPop,3500,90.0
GAHighPop,3500,92.0
GAHighPop,3500,94.0
GAHighPop,3500,94.0
GAHighPop,4000,88.0
GAHighPop,4000,88.0
GAHighPop,4000,88.0
GAHighPop,4000,90.0
GAHighPop,4000,90.0
GAHighPop,4000,90.0
GAHighPop,4000,92.0
GAHighPop,4000,92.0
GAHighPop,4000,92.0
GAHighPop,4000,94.0
GAHighPop,4500,84.0
GAHighPop,4500,88.0
GAHighPop,4500,88.0
GAHighPop,4500,88.0
GAHighPop,4500,90.0
GAHighPop,4500,92.0
GAHighPop,4500,92.0
GAHighPop,4500,92.0
GAHighPop,4500,94.0
GAHighPop,4500,94.0
GAHighPop,5000,88.0
GAHighPop,5000,88.0
GAHighPop,5000,90.0
GAHighPop,5000,92.0
GAHighPop,5000,92.0
GAHighPop,5000,92.0
GAHighPop,5000,92.0
GAHighPop,5000,92.0
GAHighPop,5000,92.0
GAHighPop,5000,94.0
GALowPop,1,37.0
GALowPop,1,37.0
GALowPop,1,38.0
GALowPop,1,41.0
GALowPop,1,41.0
GALowPop,1,42.0
GALowPop,1,43.0
GALowPop,1,44.0
GALowPop,1,44.0
GALowPop,1,49.0
GALowPop,500,70.0
GALowPop,500,72.0
GALowPop,500,74.0
GALowPop,500,74.0
GALowPop,500,77.0
GALowPop,500,78.0
GALowPop,500,78.0
GALowPop,500,80.0
GALowPop,500,81.0
GALowPop,500,85.0
GALowPop,1000,74.0
GALowPop,1000,75.0
GALowPop,1000,79.0
GALowPop,1000,81.0
GALowPop,1000,82.0
GALowPop,1000,83.0
GALowPop,1000,84.0
GALowPop,1000,84.0
GALowPop,1000,84.0
GALowPop,1000,87.0
GALowPop,1500,76.0
GALowPop,1500,78.0
GALowPop,1500,79.0
GALowPop,1500,80.0
GALowPop,1500,81.0
GALowPop,1500,83.0
GALowPop,1500,84.0
GALowPop,1500,85.0
GALowPop,1500,86.0
GALowPop,1500,92.0
GALowPop,2000,70.0
GALowPop,2000,78.0
GALowPop,2000,79.0
GALowPop,2000,82.0
GALowPop,2000,82.0
GALowPop,2000,85.0
GALowPop,2000,86.0
GALowPop,2000,86.0
GALowPop,2000,87.0
GALowPop,2000,90.0
GALowPop,2500,80.0
GALowPop,2500,81.0
GALowPop,2500,82.0
GALowPop,2500,82.0
GALowPop,2500,83.0
GALowPop,2500,84.0
GALowPop,2500,86.0
GALowPop,2500,87.0
GALowPop,2500,88.0
GALowPop,2500,88.0
GALowPop,3000,76.0
GALowPop,3000,80.0
GALowPop,3000,81.0
GALowPop,3000,83.0
GALowPop,3000,84.0
GALowPop,3000,85.0
GALowPop,3000,86.0
GALowPop,3000,86.0
GALowPop,3000,88.0
GALowPop,3000,90.0
GALowPop,3500,77.0
GALowPop,3500,82.0
GALowPop,3500,82.0
GALowPop,3500,84.0
GALowPop,3500,85.0
GALowPop,3500,85.0
GALowPop,3500,86.0
GALowPop,3500,86.0
GALowPop,3500,90.0
GALowPop,3500,93.0
GALowPop,4000,78.0
GALowPop,4000,80.0
GALowPop,4000,81.0
GALowPop,4000,82.0
GALowPop,4000,84.0
GALowPop,4000,84.0
GALowPop,4000,86.0
GALowPop,4000,87.0
GALowPop,4000,88.0
GALowPop,4000,90.0
GALowPop,4500,78.0
GALowPop,4500,79.0
GALowPop,4500,80.0
GALowPop,4500,81.0
GALowPop,4500,84.0
GALowPop,4500,84.0
GALowPop,4500,86.0
GALowPop,4500,86.0
GALowPop,4500,86.0
GALowPop,4500,90.0
GALowPop,5000,82.0
GALowPop,5000,83.0
GALowPop,5000,83.0
GALowPop,5000,84.0
GALowPop,5000,84.0
GALowPop,5000,85.0
GALowPop,5000,85.0
GALowPop,5000,88.0
GALowPop,5000,88.0
GALowPop,5000,90.0
RHC,1,17.0
RHC,1,17.0
RHC,1,22.0
RHC,1,24.0
RHC,1,27.0
RHC,1,27.0
RHC,1,27.0
RHC,1,30.0
RHC,1,32.0
RHC,1,40.0
RHC,500,65.0
RHC,500,65.0
RHC,500,66.0
RHC,500,69.0
RHC,500,77.0
RHC,500,78.0
RHC,500,79.0
RHC,500,80.0
RHC,500,81.0
RHC,500,84.0
RHC,1000,57.0
RHC,1000,66.0
RHC,1000,73.0
RHC,1000,74.0
RHC,1000,74.0
RHC,1000,76.0
RHC,1000,78.0
RHC,1000,80.0
RHC,1000,85.0
RHC,1000,86.0
RHC,1500,70.0
RHC,1500,72.0
RHC,1500,74.0
RHC,1500,74.0
RHC,1500,76.0
RHC,1500,78.0
RHC,1500,80.0
RHC,1500,80.0
RHC,1500,84.0
RHC,1500,84.0
RHC,2000,66.0
RHC,2000,68.0
RHC,2000,72.0
RHC,2000,72.0
RHC,2000,72.0
RHC,2000,74.0
RHC,2000,74.0
RHC,2000,76.0
RHC,2000,76.0
RHC,2000,78.0
RHC,2500,68.0
RHC,2500,68.0
RHC,2500,68.0
RHC,2500,70.0
RHC,2500,74.0
RHC,2500,76.0
RHC,2500,76.0
RHC,2500,76.0
RHC,2500,78.0
RHC,2500,78.0
RHC,3000,68.0
RHC,3000,68.0
RHC,3000,74.0
RHC,3000,74.0
RHC,3000,76.0
RHC,3000,76.0
RHC,3000,76.0
RHC,3000,78.0
RHC,3000,78.0
RHC,3000,80.0
RHC,3500,70.0
RHC,3500,72.0
RHC,3500,76.0
RHC,3500,76.0
RHC,3500,78.0
RHC,3500,78.0
RHC,3500,78.0
RHC,3500,78.0
RHC,3500,80.0
RHC,3500,80.0
RHC,4000,68.0
RHC,4000,70.0
RHC,4000,74.0
RHC,4000,76.0
RHC,4000,76.0
RHC,4000,76.0
RHC,4000,78.0
RHC,4000,82.0
RHC,4000,82.0
RHC,4000,84.0
RHC,4500,70.0
RHC,4500,72.0
RHC,4500,72.0
RHC,4500,74.0
RHC,4500,78.0
RHC,4500,78.0
RHC,4500,78.0
RHC,4500,82.0
RHC,4500,82.0
RHC,4500,86.0
RHC,5000,70.0
RHC,5000,72.0
RHC,5000,74.0
RHC,5000,74.0
RHC,5000,76.0
RHC,5000,78.0
RHC,5000,80.0
RHC,5000,82.0
RHC,5000,82.0
RHC,5000,84.0
SA55,1,19.0
SA55,1,20.0
SA55,1,20.0
SA55,1,24.0
SA55,1,27.0
SA55,1,27.0
SA55,1,27.0
SA55,1,29.0
SA55,1,29.0
SA55,1,30.0
SA55,500,63.0
SA55,500,67.0
SA55,500,68.0
SA55,500,72.0
SA55,500,73.0
SA55,500,73.0
SA55,500,73.0
SA55,500,78.0
SA55,500,78.0
SA55,500,83.0
SA55,1000,72.0
SA55,1000,74.0
SA55,1000,78.0
