algorithm,iterations,time
GAHighPop,1,157.0
GAHighPop,1,397.0
GAHighPop,1,658.0
GAHighPop,1,673.0
GAHighPop,1,690.0
GAHighPop,1,763.0
GAHighPop,1,775.0
GAHighPop,1,797.0
GAHighPop,1,805.0
GAHighPop,1,815.0
GAHighPop,500,18694.0
GAHighPop,500,19825.0
GAHighPop,500,22289.0
GAHighPop,500,22390.0
GAHighPop,500,23661.0
GAHighPop,500,25774.0
GAHighPop,500,27285.0
GAHighPop,500,28650.0
GAHighPop,500,31843.0
GAHighPop,500,32167.0
GAHighPop,1000,38530.0
GAHighPop,1000,46992.0
GAHighPop,1000,50355.0
GAHighPop,1000,50526.0
GAHighPop,1000,51189.0
GAHighPop,1000,61424.0
GAHighPop,1000,61679.0
GAHighPop,1000,68517.0
GAHighPop,1000,69868.0
GAHighPop,1000,73858.0
GAHighPop,1500,102562.0
GAHighPop,1500,103187.0
GAHighPop,1500,74308.0
GAHighPop,1500,84459.0
GAHighPop,1500,86250.0
GAHighPop,1500,88213.0
GAHighPop,1500,88831.0
GAHighPop,1500,92510.0
GAHighPop,1500,95414.0
GAHighPop,1500,98364.0
GAHighPop,2000,101708.0
GAHighPop,2000,102638.0
GAHighPop,2000,112659.0
GAHighPop,2000,115893.0
GAHighPop,2000,117126.0
GAHighPop,2000,117136.0
GAHighPop,2000,120853.0
GAHighPop,2000,124546.0
GAHighPop,2000,127279.0
GAHighPop,2000,144696.0
GAHighPop,2500,125825.0
GAHighPop,2500,139200.0
GAHighPop,2500,139779.0
GAHighPop,2500,140086.0
GAHighPop,2500,140358.0
GAHighPop,2500,140985.0
GAHighPop,2500,141192.0
GAHighPop,2500,148055.0
GAHighPop,2500,149243.0
GAHighPop,2500,154790.0
GAHighPop,3000,131267.0
GAHighPop,3000,145822.0
GAHighPop,3000,158374.0
GAHighPop,3000,160019.0
GAHighPop,3000,171557.0
GAHighPop,3000,172138.0
GAHighPop,3000,174040.0
GAHighPop,3000,174915.0
GAHighPop,3000,175302.0
GAHighPop,3000,175397.0
GAHighPop,3500,186627.0
GAHighPop,3500,188341.0
GAHighPop,3500,190563.0
GAHighPop,3500,192262.0
GAHighPop,3500,196200.0
GAHighPop,3500,198833.0
GAHighPop,3500,203491.0
GAHighPop,3500,206641.0
GAHighPop,3500,207043.0
GAHighPop,3500,207566.0
GAHighPop,4000,190497.0
GAHighPop,4000,200151.0
GAHighPop,4000,207789.0
GAHighPop,4000,210307.0
GAHighPop,4000,210758.0
GAHighPop,4000,211130.0
GAHighPop,4000,213342.0
GAHighPop,4000,218549.0
GAHighPop,4000,222237.0
GAHighPop,4000,222905.0
GAHighPop,4500,223050.0
GAHighPop,4500,223954.0
GAHighPop,4500,224124.0
GAHighPop,4500,225940.0
GAHighPop,4500,227117.0
GAHighPop,4500,227639.0
GAHighPop,4500,239330.0
GAHighPop,4500,240545.0
GAHighPop,4500,241634.0
GAHighPop,4500,244370.0
GAHighPop,5000,239968.0
GAHighPop,5000,243433.0
GAHighPop,5000,244050.0
GAHighPop,5000,253424.0
GAHighPop,5000,256267.0
GAHighPop,5000,256268.0
GAHighPop,5000,259797.0
GAHighPop,5000,265950.0
GAHighPop,5000,266200.0
GAHighPop,5000,270600.0
GALowPop,1,102.0
GALowPop,1,122.0
GALowPop,1,123.0
GALowPop,1,129.0
GALowPop,1,148.0
GALowPop,1,2.0
GALowPop,1,3.0
GALowPop,1,32.0
GALowPop,1,58.0
GALowPop,1,8.0
GALowPop,500,1233.0
GALowPop,500,1238.0
GALowPop,500,1255.0
GALowPop,500,1540.0
GALowPop,500,1686.0
GALowPop,500,493.0
GALowPop,500,689.0
GALowPop,500,851.0
GALowPop,500,911.0
GALowPop,500,967.0
GALowPop,1000,1724.0
GALowPop,1000,1907.0
GALowPop,1000,3268.0
GALowPop,1000,3337.0
GALowPop,1000,3387.0
GALowPop,1000,3753.0
GALowPop,1000,3776.0
GALowPop,1000,4135.0
GALowPop,1000,863.0
GALowPop,1000,9081.0
GALowPop,1500,5410.0
GALowPop,1500,5554.0
GALowPop,1500,5613.0
GALowPop,1500,6709.0
GALowPop,1500,6724.0
GALowPop,1500,7107.0
GALowPop,1500,7618.0
GALowPop,1500,7751.0
GALowPop,1500,8326.0
GALowPop,1500,9117.0
GALowPop,2000,10414.0
GALowPop,2000,11297.0
GALowPop,2000,12145.0
GALowPop,2000,13366.0
GALowPop,2000,13387.0
GALowPop,2000,14664.0
GALowPop,2000,14905.0
GALowPop,2000,15726.0
GALowPop,2000,21067.0
GALowPop,2000,8850.0
GALowPop,2500,10324.0
GALowPop,2500,14165.0
GALowPop,2500,14978.0
GALowPop,2500,19222.0
GALowPop,2500,21745.0
GALowPop,2500,22961.0
GALowPop,2500,26473.0
GALowPop,2500,30322.0
GALowPop,2500,8976.0
GALowPop,2500,9722.0
GALowPop,3000,15009.0
GALowPop,3000,19169.0
GALowPop,3000,19902.0
GALowPop,3000,21453.0
GALowPop,3000,21759.0
GALowPop,3000,23356.0
GALowPop,3000,24246.0
GALowPop,3000,24588.0
GALowPop,3000,25892.0
GALowPop,3000,27796.0
GALowPop,3500,23315.0
GALowPop,3500,24452.0
GALowPop,3500,25937.0
GALowPop,3500,26217.0
GALowPop,3500,30540.0
