algorithm,correct,incorrect,percent-correct,train-seconds,test-seconds,iterations
train-RHC,903.0,2770.0,24.585,1.237,0.095,10
test-RHC,292.0,933.0,23.837,1.237,0.113,10
train-SA,1172.0,2501.0,31.909,1.264,0.209,10
test-SA,353.0,872.0,28.816,1.264,0.018,10
train-RHC,1610.0,2063.0,43.833,1.997,0.054,20
test-RHC,580.0,645.0,47.347,1.997,0.010,20
train-SA,1195.0,2478.0,32.535,2.244,0.030,20
test-SA,430.0,795.0,35.102,2.244,0.025,20
train-RHC,1611.0,2062.0,43.861,3.632,0.031,50
test-RHC,586.0,639.0,47.837,3.632,0.034,50
train-SA,944.0,2729.0,25.701,3.718,0.074,50
test-SA,316.0,909.0,25.796,3.718,0.015,50
train-RHC,1606.0,2067.0,43.724,6.098,0.031,100
test-RHC,580.0,645.0,47.347,6.098,0.028,100
train-SA,674.0,2999.0,18.350,6.352,0.035,100
test-SA,0.0,1225.0,0.000,6.352,0.007,100
train-RHC,1596.0,2077.0,43.452,10.952,0.039,200
test-RHC,575.0,650.0,46.939,10.952,0.016,200
train-SA,1617.0,2056.0,44.024,11.360,0.050,200
test-SA,581.0,644.0,47.429,11.360,0.009,200
train-GA,960.0,2713.0,26.137,12.920,0.048,10
test-GA,416.0,809.0,33.959,12.920,0.006,10
train-RHC,1622.0,2051.0,44.160,21.826,0.042,500
test-RHC,572.0,653.0,46.694,21.826,0.014,500
train-SA,1416.0,2257.0,38.552,22.723,0.046,500
test-SA,501.0,724.0,40.898,22.723,0.016,500
train-GA,1058.0,2615.0,28.805,23.397,0.018,20
test-GA,376.0,849.0,30.694,23.397,0.006,20
train-RHC,1623.0,2050.0,44.187,36.326,0.017,1000
test-RHC,594.0,631.0,48.490,36.326,0.008,1000
train-SA,1617.0,2056.0,44.024,36.787,0.016,1000
test-SA,581.0,644.0,47.429,36.787,0.005,1000
train-GA,1006.0,2667.0,27.389,47.411,0.047,50
test-GA,448.0,777.0,36.571,47.411,0.006,50
train-SA,1619.0,2054.0,44.078,70.812,0.015,3000
test-SA,581.0,644.0,47.429,70.812,0.005,3000
train-RHC,1665.0,2008.0,45.331,71.139,0.015,3000
test-RHC,595.0,630.0,48.571,71.139,0.005,3000
train-GA,1533.0,2140.0,41.737,80.944,0.013,100
test-GA,579.0,646.0,47.265,80.944,0.004,100
train-GA,1613.0,2060.0,43.915,136.985,0.017,200
test-GA,581.0,644.0,47.429,136.985,0.006,200
train-GA,1617.0,2056.0,44.024,279.428,0.012,500
test-GA,581.0,644.0,47.429,279.428,0.005,500
train-GA,1617.0,2056.0,44.024,475.967,0.011,1000
test-GA,581.0,644.0,47.429,475.967,0.005,1000
train-GA,1639.0,2034.0,44.623,887.493,0.009,3000
test-GA,580.0,645.0,47.347,887.493,0.003,3000
train,SA,19.0,3654.0,0.517,0.823,0.116,10
test-SA,5.0,1220.0,0.408,0.823,0.014,10
train,RHC,120.0,3553.0,3.267,1.054,0.094,10
test-RHC,63.0,1162.0,5.143,1.054,0.022,10
train,SA,24.0,3649.0,0.653,1.440,0.049,20
test-SA,7.0,1218.0,0.571,1.440,0.007,20
train,RHC,1460.0,2213.0,39.750,1.544,0.023,20
test-RHC,536.0,689.0,43.755,1.544,0.022,20
train,RHC,1620.0,2053.0,44.106,2.057,0.020,50
test-RHC,566.0,659.0,46.204,2.057,0.008,50
train,SA,33.0,3640.0,0.898,2.150,0.021,50
test-SA,17.0,1208.0,1.388,2.150,0.007,50
train,RHC,1614.0,2059.0,43.942,2.937,0.019,100
test-RHC,572.0,653.0,46.694,2.937,0.006,100
train,SA,458.0,3215.0,12.469,3.029,0.012,100
test-SA,175.0,1050.0,14.286,3.029,0.004,100
train,GA,1329.0,2344.0,36.183,6.807,0.017,10
test-GA,287.0,938.0,23.429,6.807,0.005,10
train,GA,791.0,2882.0,21.536,11.630,0.015,20
test-GA,318.0,907.0,25.959,11.630,0.005,20
train,GA,1118.0,2555.0,30.438,23.245,0.013,50
test-GA,535.0,690.0,43.673,23.245,0.004,50
train,GA,1615.0,2058.0,43.970,34.077,0.012,100
test-GA,579.0,646.0,47.265,34.077,0.004,100
