percent-correct,iterations
20.735,10
22.041,20
47.429,50
47.429,100
47.429,500
47.429,1000
46.531,10
47.429,20
47.429,50
47.265,100
47.429,500
47.510,1000
47.020,10
47.429,20
46.939,50
46.531,100
47.102,500
47.347,1000
41.224,10
46.776,20
45.633,50
35.102,100
47.265,500
47.265,1000
30.122,10
30.122,20
19.510,50
47.184,100
47.265,500
47.265,1000
29.061,10
28.082,20
28.327,50
35.918,100
46.449,500
46.041,1000
37.551,10
41.388,20
47.347,50
38.367,100
47.265,500
47.673,1000
2.612,10
47.510,20
47.429,50
47.510,100
16.408,500
47.265,1000
34.367,10
47.347,20
47.184,50
47.347,100
47.265,500
47.020,1000
2.612,10
47.184,20
47.265,50
47.184,100
46.939,500
46.857,1000
13.796,10
15.102,20
43.918,50
44.000,100
47.673,500
46.612,1000
