percent-correct,iterations
0.000,10
0.000,20
0.408,50
2.612,100
47.429,500
47.429,1000
26.776,10
0.000,20
0.245,50
0.163,100
47.184,500
46.939,1000
30.041,10
46.449,20
3.347,50
0.000,100
43.918,500
47.265,1000
47.347,10
16.327,20
16.408,50
3.020,100
47.102,500
47.184,1000
16.490,10
16.327,20
2.857,50
2.776,100
46.776,500
47.755,1000
1.959,10
0.000,20
0.490,50
16.000,100
25.143,500
25.143,1000
0.408,10
0.490,20
2.694,50
2.857,100
47.265,500
47.265,1000
0.408,10
0.000,20
0.000,50
0.408,100
47.347,500
47.510,1000
47.347,10
13.306,20
2.694,50
34.612,100
47.347,500
47.020,1000
2.531,10
0.490,20
30.041,50
2.776,100
46.776,500
47.102,1000
47.429,10
47.429,20
2.612,50
0.082,100
47.265,500
47.429,1000
