algorithm	correct	incorrect	percent-correct	train-time	test-time	iterations
RHC	811.0	2862.0	22.080	0.774	0.124	10
SA	0.0	3673.0	0.000	0.979	0.062	10
SA	0.0	3673.0	0.000	1.324	0.022	20
RHC	839.0	2834.0	22.842	1.457	0.072	20
RHC	1617.0	2056.0	44.024	2.845	0.027	50
SA	15.0	3658.0	0.408	2.790	0.060	50
SA	202.0	3471.0	5.500	4.802	0.035	100
RHC	1617.0	2056.0	44.024	4.835	0.035	100
GA	1167.0	2506.0	31.772	8.838	0.021	10
RHC	1617.0	2056.0	44.024	13.889	0.018	500
SA	1617.0	2056.0	44.024	14.320	0.017	500
GA	924.0	2749.0	25.157	16.331	0.022	20
SA	1618.0	2055.0	44.051	21.264	0.014	1000
RHC	1617.0	2056.0	44.024	21.600	0.014	1000
GA	943.0	2730.0	25.674	34.565	0.018	50
GA	1568.0	2105.0	42.690	59.334	0.012	100
GA	1613.0	2060.0	43.915	218.450	0.019	500
GA	1617.0	2056.0	44.024	322.513	0.010	1000
RHC	724.0	2949.0	19.711	1.037	0.075	10
SA	903.0	2770.0	24.585	0.938	0.132	10
SA	4.0	3669.0	0.109	1.535	0.021	20
RHC	1617.0	2056.0	44.024	1.748	0.049	20
SA	4.0	3669.0	0.109	3.037	0.037	50
RHC	1619.0	2054.0	44.078	3.064	0.062	50
SA	5.0	3668.0	0.136	4.641	0.045	100
RHC	1613.0	2060.0	43.915	4.766	0.018	100
GA	755.0	2918.0	20.555	8.985	0.020	10
SA	1605.0	2068.0	43.697	13.856	0.019	500
RHC	1614.0	2059.0	43.942	14.056	0.019	500
GA	981.0	2692.0	26.708	16.188	0.019	20
SA	1622.0	2051.0	44.160	20.749	0.012	1000
RHC	1618.0	2055.0	44.051	20.896	0.022	1000
GA	1056.0	2617.0	28.750	34.662	0.013	50
GA	1350.0	2323.0	36.755	58.907	0.011	100
GA	1617.0	2056.0	44.024	211.245	0.011	500
GA	1618.0	2055.0	44.051	314.526	0.009	1000
RHC	1498.0	2175.0	40.784	0.895	0.060	10
SA	1089.0	2584.0	29.649	1.051	0.074	10
RHC	1608.0	2065.0	43.779	1.501	0.037	20
SA	1596.0	2077.0	43.452	1.529	0.029	20
SA	177.0	3496.0	4.819	2.473	0.023	50
RHC	1611.0	2062.0	43.861	2.806	0.061	50
RHC	1612.0	2061.0	43.888	4.786	0.019	100
SA	0.0	3673.0	0.000	4.784	0.047	100
GA	1250.0	2423.0	34.032	8.660	0.023	10
RHC	1620.0	2053.0	44.106	13.675	0.017	500
SA	1507.0	2166.0	41.029	14.386	0.021	500
GA	927.0	2746.0	25.238	16.352	0.020	20
RHC	1621.0	2052.0	44.133	21.921	0.020	1000
SA	1636.0	2037.0	44.541	22.258	0.010	1000
GA	1322.0	2351.0	35.992	33.809	0.013	50
GA	1334.0	2339.0	36.319	57.925	0.013	100
GA	1617.0	2056.0	44.024	211.808	0.012	500
GA	1618.0	2055.0	44.051	317.319	0.009	1000
SA	1616.0	2057.0	43.997	0.940	0.139	10
RHC	1362.0	2311.0	37.081	0.919	0.060	10
RHC	1373.0	2300.0	37.381	1.319	0.027	20
SA	636.0	3037.0	17.316	1.597	0.062	20
SA	681.0	2992.0	18.541	2.577	0.055	50
RHC	1595.0	2078.0	43.425	2.756	0.033	50
RHC	1616.0	2057.0	43.997	4.005	0.035	100
SA	437.0	3236.0	11.898	4.222	0.021	100
GA	1162.0	2511.0	31.636	8.391	0.023	10
SA	1613.0	2060.0	43.915	13.525	0.019	500
RHC	1617.0	2056.0	44.024	13.723	0.020	500
GA	785.0	2888.0	21.372	15.479	0.017	20
RHC	1617.0	2056.0	44.024	20.757	0.016	1000
SA	1619.0	2054.0	44.078	20.973	0.011	1000
GA	1107.0	2566.0	30.139	32.969	0.012	50
GA	1450.0	2223.0	39.477	57.552	0.012	100
GA	1607.0	2066.0	43.752	211.834	0.011	500
GA	1617.0	2056.0	44.024	316.165	0.014	1000
SA	693.0	2980.0	18.867	0.738	0.116	10
RHC	1088.0	2585.0	29.622	1.106	0.056	10
SA	680.0	2993.0	18.513	1.412	0.039	20
RHC	1088.0	2585.0	29.622	1.405	0.089	20
SA	140.0	3533.0	3.812	2.567	0.021	50
RHC	1548.0	2125.0	42.145	2.724	0.024	50
