RHC	1610.0	2063.0	43.833	1.510	0.186	10
SA	385.0	3288.0	10.482	1.432	0.163	10
RHC	1615.0	2058.0	43.970	2.181	0.044	20
SA	1144.0	2529.0	31.146	2.456	0.057	20
SA	29.0	3644.0	0.790	4.140	0.048	50
RHC	1616.0	2057.0	43.997	4.221	0.023	50
RHC	1613.0	2060.0	43.915	6.737	0.020	100
SA	20.0	3653.0	0.545	6.851	0.040	100
GA	887.0	2786.0	24.149	13.001	0.068	10
SA	1616.0	2057.0	43.997	23.094	0.018	500
RHC	1602.0	2071.0	43.616	23.759	0.043	500
GA	1168.0	2505.0	31.800	23.933	0.034	20
SA	1618.0	2055.0	44.051	39.723	0.032	1000
RHC	1578.0	2095.0	42.962	40.505	0.017	1000
GA	842.0	2831.0	22.924	49.435	0.052	50
SA	1611.0	2062.0	43.861	63.057	0.015	2000
RHC	1612.0	2061.0	43.888	63.353	0.019	2000
GA	1175.0	2498.0	31.990	83.796	0.018	100
SA	1636.0	2037.0	44.541	106.476	0.013	5000
RHC	1732.0	1941.0	47.155	106.559	0.015	5000
GA	1617.0	2056.0	44.024	322.270	0.016	500
GA	1612.0	2061.0	43.888	567.734	0.012	1000
GA	1618.0	2055.0	44.051	952.441	0.011	2000
GA	1615.0	2058.0	43.970	1582.058	0.010	5000
