algorithm,iterations,optimal
GA,5,35.837
GA,5,49.878
GA,5,55.184
GA,10,50.041
GA,10,50.122
GA,10,59.102
GA,20,51.918
GA,20,61.388
GA,20,65.633
GA,30,54.939
GA,30,58.531
GA,30,65.633
GA,40,57.878
GA,40,65.633
GA,40,65.633
GA,50,65.633
GA,50,65.633
GA,100,62.449
GA,100,65.633
GA,200,65.633
GA,200,65.633
GA,500,65.633
GA,500,65.633
GA,1000,65.633
GA,1000,65.633
GA,1500,65.633
GA,1500,65.633
RHC,5,34.367
RHC,5,34.367
RHC,5,34.367
RHC,10,34.367
RHC,10,34.367
RHC,10,34.367
RHC,20,65.633
RHC,20,65.633
RHC,20,65.633
RHC,30,65.633
RHC,30,65.633
RHC,30,65.633
RHC,40,65.633
RHC,40,65.633
RHC,40,65.633
RHC,50,65.633
RHC,50,65.633
RHC,100,65.633
RHC,100,65.633
RHC,200,65.551
RHC,200,65.633
RHC,500,64.408
RHC,500,66.041
RHC,1000,64.408
RHC,1000,72.816
RHC,1500,72.735
RHC,1500,72.735
SA,5,65.633
SA,5,65.633
SA,5,65.633
SA,10,65.633
SA,10,65.633
SA,10,65.633
SA,20,61.224
SA,20,64.980
SA,20,65.633
SA,30,65.633
SA,30,65.633
SA,30,65.633
SA,40,65.633
SA,40,65.633
SA,40,65.633
SA,50,65.633
SA,50,65.633
SA,100,34.367
SA,100,34.367
SA,200,34.367
SA,200,34.367
SA,500,65.224
SA,500,65.633
SA,1000,33.796
SA,1000,35.429
SA,1500,65.633
SA,1500,65.633
Backprop,5,62.286
Backprop,5,62.612
Backprop,5,62.776
Backprop,10,64.082
Backprop,10,65.143
Backprop,10,65.633
Backprop,20,70.857
Backprop,20,72.490
Backprop,20,73.714
Backprop,30,64.980
Backprop,30,71.592
Backprop,30,73.878
Backprop,40,63.020
Backprop,40,69.878
Backprop,40,70.694
Backprop,50,74.122
Backprop,50,74.449
Backprop,100,63.265
Backprop,100,71.102
Backprop,200,64.735
Backprop,200,75.184
Backprop,500,67.184
Backprop,500,72.082
Backprop,1000,67.020
Backprop,1000,75.265
Backprop,1500,61.143
Backprop,1500,77.224
