RHC	2454.0	1219.0	66.812	1.217	0.310	5
RHC	2454.0	1219.0	66.812	1.528	0.253	5
SA	2454.0	1219.0	66.812	1.872	0.156	5
SA	2454.0	1219.0	66.812	1.718	0.158	5
RHC	2454.0	1219.0	66.812	2.776	0.107	5
RHC	2454.0	1219.0	66.812	2.966	0.073	10
SA	2454.0	1219.0	66.812	2.574	0.095	5
SA	2454.0	1219.0	66.812	3.012	0.123	10
RHC	2454.0	1219.0	66.812	4.312	0.142	10
SA	2454.0	1219.0	66.812	3.990	0.265	10
RHC	2454.0	1219.0	66.812	5.152	0.043	10
SA	2454.0	1219.0	66.812	4.804	0.202	10
GA	2304.0	1369.0	62.728	8.081	0.204	5
GA	1948.0	1725.0	53.036	8.090	0.166	5
RHC	2454.0	1219.0	66.812	9.132	0.027	20
RHC	2454.0	1219.0	66.812	9.107	0.251	20
GA	2452.0	1221.0	66.757	8.535	0.203	5
RHC	2454.0	1219.0	66.812	10.256	0.162	20
RHC	2454.0	1219.0	66.812	11.203	0.167	30
SA	1219.0	2454.0	33.188	10.620	0.065	20
SA	1219.0	2454.0	33.188	10.661	0.151	20
RHC	2454.0	1219.0	66.812	12.686	0.078	30
SA	1285.0	2388.0	34.985	12.681	0.048	30
RHC	2454.0	1219.0	66.812	13.413	0.037	30
GA	2157.0	1516.0	58.726	12.639	0.128	10
SA	1235.0	2438.0	33.624	12.936	0.150	20
GA	2308.0	1365.0	62.837	13.013	0.022	10
GA	2335.0	1338.0	63.572	13.316	0.116	10
SA	1219.0	2454.0	33.188	13.661	0.084	30
SA	2454.0	1219.0	66.812	16.149	0.029	30
SA	2454.0	1219.0	66.812	18.140	0.062	40
RHC	2454.0	1219.0	66.812	18.823	0.116	40
RHC	2454.0	1219.0	66.812	18.894	0.172	40
RHC	2454.0	1219.0	66.812	18.853	0.144	50
SA	2454.0	1219.0	66.812	18.907	0.021	40
SA	2454.0	1219.0	66.812	18.903	0.033	50
RHC	2454.0	1219.0	66.812	19.371	0.242	50
RHC	2454.0	1219.0	66.812	19.603	0.032	40
SA	2454.0	1219.0	66.812	19.887	0.087	40
SA	2454.0	1219.0	66.812	20.367	0.051	50
GA	2454.0	1219.0	66.812	24.064	0.159	20
GA	2454.0	1219.0	66.812	24.940	0.048	20
GA	2454.0	1219.0	66.812	25.151	0.066	20
RHC	2454.0	1219.0	66.812	31.034	0.022	100
RHC	2454.0	1219.0	66.812	31.179	0.082	100
SA	2454.0	1219.0	66.812	31.020	0.125	100
SA	2454.0	1219.0	66.812	32.380	0.032	100
GA	2454.0	1219.0	66.812	34.379	0.070	30
GA	2455.0	1218.0	66.839	34.424	0.106	30
GA	2419.0	1254.0	65.859	35.860	0.098	30
GA	2454.0	1219.0	66.812	41.910	0.089	40
GA	2452.0	1221.0	66.757	42.211	0.102	40
GA	2454.0	1219.0	66.812	42.892	0.059	40
SA	2454.0	1219.0	66.812	45.408	0.086	200
SA	2454.0	1219.0	66.812	45.515	0.015	200
RHC	2454.0	1219.0	66.812	47.116	0.090	200
RHC	2455.0	1218.0	66.839	47.403	0.136	200
GA	2410.0	1263.0	65.614	48.351	0.112	50
GA	2399.0	1274.0	65.314	50.721	0.072	50
SA	2454.0	1219.0	66.812	70.304	0.133	500
RHC	2464.0	1209.0	67.084	71.158	0.082	500
SA	2454.0	1219.0	66.812	70.723	0.055	500
RHC	2470.0	1203.0	67.247	72.745	0.029	500
GA	2454.0	1219.0	66.812	80.078	0.053	100
GA	2454.0	1219.0	66.812	82.534	0.018	100
RHC	2366.0	1307.0	64.416	96.797	0.017	1000
SA	2459.0	1214.0	66.948	97.593	0.028	1000
SA	2471.0	1202.0	67.275	97.863	0.048	1000
RHC	2454.0	1219.0	66.812	98.609	0.045	1000
SA	2385.0	1288.0	64.933	115.319	0.028	1500
RHC	2594.0	1079.0	70.623	115.993	0.020	1500
RHC	2600.0	1073.0	70.787	116.297	0.016	1500
SA	2526.0	1147.0	68.772	116.856	0.027	1500
GA	2454.0	1219.0	66.812	125.443	0.043	200
GA	2454.0	1219.0	66.812	125.612	0.019	200
GA	2451.0	1222.0	66.730	204.948	0.019	500
GA	2454.0	1219.0	66.812	205.386	0.014	500
GA	2454.0	1219.0	66.812	312.770	0.013	1000
GA	2454.0	1219.0	66.812	313.715	0.012	1000
GA	2453.0	1220.0	66.785	386.664	0.012	1500
GA	2453.0	1220.0	66.785	386.969	0.009	1500
