algorithm,iterations,optimal
GA,5,46.122
GA,5,48.490
GA,5,63.265
GA,10,52.816
GA,10,61.551
GA,10,63.592
GA,20,55.510
GA,20,61.388
GA,20,61.959
GA,30,65.633
GA,30,65.633
GA,30,65.714
GA,40,55.020
GA,40,59.510
GA,40,65.633
GA,50,65.633
GA,50,65.633
GA,100,65.633
GA,100,65.633
GA,200,65.633
GA,200,65.633
GA,500,65.633
GA,500,65.633
GA,1000,65.633
GA,1000,65.633
GA,1500,65.633
GA,1500,65.633
RHC,5,65.633
RHC,5,65.633
RHC,5,65.633
RHC,10,65.633
RHC,10,65.633
RHC,10,65.633
RHC,20,65.633
RHC,20,65.633
RHC,20,65.633
RHC,30,65.633
RHC,30,65.633
RHC,30,65.633
RHC,40,65.633
RHC,40,65.633
RHC,40,65.633
RHC,50,65.633
RHC,50,65.633
RHC,100,65.633
RHC,100,65.633
RHC,200,65.633
RHC,200,65.796
RHC,500,65.551
RHC,500,65.714
RHC,1000,63.918
RHC,1000,71.673
RHC,1500,72.816
RHC,1500,74.041
SA,5,34.367
SA,5,34.367
SA,5,34.367
SA,10,34.367
SA,10,34.367
SA,10,34.367
SA,20,34.367
SA,20,34.367
SA,20,34.367
SA,30,34.367
SA,30,34.367
SA,30,34.367
SA,40,34.367
SA,40,34.367
SA,40,34.367
SA,50,34.367
SA,50,34.367
SA,100,65.633
SA,100,65.633
SA,200,65.633
SA,200,65.878
SA,500,64.327
SA,500,68.082
SA,1000,64.980
SA,1000,67.837
SA,1500,73.061
SA,1500,73.551
Backprop,5,63.837
Backprop,5,67.184
Backprop,5,69.469
Backprop,10,64.082
Backprop,10,64.082
Backprop,10,64.571
Backprop,20,61.306
Backprop,20,63.020
Backprop,20,74.449
Backprop,30,64.980
Backprop,30,67.102
Backprop,30,73.143
Backprop,40,64.490
Backprop,40,65.959
Backprop,40,66.204
Backprop,50,72.653
Backprop,50,76.000
Backprop,100,61.959
Backprop,100,75.755
Backprop,200,64.816
Backprop,200,75.184
Backprop,500,64.163
Backprop,500,66.776
Backprop,1000,66.041
Backprop,1000,72.980
Backprop,1500,65.469
Backprop,1500,77.388
