algorithm,iterations,time
GA,5,7.833
GA,5,7.843
GA,5,9.353
GA,10,14.974
GA,10,16.540
GA,10,16.750
GA,20,26.117
GA,20,26.166
GA,20,26.670
GA,30,32.406
GA,30,34.592
GA,30,34.593
GA,40,42.830
GA,40,43.435
GA,40,43.845
GA,50,51.346
GA,50,52.225
GA,100,82.775
GA,100,82.954
GA,200,125.041
GA,200,125.789
GA,500,203.535
GA,500,205.553
GA,1000,315.858
GA,1000,316.374
GA,1500,389.371
GA,1500,390.018
RHC,5,2.437
RHC,5,2.438
RHC,5,2.821
RHC,10,4.457
RHC,10,4.787
RHC,10,5.937
RHC,20,11.182
RHC,20,9.175
RHC,20,9.511
RHC,30,13.432
RHC,30,14.023
RHC,30,14.827
RHC,40,15.709
RHC,40,17.725
RHC,40,19.318
RHC,50,19.753
RHC,50,21.526
RHC,100,31.303
RHC,100,32.355
RHC,200,45.905
RHC,200,45.986
RHC,500,70.857
RHC,500,73.594
RHC,1000,102.597
RHC,1000,99.934
RHC,1500,118.309
RHC,1500,118.790
SA,5,2.264
SA,5,3.404
SA,5,3.536
SA,10,5.873
SA,10,6.628
SA,10,7.039
SA,20,10.820
SA,20,11.240
SA,20,8.408
SA,30,13.105
SA,30,13.945
SA,30,14.994
SA,40,17.242
SA,40,17.512
SA,40,17.752
SA,50,21.158
SA,50,21.252
SA,100,30.926
SA,100,31.338
SA,200,46.190
SA,200,46.286
SA,500,72.281
SA,500,73.390
SA,1000,101.286
SA,1000,101.899
SA,1500,118.072
SA,1500,119.436
Backprop,5,2.221
Backprop,5,3.049
Backprop,5,3.442
Backprop,10,4.720
Backprop,10,7.208
Backprop,10,7.211
Backprop,20,11.703
Backprop,20,13.737
Backprop,20,8.747
Backprop,30,13.336
Backprop,30,15.951
Backprop,30,16.125
Backprop,40,18.293
Backprop,40,19.679
Backprop,40,21.050
Backprop,50,23.334
Backprop,50,23.768
Backprop,100,33.100
Backprop,100,35.484
Backprop,200,47.303
Backprop,200,48.276
Backprop,500,78.023
Backprop,500,78.500
Backprop,1000,110.576
Backprop,1000,111.026
Backprop,1500,128.640
Backprop,1500,129.068
