algorithm,iterations,time
GA,5,79.657
GA,5,81.619
GA,5,81.942
GA,10,153.381
GA,10,155.607
GA,10,156.418
GA,20,248.439
GA,20,256.476
GA,20,257.691
GA,30,342.725
GA,30,344.262
GA,30,347.840
GA,40,413.282
GA,40,414.177
GA,40,414.611
GA,50,472.324
GA,50,475.291
GA,100,702.778
GA,100,704.771
GA,200,1090.384
GA,200,1090.452
GA,500,2101.187
GA,500,2107.909
GA,1000,4122.863
GA,1000,4130.611
RHC,5,1.014
RHC,5,1.288
RHC,5,1.560
RHC,10,3.308
RHC,10,3.320
RHC,10,3.358
RHC,20,5.813
RHC,20,6.704
RHC,20,6.873
RHC,30,11.625
RHC,30,9.161
RHC,30,9.740
RHC,40,12.390
RHC,40,12.453
RHC,40,13.616
RHC,50,16.492
RHC,50,16.938
RHC,100,28.112
RHC,100,33.392
RHC,200,49.903
RHC,200,51.527
RHC,500,97.541
RHC,500,97.938
RHC,1000,147.939
RHC,1000,151.450
RHC,1500,182.868
RHC,1500,183.207
SA,5,1.079
SA,5,1.901
SA,5,3.181
SA,10,2.622
SA,10,3.580
SA,10,4.201
SA,20,6.753
SA,20,6.931
SA,20,7.994
SA,30,10.190
SA,30,9.602
SA,30,9.794
SA,40,11.534
SA,40,13.195
SA,40,13.205
SA,50,14.104
SA,50,16.244
SA,100,25.454
SA,100,28.631
SA,200,48.330
SA,200,49.161
SA,500,95.452
SA,500,97.353
SA,1000,151.015
SA,1000,152.548
SA,1500,183.380
SA,1500,185.369
Backprop,5,1.448
Backprop,5,1.641
Backprop,5,1.672
Backprop,10,2.324
Backprop,10,2.331
Backprop,10,2.348
Backprop,20,3.357
Backprop,20,3.503
Backprop,20,3.621
Backprop,30,4.356
Backprop,30,4.394
Backprop,30,4.474
Backprop,40,5.046
Backprop,40,5.403
Backprop,40,5.436
Backprop,50,5.684
Backprop,50,9.874
Backprop,100,21.544
Backprop,100,24.591
Backprop,200,47.880
Backprop,200,50.554
Backprop,500,103.187
Backprop,500,106.189
Backprop,1000,164.085
Backprop,1000,167.724
Backprop,1500,200.244
Backprop,1500,202.754
